x	y
26	2
36	2
46	0
56	0
66	0
76	0
86	2
96	3
106	0
116	0
126	0
136	0
146	1
156	0
166	0
176	0
186	0
196	1
206	0
216	0
226	0
236	0
246	0
256	0
266	0
276	0
286	0
296	0
306	1
316	0
326	0
336	0
346	0
356	0
366	2
376	0
386	0
396	0
406	0
416	0
426	3
436	1
446	0
456	0
466	1
476	2
486	0
496	0
506	0
516	5
526	0
536	3
546	1
556	3
566	0
576	0
586	0
596	0
606	0
616	1
626	0
636	0
646	0
656	0
666	1
676	3
686	1
696	2
706	1
716	0
726	0
736	0
746	1
756	1
766	2
776	1
786	0
796	0
806	0
816	0
826	0
836	6
846	1
856	2
866	4
876	1
886	0
896	0
906	0
916	0
926	0
936	2
946	0
956	2
966	1
976	1
986	2
996	0
1006	0
1016	0
1026	0
1036	2
1046	1
1056	0
1066	0
1076	0
1086	0
1096	0
1106	0
1116	0
1126	0
1136	0
1146	0
1156	0
1166	0
1176	0
1186	0
1196	0
1206	0
1216	0
1226	0
1236	1
1246	0
1256	2
1266	0
1276	0
1286	0
1296	0
1306	1
1316	0
1326	1
1336	4
1346	1
1356	0
1366	0
1376	0
1386	0
1396	0
1406	0
1416	0
1426	0
1436	1
1446	0
1456	0
1466	0
1476	0
1486	3
1496	0
1506	0
1516	0
1526	0
1536	1
1546	1
1556	1
1566	1
1576	3
1586	0
1596	0
1606	1
1616	1
1626	0
1636	0
1646	0
1656	1
1666	0
1676	1
1686	0
1696	0
1706	0
1716	3
1726	1
1736	0
1746	4
1756	1
1766	2
1776	1
1786	0
1796	0
1806	2
1816	0
1826	0
1836	0
1846	1
1856	4
1866	0
1876	2
1886	2
1896	0
1906	1
1916	0
1926	0
1936	0
1946	0
1956	0
1966	0
1976	0
1986	0
1996	0
2006	0
2016	0
2026	0
2036	1
2046	1
2056	1
2066	4
2076	0
2086	2
2096	0
2106	0
2116	0
2126	2
2136	2
2146	0
2156	0
2166	0
2176	0
2186	0
2196	0
2206	0
2216	0
2226	0
2236	0
2246	0
2256	0
2266	0
2276	0
2286	0
2296	0
2306	0
2316	1
2326	1
2336	0
2346	0
2356	0
2366	0
2376	0
2386	0
2396	0
2406	1
2416	0
2426	0
2436	2
2446	0
2456	0
2466	0
2476	0
2486	4
2496	1
2506	0
2516	0
2526	0
2536	0
2546	1
2556	0
2566	1
2576	2
2586	0
2596	0
2606	0
2616	0
2626	0
2636	0
2646	0
2656	0
2666	0
2676	0
2686	0
2696	0
2706	3
2716	0
2726	0
2736	0
2746	0
2756	0
2766	0
2776	1
2786	0
2796	0
2806	0
2816	0
2826	0
2836	0
2846	0
2856	0
2866	0
2876	0
2886	0
2896	0
2906	0
2916	0
2926	0
2936	0
2946	0
2956	0
2966	0
2976	2
2986	1
2996	1
3006	0
