x	y
1.0	43.0
2.0	26.0
3.0	19.0
4.0	18.0
5.0	21.0
6.0	16.0
7.0	14.0
8.0	14.0
9.0	11.0
10.0	7.0
11.0	1.0
12.0	9.0
13.0	9.0
14.0	12.0
15.0	6.0
16.0	6.0
17.0	2.0
18.0	9.0
19.0	4.0
20.0	4.0
21.0	2.0
22.0	6.0
23.0	0.0
24.0	3.0
25.0	3.0
26.0	3.0
27.0	5.0
28.0	2.0
29.0	7.0
30.0	5.0
31.0	9.0
32.0	6.0
33.0	7.0
34.0	4.0
35.0	3.0
36.0	1.0
37.0	2.0
38.0	3.0
39.0	6.0
40.0	1.0
41.0	4.0
42.0	4.0
43.0	6.0
44.0	1.0
45.0	2.0
46.0	3.0
47.0	6.0
48.0	3.0
49.0	4.0
50.0	2.0
51.0	4.0
52.0	2.0
53.0	3.0
54.0	3.0
55.0	1.0
56.0	3.0
57.0	1.0
58.0	3.0
59.0	4.0
60.0	3.0
61.0	1.0
62.0	2.0
63.0	1.0
64.0	2.0
65.0	1.0
66.0	4.0
67.0	2.0
68.0	0.0
69.0	0.0
70.0	2.0
71.0	2.0
72.0	4.0
73.0	0.0
74.0	2.0
75.0	2.0
76.0	0.0
77.0	2.0
78.0	2.0
79.0	1.0
80.0	4.0
81.0	2.0
82.0	0.0
83.0	4.0
84.0	2.0
85.0	2.0
86.0	3.0
87.0	1.0
88.0	1.0
89.0	0.0
90.0	2.0
91.0	2.0
92.0	1.0
93.0	2.0
94.0	3.0
95.0	1.0
96.0	2.0
97.0	5.0
98.0	2.0
99.0	3.0
100.0	1.0
101.0	0.0
102.0	0.0
103.0	2.0
104.0	2.0
105.0	4.0
106.0	2.0
107.0	3.0
108.0	3.0
109.0	1.0
110.0	6.0
111.0	2.0
112.0	2.0
113.0	1.0
114.0	3.0
115.0	1.0
116.0	5.0
117.0	2.0
118.0	1.0
119.0	1.0
120.0	3.0
121.0	2.0
122.0	2.0
123.0	2.0
124.0	2.0
125.0	2.0
126.0	1.0
127.0	1.0
128.0	2.0
129.0	1.0
130.0	1.0
131.0	0.0
132.0	1.0
133.0	1.0
134.0	1.0
135.0	2.0
136.0	1.0
137.0	0.0
138.0	1.0
139.0	1.0
140.0	0.0
141.0	0.0
142.0	0.0
143.0	3.0
144.0	2.0
145.0	2.0
146.0	2.0
147.0	1.0
148.0	1.0
149.0	1.0
150.0	2.0
151.0	3.0
152.0	2.0
153.0	0.0
154.0	0.0
155.0	0.0
156.0	0.0
157.0	1.0
158.0	0.0
159.0	0.0
160.0	2.0
161.0	0.0
162.0	4.0
163.0	0.0
164.0	0.0
165.0	0.0
166.0	1.0
167.0	0.0
168.0	2.0
169.0	0.0
170.0	1.0
171.0	1.0
172.0	0.0
173.0	2.0
174.0	1.0
175.0	0.0
176.0	1.0
177.0	0.0
178.0	0.0
179.0	0.0
180.0	0.0
181.0	1.0
182.0	1.0
183.0	1.0
184.0	1.0
185.0	1.0
186.0	1.0
187.0	1.0
188.0	1.0
189.0	1.0
190.0	0.0
191.0	1.0
192.0	1.0
193.0	0.0
194.0	0.0
195.0	1.0
196.0	0.0
197.0	1.0
198.0	2.0
199.0	0.0
200.0	0.0
201.0	0.0
202.0	2.0
203.0	1.0
204.0	0.0
205.0	0.0
206.0	0.0
207.0	0.0
208.0	1.0
209.0	0.0
210.0	3.0
211.0	0.0
212.0	0.0
213.0	1.0
214.0	0.0
215.0	0.0
216.0	0.0
217.0	0.0
218.0	0.0
219.0	1.0
220.0	0.0
221.0	0.0
222.0	0.0
223.0	0.0
224.0	0.0
225.0	0.0
226.0	0.0
227.0	0.0
228.0	1.0
229.0	0.0
230.0	0.0
231.0	0.0
232.0	1.0
233.0	1.0
234.0	0.0
235.0	1.0
236.0	0.0
237.0	0.0
238.0	0.0
239.0	0.0
240.0	0.0
241.0	0.0
242.0	0.0
243.0	0.0
244.0	0.0
245.0	0.0
246.0	1.0
247.0	0.0
248.0	0.0
249.0	0.0
250.0	0.0
251.0	0.0
252.0	0.0
253.0	0.0
254.0	0.0
255.0	0.0
256.0	0.0
257.0	0.0
258.0	1.0
259.0	0.0
260.0	0.0
261.0	0.0
262.0	0.0
263.0	0.0
264.0	0.0
265.0	0.0
266.0	0.0
267.0	1.0
268.0	0.0
269.0	0.0
270.0	0.0
271.0	0.0
272.0	0.0
273.0	0.0
274.0	0.0
275.0	0.0
276.0	1.0
277.0	0.0
278.0	0.0
279.0	0.0
280.0	0.0
281.0	0.0
282.0	0.0
283.0	0.0
284.0	0.0
285.0	0.0
286.0	0.0
287.0	0.0
288.0	0.0
289.0	0.0
290.0	1.0
291.0	0.0
1.0	2.620921850299913
1.2902902902902902	2.632503075566434
1.5805805805805806	2.6440737633339038
1.870870870870871	2.6556333259972007
2.161161161161161	2.6671811741560485
2.4514514514514514	2.6787167166623216
2.741741741741742	2.6902393606677477
3.032032032032032	2.70174851167202
3.3223223223223224	2.7132435735713134
3.6126126126126126	2.724723948707192
3.9029029029029028	2.7361890379159073
4.193193193193194	2.747638240578089
4.483483483483484	2.759070954668799
4.773773773773774	2.7704865768079823
