x	y
15	1
25	0
35	0
45	0
55	0
65	0
75	0
85	0
95	0
105	0
115	0
125	0
135	0
145	3
155	0
165	0
175	0
185	0
195	0
205	0
215	0
225	0
235	0
245	0
255	0
265	0
275	0
285	0
295	0
305	2
315	0
325	0
335	2
345	2
355	2
365	0
375	0
385	0
395	0
405	0
415	0
425	0
435	1
445	0
455	1
465	2
475	0
485	0
495	0
505	0
515	0
525	0
535	0
545	0
555	1
565	1
575	0
585	1
595	2
605	0
615	0
625	0
635	0
645	0
655	0
665	0
675	0
685	0
695	0
705	3
715	1
725	0
735	1
745	0
755	0
765	0
775	0
785	0
795	0
805	0
815	0
825	0
835	0
845	0
855	0
865	0
875	0
885	3
895	1
905	0
915	0
925	1
935	2
945	2
955	0
965	0
975	0
985	0
995	2
1005	0
1015	0
1025	0
1035	0
1045	0
1055	0
1065	1
1075	0
1085	0
1095	0
1105	0
1115	2
1125	0
1135	0
1145	0
1155	3
1165	0
1175	0
1185	0
1195	2
1205	0
1215	0
1225	0
1235	0
1245	0
1255	0
1265	0
1275	0
1285	0
1295	1
1305	4
1315	0
1325	0
1335	1
1345	0
1355	0
1365	0
1375	0
1385	1
1395	0
1405	0
1415	0
1425	0
1435	0
1445	0
1455	0
1465	0
1475	0
1485	0
1495	2
1505	0
1515	0
1525	0
1535	0
1545	0
1555	0
1565	0
1575	0
1585	0
1595	0
1605	4
1615	2
1625	0
1635	0
1645	0
1655	2
1665	1
1675	0
1685	0
1695	1
1705	0
1715	3
1725	0
1735	3
1745	0
1755	0
1765	0
1775	0
1785	3
1795	0
1805	1
1815	0
1825	0
1835	0
1845	0
1855	0
1865	1
1875	0
1885	0
1895	0
1905	0
1915	1
1925	0
1935	0
1945	0
1955	3
1965	0
1975	0
1985	0
1995	0
2005	0
2015	3
2025	0
2035	0
2045	0
2055	0
2065	0
2075	1
2085	0
2095	0
2105	2
2115	4
2125	0
2135	3
2145	0
2155	0
2165	0
2175	0
2185	0
2195	7
2205	0
2215	1
2225	0
2235	0
2245	0
2255	0
2265	0
2275	0
2285	0
2295	0
2305	0
2315	0
2325	0
2335	1
2345	0
2355	0
2365	0
2375	0
2385	0
2395	5
2405	0
2415	0
2425	0
2435	0
2445	1
2455	4
2465	0
2475	0
2485	2
2495	0
2505	2
2515	0
2525	0
2535	0
2545	0
2555	0
2565	0
2575	0
2585	1
2595	0
2605	0
2615	0
2625	0
2635	1
2645	0
2655	0
2665	0
2675	0
2685	0
2695	0
2705	3
2715	0
2725	0
2735	0
2745	0
2755	0
2765	0
2775	0
2785	0
2795	0
2805	0
2815	0
2825	0
2835	0
2845	0
2855	0
2865	0
2875	0
2885	2
2895	1
2905	0
2915	0
2925	1
2935	0
