x	y
160	3
170	0
180	0
190	2
200	4
210	3
220	0
230	0
240	0
250	8
260	0
270	0
280	0
290	0
300	0
310	2
320	0
330	0
340	0
350	3
360	0
370	0
380	3
390	0
400	1
410	3
420	0
430	0
440	0
450	0
460	0
470	0
480	1
490	3
500	0
510	0
520	0
530	0
540	0
550	0
560	0
570	0
580	4
590	5
600	0
610	0
620	0
630	1
640	0
650	0
660	0
670	0
680	0
690	0
700	0
710	0
720	0
730	4
740	0
750	0
760	0
770	0
780	0
790	0
800	0
810	0
820	0
830	0
840	0
850	0
860	0
870	0
880	0
890	2
900	0
910	0
920	2
930	3
940	0
950	0
960	2
970	0
980	0
990	2
1000	0
1010	0
1020	0
1030	0
1040	0
1050	0
1060	1
1070	0
1080	0
1090	0
1100	2
1110	0
1120	2
1130	0
1140	0
1150	2
1160	3
1170	0
1180	0
1190	0
1200	0
1210	0
1220	0
1230	0
1240	0
1250	1
1260	0
1270	0
1280	0
1290	0
1300	0
1310	3
1320	0
1330	0
1340	0
1350	0
1360	0
1370	0
1380	0
1390	2
1400	0
1410	0
1420	1
1430	2
1440	0
1450	0
1460	0
1470	3
1480	0
1490	0
1500	0
1510	0
1520	0
1530	0
1540	1
1550	4
1560	3
1570	2
1580	0
1590	0
1600	0
1610	0
1620	0
1630	0
1640	1
1650	5
1660	0
1670	0
1680	0
1690	0
1700	0
1710	2
1720	0
1730	2
1740	4
1750	3
1760	0
1770	2
1780	0
1790	0
1800	1
1810	0
1820	0
1830	0
1840	0
1850	0
1860	1
1870	7
1880	0
1890	0
1900	0
1910	0
1920	0
1930	0
1940	0
1950	0
1960	0
1970	4
1980	0
1990	0
2000	0
2010	2
2020	0
2030	0
2040	1
2050	4
2060	0
2070	0
2080	0
2090	0
2100	0
2110	0
2120	1
2130	0
2140	0
2150	0
2160	0
2170	0
2180	0
2190	2
2200	0
2210	0
2220	0
2230	0
2240	0
2250	0
2260	3
2270	3
2280	0
2290	0
2300	2
2310	2
2320	0
2330	0
2340	0
2350	0
2360	0
2370	0
2380	0
2390	0
2400	0
2410	0
2420	0
2430	0
2440	0
2450	0
2460	0
2470	0
2480	0
2490	5
2500	0
2510	0
2520	0
2530	0
2540	0
2550	0
2560	0
2570	0
2580	0
2590	0
2600	4
2610	0
2620	0
2630	0
2640	0
2650	0
2660	2
2670	0
2680	2
2690	0
2700	0
2710	0
2720	2
2730	2
2740	0
2750	0
2760	0
2770	0
2780	0
2790	2
2800	0
2810	0
2820	4
2830	0
2840	1
2850	0
2860	0
2870	0
2880	0
2890	2
2900	6
2910	4
2920	0
2930	0
2940	0
2950	0
2960	0
2970	0
2980	1
2990	3
3000	0
