x	y
79	3
89	0
99	0
109	0
119	0
129	0
139	0
149	0
159	1
169	1
179	0
189	0
199	0
209	2
219	1
229	0
239	0
249	0
259	2
269	2
279	0
289	0
299	0
309	0
319	0
329	0
339	0
349	0
359	0
369	0
379	0
389	0
399	1
409	0
419	1
429	1
439	1
449	0
459	1
469	0
479	0
489	0
499	0
509	0
519	0
529	0
539	0
549	0
559	0
569	0
579	0
589	0
599	0
609	3
619	0
629	0
639	0
649	0
659	0
669	0
679	1
689	2
699	0
709	0
719	0
729	0
739	0
749	0
759	0
769	0
779	0
789	0
799	0
809	0
819	0
829	0
839	0
849	0
859	0
869	0
879	0
889	0
899	0
909	0
919	0
929	2
939	0
949	0
959	0
969	1
979	3
989	2
999	0
1009	1
1019	1
1029	0
1039	0
1049	0
1059	0
1069	0
1079	0
1089	0
1099	0
1109	0
1119	0
1129	0
1139	2
1149	0
1159	0
1169	0
1179	0
1189	3
1199	0
1209	0
1219	0
1229	1
1239	1
1249	0
1259	0
1269	0
1279	0
1289	0
1299	0
1309	0
1319	1
1329	2
1339	0
1349	2
1359	0
1369	0
1379	0
1389	0
1399	2
1409	0
1419	0
1429	0
1439	0
1449	0
1459	0
1469	0
1479	0
1489	0
1499	0
1509	0
1519	0
1529	1
1539	2
1549	1
1559	1
1569	0
1579	0
1589	0
1599	0
1609	0
1619	2
1629	1
1639	1
1649	1
1659	1
1669	2
1679	0
1689	0
1699	0
1709	0
1719	1
1729	1
1739	1
1749	0
1759	0
1769	0
1779	0
1789	0
1799	0
1809	2
1819	1
1829	1
1839	1
1849	0
1859	0
1869	1
1879	2
1889	0
1899	1
1909	1
1919	2
1929	0
1939	0
1949	0
1959	0
1969	0
1979	0
1989	0
1999	0
2009	0
2019	0
2029	2
2039	0
2049	1
2059	0
2069	0
2079	0
2089	0
2099	0
2109	0
2119	0
2129	1
2139	2
2149	0
2159	0
2169	0
2179	0
2189	2
2199	1
2209	1
2219	0
2229	0
2239	0
2249	1
2259	1
2269	1
2279	0
2289	0
2299	0
2309	2
2319	0
2329	1
2339	1
2349	1
2359	0
2369	0
2379	0
2389	1
2399	1
2409	0
2419	0
2429	0
2439	0
2449	0
2459	0
2469	0
2479	0
2489	2
2499	0
2509	0
2519	0
2529	0
2539	0
2549	1
2559	0
2569	0
2579	0
2589	0
2599	0
2609	0
2619	0
2629	0
2639	0
2649	0
2659	2
2669	1
2679	1
2689	1
2699	2
2709	0
2719	0
2729	0
2739	2
2749	1
2759	0
2769	2
2779	3
2789	1
2799	2
2809	1
2819	0
2829	1
2839	0
2849	0
2859	0
2869	0
2879	2
2889	2
2899	0
2909	2
2919	1
2929	0
2939	0
2949	1
2959	0
2969	0
2979	2
2989	0
