x	y
51.0	1.0
52.0	0.0
53.0	0.0
54.0	0.0
55.0	0.0
56.0	0.0
57.0	2.0
58.0	0.0
59.0	1.0
60.0	1.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	1.0
65.0	0.0
66.0	1.0
67.0	1.0
68.0	1.0
69.0	3.0
70.0	0.0
71.0	0.0
72.0	2.0
73.0	2.0
74.0	5.0
75.0	5.0
76.0	3.0
77.0	1.0
78.0	2.0
79.0	3.0
80.0	3.0
81.0	3.0
82.0	7.0
83.0	4.0
84.0	8.0
85.0	9.0
86.0	10.0
87.0	10.0
88.0	9.0
89.0	5.0
90.0	6.0
91.0	4.0
92.0	14.0
93.0	12.0
94.0	11.0
95.0	20.0
96.0	16.0
97.0	12.0
98.0	12.0
99.0	16.0
100.0	12.0
101.0	19.0
102.0	17.0
103.0	13.0
104.0	12.0
105.0	12.0
106.0	28.0
107.0	22.0
108.0	20.0
109.0	26.0
110.0	17.0
111.0	23.0
112.0	14.0
113.0	22.0
114.0	15.0
115.0	23.0
116.0	23.0
117.0	18.0
118.0	14.0
119.0	17.0
120.0	17.0
121.0	28.0
122.0	18.0
123.0	16.0
124.0	17.0
125.0	13.0
126.0	15.0
127.0	10.0
128.0	12.0
129.0	7.0
130.0	7.0
131.0	9.0
132.0	14.0
133.0	11.0
134.0	8.0
135.0	6.0
136.0	17.0
137.0	9.0
138.0	5.0
139.0	4.0
140.0	8.0
141.0	10.0
142.0	4.0
143.0	7.0
144.0	2.0
145.0	6.0
146.0	6.0
147.0	1.0
148.0	3.0
149.0	3.0
150.0	2.0
151.0	2.0
152.0	1.0
153.0	2.0
154.0	1.0
155.0	0.0
156.0	2.0
157.0	1.0
158.0	0.0
159.0	0.0
160.0	0.0
161.0	0.0
162.0	0.0
163.0	1.0
164.0	0.0
165.0	0.0
166.0	0.0
167.0	1.0
168.0	0.0
169.0	0.0
170.0	1.0
171.0	0.0
51.0	0.07937102656050955
51.12012012012012	0.08111558393545941
51.24024024024024	0.08289492278941683
51.36036036036036	0.08470965143122368
51.48048048048048	0.08656038688634513
51.6006006006006	0.08844775498044039
51.72072072072072	0.09037239042284846
51.84084084084084	0.09233493688996595
51.96096096096096	0.094336047108493
52.08108108108108	0.09637638293852234
52.2012012012012	0.0984566154564471
52.32132132132132	0.10057742503766026
52.44144144144144	0.10273950143902298
52.56156156156156	0.10494354388107004
52.68168168168168	0.10719026112993099
52.8018018018018	0.10948037157893586
52.92192192192192	0.11181460332987829
53.04204204204204	0.11419369427390853
53.16216216216216	0.1166183921720256
53.28228228228228	0.11908945473514042
53.4024024024024	0.12160764970367989
53.52252252252252	0.12417375492670026
53.64264264264264	0.12678855844048056
53.76276276276276	0.1294528585465621
53.88288288288288	0.1321674638892054
54.003003003003	0.13493319353222832
54.12312312312312	0.13775087703519573
54.24324324324324	0.1406213545289258
54.36336336336336	0.14354547679027688
54.48348348348348	0.14652410531618493
54.6036036036036	0.1495581123969134
54.72372372372372	0.15264838118848
54.84384384384384	0.15579580578422642
54.96396396396396	0.1590012912854929
55.08408408408408	0.16226575387136125
55.2042042042042	0.16559012086742897
55.32432432432432	0.16897533081357693
55.44444444444444	0.17242233353069222
55.56456456456456	0.1759320901863056
55.68468468468468	0.17950557335910802
55.8048048048048	0.1831437671023028
55.92492492492492	0.18684766700575497
56.04504504504504	0.19061828025689836
56.16516516516516	0.19445662570035518
56.28528528528528	0.19836373389623194
56.4054054054054	0.20234064717704656
56.525525525525524	0.20638841970324423
56.645645645645644	0.21050811751726048
56.765765765765764	0.2147008185960873
56.885885885885884	0.21896761290229985
57.006006006006004	0.2233096024334975
57.126126126126124	0.22772790127011827
57.246246246246244	0.2322236356215777
57.366366366366364	0.23679794387068973
57.486486486486484	0.24145197661632417
57.606606606606604	0.24618689671425326
57.726726726726724	0.25100387931614127
57.846846846846844	0.2559041119066321
57.966966966966964	0.2608887943384847
58.087087087087085	0.26595913886571443
58.207207207207205	0.27111637017468604
58.327327327327325	0.2763617254131156
58.447447447447445	0.2816964542169303
58.567567567567565	0.287121818734939
58.687687687687685	0.2926390936512649
58.807807807807805	0.2982495662054882
58.927927927927925	0.3039545362104554
59.048048048048045	0.30975531606769924
59.168168168168165	0.3156532307804241
59.288288288288285	0.32164961796400454
59.408408408408405	0.3277458278539473
59.528528528528525	0.3339432233112688
59.648648648648646	0.34024317982523117
59.768768768768766	0.34664708551339496
59.888888888888886	0.3531563411189286
60.009009009009006	0.3597723600051329
60.129129129129126	0.36649656814712106
60.249249249249246	0.3733304041206081
60.369369369369366	0.38027531908775675
60.489489489489486	0.38733277678002864
60.609609609609606	0.39450425347799084
60.729729729729726	0.40179123798802296
60.849849849849846	0.4091952316158765
60.969969969969966	0.41671774813703455
61.09009009009009	0.4243603137638187
61.21021021021021	0.43212446710919583
61.33033033033033	0.4400117591472248
61.45045045045045	0.44802375317010423
61.57057057057057	0.45616202474176043
61.69069069069069	0.4644281616479269
61.81081081081081	0.47282376384266833
61.93093093093093	0.48135044339129224
62.05105105105105	0.49000982440960394
62.17117117117117	0.49880354299944774
62.29129129129129	0.5077332471804922
62.41141141141141	0.5168005968182012
62.53153153153153	0.5260072635479488
62.65165165165165	0.5353549306952223
62.77177177177177	0.5448452931918684
62.89189189189189	0.5544800574883326
63.01201201201201	0.564260941461844
63.13213213213213	0.5741896743204942
63.25225225225225	0.584267996503168
63.37237237237237	0.5944976595752758
63.49249249249249	0.6048804261202403
63.61261261261261	0.6154180696266929
63.73273273273273	0.6261123743713327
63.852852852852855	0.6369651352974045
63.972972972972975	0.647978157888747
64.09309309309309	0.6591532580393759
64.21321321321321	0.6704922619185486
64.33333333333333	0.6819970058312678
64.45345345345345	0.6936693360741935
64.57357357357357	0.7055111087869085
64.69369369369369	0.7175241897984997
64.81381381381381	0.7297104544694264
64.93393393393393	0.742071787528611
65.05405405405405	0.7546100829057438
65.17417417417417	0.7673272435587408
65.29429429429429	0.7802251812963279
65.41441441441441	0.7933058165957135
65.53453453453453	0.8065710784153123
65.65465465465465	0.8200229040024887
65.77477477477477	0.8336632386962844
65.89489489489489	0.8474940357250983
66.01501501501501	0.861517255999285
66.13513513513513	0.8757348678986463
66.25525525525525	0.8901488470547808
66.37537537537537	0.9047611761282659
66.49549549549549	0.9195738445806488
66.61561561561561	0.934588848441205
66.73573573573573	0.9498081900684618
66.85585585585585	0.9652338779064458
