x	y
41	1
51	0
61	0
71	0
81	0
91	1
101	0
111	0
121	0
131	0
141	0
151	0
161	0
171	0
181	0
191	0
201	1
211	0
221	0
231	0
241	0
251	0
261	0
271	0
281	0
291	0
301	0
311	0
321	0
331	0
341	0
351	0
361	1
371	0
381	0
391	0
401	3
411	1
421	2
431	1
441	0
451	0
461	2
471	1
481	2
491	2
501	0
511	0
521	1
531	0
541	0
551	0
561	0
571	2
581	0
591	1
601	2
611	0
621	0
631	0
641	1
651	0
661	0
671	0
681	1
691	1
701	1
711	0
721	0
731	0
741	0
751	0
761	3
771	0
781	1
791	1
801	0
811	0
821	0
831	1
841	0
851	0
861	0
871	1
881	0
891	2
901	0
911	1
921	1
931	1
941	1
951	1
961	0
971	3
981	2
991	0
1001	1
1011	2
1021	0
1031	1
1041	0
1051	0
1061	0
1071	0
1081	0
1091	0
1101	1
1111	0
1121	0
1131	0
1141	2
1151	0
1161	0
1171	0
1181	0
1191	0
1201	0
1211	0
1221	0
1231	0
1241	0
1251	0
1261	0
1271	0
1281	0
1291	0
1301	1
1311	0
1321	2
1331	0
1341	0
1351	0
1361	0
1371	0
1381	0
1391	0
1401	0
1411	1
1421	0
1431	0
1441	0
1451	0
1461	2
1471	0
1481	0
1491	0
1501	0
1511	0
1521	0
1531	0
1541	0
1551	0
1561	0
1571	0
1581	0
1591	0
1601	0
1611	0
1621	0
1631	2
1641	0
1651	0
1661	0
1671	0
1681	0
1691	0
1701	0
1711	0
1721	0
1731	0
1741	0
1751	0
1761	4
1771	0
1781	0
1791	0
1801	0
1811	0
1821	0
1831	0
1841	1
1851	0
1861	0
1871	0
1881	0
1891	0
1901	0
1911	0
1921	0
1931	0
1941	0
1951	0
1961	0
1971	0
1981	0
1991	1
2001	0
2011	0
2021	0
2031	0
2041	0
2051	0
2061	0
2071	0
2081	0
2091	0
2101	0
2111	0
2121	0
2131	0
2141	0
2151	0
2161	0
2171	3
2181	0
2191	0
2201	1
2211	0
2221	1
2231	0
2241	0
2251	0
2261	1
2271	0
2281	0
2291	3
2301	1
2311	0
2321	0
2331	1
2341	1
2351	0
2361	0
2371	0
2381	0
2391	1
2401	0
2411	0
2421	1
2431	1
2441	0
2451	0
2461	1
2471	0
2481	0
2491	0
2501	0
2511	0
2521	0
2531	0
2541	0
2551	1
2561	1
2571	0
2581	0
2591	0
2601	0
2611	0
2621	0
2631	1
2641	0
2651	0
2661	1
2671	1
2681	0
2691	0
2701	0
2711	1
2721	1
2731	3
2741	2
2751	0
2761	0
2771	0
2781	0
2791	0
2801	2
2811	1
2821	0
2831	0
2841	0
2851	0
2861	2
2871	0
2881	0
2891	1
2901	1
2911	0
