x	y
1	129.60505
2	56.583675
3	23.834
4	10.09185
5	4.55255
6	2.014225
7	0.88065
8	0.415875
9	0.168075
10	0.097225
11	0.0678
12	0.0388
13	0.03185
14	0.01555
15	0.0146
16	0.011075
17	0.002475
18	0.00655
19	0.003625
20	0.010925
21	0.01545
22	0.001375
23	0.0079
24	0.0
25	0.0
26	0.0
27	0.003525
28	0.0011
29	0.001375
30	0.000475
31	0.0
32	0.000325
33	0.0
34	0.0
35	0.000925
36	0.00205
37	0.0
38	0.0
39	0.0
40	0.0
41	0.0
42	0.0
43	0.0
44	0.0
45	0.0
46	0.002825
47	0.00265
48	0.0
49	0.0
50	0.0
51	0.0
52	0.0
53	0.0
54	0.0
55	0.0
56	0.0
57	0.0
58	0.0
59	0.0
60	0.0
61	5e-05
62	0.0
63	0.0
64	0.0
65	0.0
66	0.0
67	0.0
68	0.0
69	0.0
70	0.0
71	0.0
72	0.0
73	0.0
74	0.0
75	0.0
76	0.0
77	0.0
78	0.0
79	0.0
80	0.0
81	0.001525
82	0.000575
83	0.0
84	0.0
85	0.0
86	0.0
87	0.0
88	0.0
89	0.001225
90	0.0
