x	y
168.0	1.0
169.0	0.0
170.0	0.0
171.0	0.0
172.0	0.0
173.0	0.0
174.0	0.0
175.0	0.0
176.0	0.0
177.0	0.0
178.0	0.0
179.0	0.0
180.0	0.0
181.0	1.0
182.0	1.0
183.0	0.0
184.0	0.0
185.0	0.0
186.0	0.0
187.0	0.0
188.0	0.0
189.0	0.0
190.0	0.0
191.0	0.0
192.0	1.0
193.0	0.0
194.0	0.0
195.0	0.0
196.0	0.0
197.0	1.0
198.0	0.0
199.0	2.0
200.0	0.0
201.0	0.0
202.0	0.0
203.0	0.0
204.0	0.0
205.0	1.0
206.0	0.0
207.0	0.0
208.0	0.0
209.0	0.0
210.0	0.0
211.0	0.0
212.0	0.0
213.0	0.0
214.0	0.0
215.0	1.0
216.0	0.0
217.0	0.0
218.0	0.0
219.0	0.0
220.0	0.0
221.0	2.0
222.0	1.0
223.0	1.0
224.0	0.0
225.0	1.0
226.0	0.0
227.0	1.0
228.0	1.0
229.0	1.0
230.0	0.0
231.0	0.0
232.0	0.0
233.0	0.0
234.0	0.0
235.0	1.0
236.0	0.0
237.0	1.0
238.0	1.0
239.0	0.0
240.0	0.0
241.0	1.0
242.0	1.0
243.0	0.0
244.0	1.0
245.0	2.0
246.0	2.0
247.0	0.0
248.0	3.0
249.0	0.0
250.0	1.0
251.0	1.0
252.0	0.0
253.0	2.0
254.0	2.0
255.0	2.0
256.0	2.0
257.0	0.0
258.0	0.0
259.0	2.0
260.0	0.0
261.0	2.0
262.0	1.0
263.0	1.0
264.0	0.0
265.0	1.0
266.0	2.0
267.0	0.0
268.0	1.0
269.0	1.0
270.0	0.0
271.0	0.0
272.0	0.0
273.0	1.0
274.0	1.0
275.0	1.0
276.0	0.0
277.0	3.0
278.0	0.0
279.0	1.0
280.0	2.0
281.0	2.0
282.0	0.0
283.0	1.0
284.0	0.0
285.0	0.0
286.0	0.0
287.0	0.0
288.0	1.0
289.0	0.0
290.0	1.0
291.0	4.0
292.0	0.0
293.0	0.0
294.0	0.0
295.0	1.0
296.0	0.0
297.0	1.0
298.0	1.0
299.0	2.0
300.0	0.0
301.0	1.0
302.0	1.0
303.0	1.0
304.0	3.0
305.0	1.0
306.0	1.0
307.0	0.0
308.0	1.0
309.0	3.0
310.0	1.0
311.0	1.0
312.0	2.0
313.0	0.0
314.0	1.0
315.0	1.0
316.0	1.0
317.0	0.0
318.0	0.0
319.0	1.0
320.0	1.0
321.0	1.0
322.0	0.0
323.0	2.0
324.0	0.0
325.0	0.0
326.0	0.0
327.0	2.0
328.0	1.0
329.0	1.0
330.0	1.0
331.0	1.0
332.0	0.0
333.0	0.0
334.0	0.0
335.0	1.0
336.0	0.0
337.0	2.0
338.0	2.0
339.0	2.0
340.0	3.0
341.0	1.0
342.0	1.0
343.0	1.0
344.0	2.0
345.0	0.0
346.0	0.0
347.0	1.0
348.0	0.0
349.0	1.0
350.0	1.0
351.0	2.0
352.0	0.0
353.0	0.0
354.0	0.0
355.0	0.0
356.0	0.0
357.0	3.0
358.0	0.0
359.0	0.0
360.0	0.0
361.0	1.0
362.0	0.0
363.0	0.0
364.0	1.0
365.0	0.0
366.0	2.0
367.0	1.0
368.0	0.0
369.0	0.0
370.0	1.0
371.0	0.0
372.0	0.0
373.0	2.0
374.0	0.0
375.0	2.0
376.0	0.0
377.0	1.0
378.0	1.0
379.0	1.0
380.0	1.0
381.0	2.0
382.0	0.0
383.0	1.0
384.0	4.0
385.0	1.0
386.0	0.0
387.0	0.0
388.0	0.0
389.0	0.0
390.0	0.0
391.0	1.0
392.0	4.0
393.0	1.0
394.0	2.0
395.0	1.0
396.0	1.0
397.0	1.0
398.0	2.0
399.0	0.0
400.0	2.0
401.0	0.0
402.0	2.0
403.0	0.0
404.0	2.0
405.0	1.0
406.0	2.0
407.0	0.0
408.0	0.0
409.0	3.0
410.0	1.0
411.0	0.0
412.0	4.0
413.0	2.0
414.0	2.0
415.0	0.0
416.0	1.0
417.0	0.0
418.0	3.0
419.0	1.0
420.0	1.0
421.0	1.0
422.0	1.0
423.0	4.0
424.0	3.0
425.0	1.0
426.0	1.0
427.0	1.0
428.0	1.0
429.0	2.0
430.0	1.0
431.0	3.0
432.0	2.0
433.0	1.0
434.0	0.0
435.0	0.0
436.0	1.0
437.0	1.0
438.0	4.0
439.0	1.0
440.0	2.0
441.0	1.0
442.0	1.0
443.0	0.0
444.0	0.0
445.0	4.0
446.0	0.0
447.0	1.0
448.0	0.0
449.0	2.0
450.0	1.0
451.0	3.0
452.0	2.0
453.0	0.0
454.0	0.0
455.0	1.0
456.0	1.0
457.0	1.0
458.0	3.0
459.0	1.0
460.0	2.0
461.0	3.0
462.0	3.0
463.0	2.0
464.0	5.0
465.0	3.0
466.0	0.0
467.0	0.0
468.0	1.0
469.0	1.0
470.0	2.0
471.0	3.0
472.0	1.0
473.0	4.0
474.0	1.0
475.0	1.0
476.0	1.0
477.0	2.0
478.0	1.0
479.0	2.0
480.0	1.0
481.0	0.0
482.0	2.0
483.0	3.0
484.0	0.0
485.0	2.0
486.0	1.0
487.0	0.0
488.0	2.0
489.0	3.0
490.0	3.0
491.0	5.0
492.0	3.0
493.0	6.0
494.0	1.0
495.0	2.0
496.0	1.0
497.0	4.0
498.0	3.0
499.0	2.0
500.0	2.0
501.0	1.0
502.0	1.0
503.0	1.0
504.0	4.0
505.0	0.0
506.0	4.0
507.0	0.0
508.0	2.0
509.0	3.0
510.0	0.0
511.0	2.0
512.0	0.0
513.0	2.0
514.0	2.0
515.0	4.0
516.0	1.0
517.0	3.0
518.0	0.0
519.0	2.0
520.0	3.0
521.0	3.0
522.0	4.0
523.0	2.0
524.0	2.0
525.0	2.0
526.0	2.0
527.0	1.0
528.0	3.0
529.0	2.0
530.0	3.0
531.0	0.0
532.0	1.0
533.0	1.0
534.0	1.0
535.0	2.0
536.0	1.0
537.0	0.0
538.0	0.0
539.0	2.0
540.0	1.0
541.0	3.0
542.0	2.0
543.0	0.0
544.0	0.0
545.0	3.0
546.0	3.0
547.0	1.0
548.0	2.0
549.0	1.0
550.0	1.0
551.0	1.0
552.0	2.0
553.0	0.0
554.0	1.0
555.0	1.0
556.0	2.0
557.0	1.0
558.0	0.0
559.0	0.0
560.0	1.0
561.0	1.0
562.0	0.0
563.0	1.0
564.0	0.0
565.0	0.0
566.0	1.0
567.0	0.0
568.0	0.0
569.0	2.0
570.0	1.0
571.0	0.0
572.0	0.0
573.0	2.0
574.0	2.0
575.0	1.0
576.0	0.0
577.0	2.0
578.0	1.0
579.0	2.0
580.0	0.0
581.0	1.0
582.0	0.0
583.0	0.0
584.0	0.0
585.0	2.0
586.0	2.0
587.0	1.0
588.0	0.0
589.0	0.0
590.0	3.0
591.0	1.0
592.0	0.0
593.0	0.0
594.0	0.0
595.0	0.0
596.0	0.0
597.0	0.0
598.0	0.0
599.0	0.0
600.0	0.0
601.0	0.0
602.0	1.0
603.0	1.0
604.0	0.0
605.0	0.0
606.0	1.0
607.0	0.0
608.0	0.0
609.0	0.0
610.0	0.0
611.0	0.0
612.0	0.0
613.0	0.0
614.0	0.0
615.0	0.0
616.0	0.0
617.0	0.0
618.0	0.0
619.0	0.0
620.0	0.0
621.0	0.0
622.0	0.0
623.0	0.0
624.0	0.0
625.0	0.0
626.0	0.0
627.0	0.0
628.0	0.0
629.0	0.0
630.0	0.0
