x	y
1	24.682425
2	7.462625
3	5.4917
4	2.338775
5	1.90515
6	1.500175
7	1.901575
8	2.152175
9	1.86285
10	1.102675
11	1.255975
12	1.207925
13	1.5405
14	0.7103
15	0.85225
16	0.499275
17	0.569775
18	0.850575
19	0.858425
20	1.1139
21	0.442875
22	0.400925
23	0.2615
24	0.1734
25	0.44195
26	0.5043
27	1.1502
28	0.08985
29	0.0
30	0.0
31	0.0708
32	0.0
33	0.0
34	0.0
35	0.0
36	0.0
37	0.09015
38	0.095625
39	0.0
40	0.0
41	0.0
42	0.0
43	0.0
44	0.0
45	0.155225
46	0.016525
47	0.033925
48	0.29255
49	0.017175
50	0.190675
51	0.203325
52	0.0029
53	0.1068
54	0.0
55	0.269075
56	0.028675
57	0.0
