x	y
225.0	1.0
226.0	1.0
227.0	0.0
228.0	0.0
229.0	0.0
230.0	0.0
231.0	0.0
232.0	1.0
233.0	0.0
234.0	0.0
235.0	0.0
236.0	0.0
237.0	1.0
238.0	0.0
239.0	0.0
240.0	0.0
241.0	1.0
242.0	0.0
243.0	0.0
244.0	1.0
245.0	1.0
246.0	0.0
247.0	0.0
248.0	1.0
249.0	2.0
250.0	0.0
251.0	2.0
252.0	0.0
253.0	0.0
254.0	1.0
255.0	2.0
256.0	2.0
257.0	2.0
258.0	0.0
259.0	1.0
260.0	1.0
261.0	1.0
262.0	2.0
263.0	0.0
264.0	2.0
265.0	3.0
266.0	0.0
267.0	1.0
268.0	3.0
269.0	1.0
270.0	1.0
271.0	3.0
272.0	3.0
273.0	3.0
274.0	1.0
275.0	3.0
276.0	3.0
277.0	3.0
278.0	5.0
279.0	5.0
280.0	3.0
281.0	2.0
282.0	1.0
283.0	1.0
284.0	4.0
285.0	4.0
286.0	3.0
287.0	2.0
288.0	5.0
289.0	2.0
290.0	2.0
291.0	1.0
292.0	2.0
293.0	6.0
294.0	6.0
295.0	4.0
296.0	1.0
297.0	8.0
298.0	2.0
299.0	4.0
300.0	3.0
301.0	3.0
302.0	4.0
303.0	6.0
304.0	2.0
305.0	2.0
306.0	3.0
307.0	3.0
308.0	3.0
309.0	8.0
310.0	8.0
311.0	2.0
312.0	5.0
313.0	3.0
314.0	7.0
315.0	7.0
316.0	3.0
317.0	1.0
318.0	0.0
319.0	5.0
320.0	5.0
321.0	2.0
322.0	6.0
323.0	2.0
324.0	5.0
325.0	7.0
326.0	11.0
327.0	4.0
328.0	7.0
329.0	5.0
330.0	6.0
331.0	3.0
332.0	2.0
333.0	1.0
334.0	9.0
335.0	4.0
336.0	4.0
337.0	6.0
338.0	10.0
339.0	2.0
340.0	6.0
341.0	5.0
342.0	2.0
343.0	10.0
344.0	0.0
345.0	6.0
346.0	4.0
347.0	6.0
348.0	2.0
349.0	4.0
350.0	5.0
351.0	3.0
352.0	7.0
353.0	5.0
354.0	2.0
355.0	4.0
356.0	5.0
357.0	4.0
358.0	3.0
359.0	3.0
360.0	1.0
361.0	4.0
362.0	3.0
363.0	4.0
364.0	2.0
365.0	0.0
366.0	2.0
367.0	4.0
368.0	0.0
369.0	2.0
370.0	1.0
371.0	1.0
372.0	2.0
373.0	2.0
374.0	1.0
375.0	0.0
376.0	1.0
377.0	0.0
378.0	0.0
379.0	1.0
380.0	2.0
381.0	0.0
382.0	2.0
383.0	1.0
384.0	3.0
385.0	0.0
386.0	1.0
387.0	0.0
388.0	5.0
389.0	1.0
390.0	0.0
391.0	1.0
392.0	0.0
393.0	2.0
394.0	0.0
395.0	0.0
396.0	1.0
397.0	0.0
398.0	0.0
399.0	0.0
400.0	0.0
401.0	1.0
402.0	1.0
403.0	0.0
404.0	0.0
405.0	1.0
406.0	1.0
407.0	0.0
408.0	0.0
409.0	0.0
410.0	0.0
411.0	1.0
412.0	0.0
413.0	0.0
414.0	0.0
415.0	0.0
416.0	0.0
417.0	0.0
418.0	1.0
419.0	0.0
420.0	0.0
421.0	1.0
422.0	0.0
423.0	0.0
424.0	0.0
425.0	0.0
426.0	1.0
427.0	0.0
225.0	0.1376314667873577
225.20220220220222	0.1397151350231189
225.4044044044044	0.14182587898074347
225.60660660660662	0.1439639736569106
225.8088088088088	0.14612969559296243
226.01101101101102	0.14832332286306962
226.2132132132132	0.1505451350619688
226.41541541541542	0.15279541329228172
226.6176176176176	0.15507444015139726
226.81981981981983	0.15738249971792667
227.022022022022	0.1597198775377164
227.22422422422423	0.1620868606094231
227.42642642642642	0.16448373736964036
227.62862862862863	0.1669107976775799
227.83083083083082	0.16936833279929697
228.03303303303304	0.17185663539146234
228.23523523523522	0.1743759994846707
228.43743743743744	0.17692672046629132
228.63963963963965	0.1795090950628439
228.84184184184184	0.1821234213219106
229.04404404404406	0.1847699985935711
229.24624624624624	0.1874491275113596
229.44844844844846	0.19016110997274352
229.65065065065065	0.1929062491191141
229.85285285285286	0.19568484931529684
230.05505505505505	0.19849721612856155
230.25725725725727	0.2013436563071508
230.45945945945945	0.20422447775829985
230.66166166166167	0.20713998952576754
230.86386386386386	0.2100905017668577
231.06606606606607	0.2130763257289403
231.26826826826826	0.21609777372546046
231.47047047047047	0.21915515911144137
231.67267267267266	0.22224879625847
231.87487487487488	0.22537900052917137
232.07707707707706	0.22854608825115919
232.27927927927928	0.23175037669047469
232.48148148148147	0.2349921840244916
232.68368368368368	0.23827182931430746
232.8858858858859	0.24158963247659998
233.08808808808809	0.24494591425495754
233.2902902902903	0.24834099619068079
233.4924924924925	0.2517752005930453
233.6946946946947	0.2552488505090395
233.8968968968969	0.2587622696925545
234.0990990990991	0.262315782573048
234.3013013013013	0.2659097142236603
234.5035035035035	0.2695443903287957
234.7057057057057	0.2732201371511575
234.9079079079079	0.2769372814982452
235.1101101101101	0.28069615068830217
235.31231231231232	0.28449707251572487
235.5145145145145	0.2883403752159187
235.71671671671672	0.29222638742961743
235.9189189189189	0.29615543816664397
236.12112112112112	0.300127856769136
236.32332332332334	0.3041439728742119
236.52552552552552	0.3082041163760979
236.72772772772774	0.3123086173877034
236.92992992992993	0.31645780620164476
237.13213213213214	0.32065201325073006
237.33433433433433	0.32489156906788264
237.53653653653654	0.32917680424553275
237.73873873873873	0.33350804939444595
237.94094094094095	0.33788563510201985
238.14314314314313	0.3423098918900229
238.34534534534535	0.34678115017179795
238.54754754754754	0.35129974020891314
238.74974974974975	0.35586599206727876
238.95195195195194	0.3604802355727148
239.15415415415416	0.3651428002659845
239.35635635635634	0.36985401535728285
239.55855855855856	0.37461420968019854
