x	y
92	7
102	5
112	1
122	0
132	0
142	0
152	0
162	0
172	1
182	3
192	3
202	3
212	0
222	1
232	0
242	0
252	0
262	0
272	0
282	0
292	0
302	0
312	0
322	1
332	0
342	0
352	0
362	0
372	0
382	0
392	0
402	0
412	0
422	0
432	8
442	10
452	9
462	9
472	7
482	9
492	6
502	1
512	0
522	0
532	0
542	0
552	6
562	8
572	4
582	0
592	1
602	1
612	1
622	0
632	0
642	0
652	0
662	0
672	0
682	0
692	0
702	0
712	0
722	0
732	0
742	0
752	0
762	0
772	0
782	0
792	0
802	0
812	0
822	0
832	1
842	0
852	0
862	0
872	0
882	0
892	0
902	0
912	0
922	0
932	0
942	0
952	0
962	0
972	0
982	0
992	1
1002	0
1012	0
1022	0
1032	1
1042	1
1052	0
1062	1
1072	6
1082	10
1092	8
1102	10
1112	9
1122	10
1132	10
1142	8
1152	1
1162	0
1172	0
1182	1
1192	0
1202	0
1212	0
1222	0
1232	0
1242	0
1252	0
1262	0
1272	0
1282	0
1292	0
1302	0
1312	0
1322	0
1332	0
1342	0
1352	0
1362	0
1372	1
1382	0
1392	0
1402	2
1412	7
1422	5
1432	4
1442	1
1452	0
1462	0
1472	0
1482	0
1492	0
1502	1
1512	0
1522	1
1532	1
1542	0
1552	0
1562	0
1572	0
1582	0
1592	0
1602	0
1612	0
1622	0
1632	0
1642	0
1652	0
1662	0
1672	0
1682	0
1692	0
1702	0
1712	0
1722	0
1732	0
1742	0
1752	0
1762	1
1772	4
1782	8
1792	1
1802	0
1812	0
1822	0
1832	0
1842	0
1852	0
1862	0
1872	0
1882	0
1892	1
1902	0
1912	3
1922	3
1932	4
1942	1
1952	0
1962	0
1972	0
1982	0
1992	0
2002	0
2012	0
2022	0
2032	0
2042	0
2052	0
2062	1
2072	0
2082	0
2092	0
2102	0
2112	0
2122	0
2132	0
2142	0
2152	0
2162	0
2172	0
2182	0
2192	0
2202	0
2212	0
2222	0
2232	0
2242	0
2252	0
2262	0
2272	0
2282	0
2292	0
2302	0
2312	0
2322	0
2332	0
2342	0
2352	0
2362	3
2372	9
2382	7
2392	3
2402	1
2412	0
2422	0
2432	1
2442	0
2452	0
2462	0
2472	0
2482	0
2492	0
2502	0
2512	0
2522	1
2532	0
2542	0
2552	0
2562	0
2572	0
2582	0
2592	0
2602	0
2612	3
2622	0
2632	0
2642	0
2652	0
2662	0
2672	0
2682	0
2692	0
2702	0
2712	0
2722	0
2732	0
2742	0
2752	0
2762	0
2772	3
2782	10
2792	8
2802	1
2812	0
2822	0
2832	0
2842	0
2852	0
2862	0
2872	1
2882	0
2892	0
2902	3
2912	8
2922	9
2932	8
2942	6
2952	3
2962	2
2972	6
2982	0
2992	0
3002	0
3012	0
3022	0
3032	0
3042	0
3052	8
3062	9
3072	9
3082	10
3092	7
3102	0
3112	0
3122	0
3132	0
3142	0
3152	0
3162	0
3172	0
3182	0
3192	1
3202	0
3212	0
3222	0
3232	1
3242	0
3252	0
3262	0
3272	0
3282	3
3292	10
3302	10
3312	10
3322	9
3332	2
3342	5
3352	0
3362	0
3372	0
3382	0
3392	0
3402	0
3412	0
3422	0
3432	0
3442	0
3452	0
3462	0
3472	0
3482	0
3492	0
3502	0
3512	0
3522	0
3532	0
3542	0
3552	1
3562	0
3572	0
3582	0
3592	0
3602	2
3612	1
3622	1
3632	0
3642	0
3652	0
3662	0
3672	0
3682	0
3692	0
3702	0
3712	2
3722	1
3732	1
3742	0
3752	0
3762	0
3772	0
3782	0
3792	0
3802	0
3812	2
3822	2
3832	0
3842	0
3852	0
3862	0
3872	0
3882	0
3892	0
3902	0
3912	0
3922	1
3932	0
3942	0
3952	0
3962	0
3972	0
3982	0
3992	0
4002	0
4012	0
4022	0
4032	0
4042	0
4052	0
4062	0
4072	1
4082	2
4092	1
4102	0
4112	0
4122	0
4132	1
4142	8
4152	1
4162	0
4172	0
4182	0
4192	0
4202	4
4212	9
4222	10
4232	8
4242	8
4252	8
4262	0
4272	0
4282	0
4292	0
4302	0
4312	0
4322	0
4332	0
4342	0
4352	0
4362	0
4372	0
4382	0
4392	0
4402	0
4412	0
4422	0
4432	0
4442	0
4452	0
4462	0
4472	1
4482	0
4492	0
4502	0
4512	0
4522	0
4532	0
4542	0
4552	0
4562	0
4572	0
4582	0
4592	0
4602	0
4612	0
4622	0
4632	1
4642	8
4652	10
4662	10
4672	7
4682	0
4692	0
4702	0
4712	0
4722	0
4732	0
4742	0
4752	0
4762	1
4772	0
4782	0
4792	0
4802	4
4812	8
4822	9
4832	8
4842	3
4852	2
4862	0
4872	0
4882	0
4892	0
4902	0
4912	0
4922	0
4932	0
4942	0
4952	0
4962	0
4972	0
4982	0
4992	0
5002	0
5012	0
5022	0
5032	0
5042	0
5052	0
5062	0
5072	2
5082	7
5092	8
5102	10
5112	9
5122	8
5132	1
5142	0
5152	0
5162	0
5172	0
5182	0
5192	0
5202	0
5212	0
5222	0
5232	0
5242	0
5252	0
5262	0
5272	0
5282	0
5292	0
5302	0
5312	0
5322	0
5332	0
5342	0
5352	0
5362	0
5372	0
5382	0
5392	3
5402	3
5412	10
5422	8
5432	6
5442	7
5452	6
5462	9
5472	10
5482	9
5492	9
5502	8
5512	4
5522	0
5532	0
5542	0
5552	0
5562	0
5572	0
5582	0
5592	0
5602	1
5612	0
5622	0
5632	0
5642	2
5652	0
5662	0
5672	0
5682	0
5692	0
5702	0
5712	0
5722	0
5732	0
5742	0
5752	0
5762	1
5772	0
5782	0
5792	0
5802	0
5812	1
5822	0
5832	0
5842	2
5852	0
5862	5
5872	10
5882	9
5892	5
5902	0
5912	0
5922	0
5932	0
5942	0
5952	0
5962	1
5972	0
5982	0
5992	1
6002	0
