x	y
1	115.087975
2	35.7178
3	15.922225
4	10.333525
5	6.633125
6	4.391075
7	3.475275
8	3.0944
9	2.35315
10	2.9466
11	1.4175
12	1.488275
13	1.354775
14	1.523625
15	0.603575
16	1.024175
17	1.52865
18	1.3201
19	0.776325
20	0.585675
21	0.892525
22	0.80275
23	0.5275
24	0.88395
25	0.598675
26	0.6813
27	0.360475
28	0.283525
29	0.31645
30	0.307325
31	0.316375
32	0.454425
33	0.14175
34	0.1055
35	0.1498
36	0.09885
37	0.1129
38	0.155825
39	0.110175
40	0.03325
41	0.177825
42	0.092075
43	0.0
44	0.16175
45	0.0
46	0.0
47	0.0
48	0.243075
49	0.1223
50	0.004275
51	0.0785
52	0.05035
53	0.0
54	0.0
55	0.0
56	0.0
57	0.045875
58	0.0
59	0.062225
60	0.0137
61	0.0
62	0.0
63	0.0372
64	0.01655
65	0.0559
66	0.01755
67	0.108825
68	0.029175
69	0.013675
70	0.034025
71	0.0
