x	y
1.0	4.0
2.0	3.0
3.0	5.0
4.0	2.0
5.0	4.0
6.0	5.0
7.0	1.0
8.0	5.0
9.0	2.0
10.0	5.0
11.0	7.0
12.0	4.0
13.0	2.0
14.0	6.0
15.0	3.0
16.0	2.0
17.0	3.0
18.0	6.0
19.0	3.0
20.0	1.0
21.0	4.0
22.0	3.0
23.0	7.0
24.0	8.0
25.0	3.0
26.0	2.0
27.0	4.0
28.0	3.0
29.0	5.0
30.0	6.0
31.0	0.0
32.0	1.0
33.0	6.0
34.0	3.0
35.0	0.0
36.0	6.0
37.0	1.0
38.0	0.0
39.0	2.0
40.0	2.0
41.0	2.0
42.0	1.0
43.0	6.0
44.0	5.0
45.0	4.0
46.0	2.0
47.0	1.0
48.0	3.0
49.0	2.0
50.0	1.0
51.0	2.0
52.0	1.0
53.0	1.0
54.0	2.0
55.0	3.0
56.0	6.0
57.0	2.0
58.0	2.0
59.0	6.0
60.0	1.0
61.0	0.0
62.0	2.0
63.0	1.0
64.0	0.0
65.0	1.0
66.0	2.0
67.0	1.0
68.0	2.0
69.0	1.0
70.0	3.0
71.0	1.0
72.0	1.0
73.0	0.0
74.0	5.0
75.0	3.0
76.0	3.0
77.0	1.0
78.0	2.0
79.0	2.0
80.0	0.0
81.0	0.0
82.0	4.0
83.0	1.0
84.0	2.0
85.0	3.0
86.0	3.0
87.0	0.0
88.0	2.0
89.0	1.0
90.0	1.0
91.0	1.0
92.0	6.0
93.0	0.0
94.0	1.0
95.0	1.0
96.0	2.0
97.0	2.0
98.0	4.0
99.0	2.0
100.0	2.0
101.0	0.0
102.0	3.0
103.0	0.0
104.0	1.0
105.0	3.0
106.0	0.0
107.0	1.0
108.0	3.0
109.0	1.0
110.0	2.0
111.0	2.0
112.0	2.0
113.0	2.0
114.0	1.0
115.0	1.0
116.0	0.0
117.0	4.0
118.0	0.0
119.0	2.0
120.0	2.0
121.0	0.0
122.0	1.0
123.0	1.0
124.0	4.0
125.0	2.0
126.0	2.0
127.0	1.0
128.0	2.0
129.0	1.0
130.0	2.0
131.0	2.0
132.0	0.0
133.0	1.0
134.0	3.0
135.0	4.0
136.0	3.0
137.0	1.0
138.0	2.0
139.0	1.0
140.0	3.0
141.0	1.0
142.0	2.0
143.0	3.0
144.0	0.0
145.0	1.0
146.0	2.0
147.0	1.0
148.0	4.0
149.0	3.0
150.0	2.0
151.0	2.0
152.0	2.0
153.0	0.0
154.0	4.0
155.0	1.0
156.0	1.0
157.0	4.0
158.0	4.0
159.0	2.0
160.0	4.0
161.0	3.0
162.0	2.0
163.0	5.0
164.0	6.0
165.0	6.0
166.0	4.0
167.0	2.0
168.0	4.0
169.0	4.0
170.0	6.0
171.0	1.0
172.0	2.0
173.0	2.0
174.0	3.0
175.0	3.0
176.0	2.0
177.0	2.0
178.0	8.0
179.0	2.0
180.0	1.0
181.0	1.0
182.0	6.0
183.0	4.0
184.0	6.0
185.0	6.0
186.0	5.0
187.0	6.0
188.0	6.0
189.0	3.0
190.0	7.0
191.0	8.0
192.0	9.0
193.0	3.0
194.0	9.0
195.0	4.0
196.0	3.0
197.0	5.0
198.0	3.0
199.0	10.0
200.0	9.0
201.0	6.0
202.0	5.0
203.0	2.0
204.0	5.0
205.0	6.0
206.0	12.0
207.0	9.0
208.0	6.0
209.0	5.0
210.0	5.0
211.0	4.0
212.0	1.0
213.0	9.0
214.0	11.0
215.0	7.0
216.0	5.0
217.0	5.0
218.0	8.0
219.0	5.0
220.0	9.0
221.0	5.0
222.0	13.0
223.0	10.0
224.0	7.0
225.0	5.0
226.0	9.0
227.0	5.0
228.0	12.0
229.0	8.0
230.0	3.0
231.0	6.0
232.0	4.0
233.0	3.0
234.0	10.0
235.0	8.0
