x	y
-1012780.1863035327	1.0
-1012680.1863035327	0.0
-1012580.1863035327	0.0
-1012480.1863035327	0.0
-1012380.1863035327	0.0
-1012280.1863035327	0.0
-1012180.1863035327	0.0
-1012080.1863035327	0.0
-1011980.1863035327	0.0
-1011880.1863035327	0.0
-1011780.1863035327	0.0
-1011680.1863035327	0.0
-1011580.1863035327	0.0
-1011480.1863035327	0.0
-1011380.1863035327	0.0
-1011280.1863035327	0.0
-1011180.1863035327	0.0
-1011080.1863035327	0.0
-1010980.1863035327	0.0
-1010880.1863035327	0.0
-1010780.1863035327	0.0
-1010680.1863035327	0.0
-1010580.1863035327	1.0
-1010480.1863035327	0.0
-1010380.1863035327	0.0
-1010280.1863035327	0.0
-1010180.1863035327	1.0
-1010080.1863035327	0.0
-1009980.1863035327	1.0
-1009880.1863035327	0.0
-1009780.1863035327	1.0
-1009680.1863035327	0.0
-1009580.1863035327	0.0
-1009480.1863035327	0.0
-1009380.1863035327	0.0
-1009280.1863035327	0.0
-1009180.1863035327	0.0
-1009080.1863035327	1.0
-1008980.1863035327	0.0
-1008880.1863035327	0.0
-1008780.1863035327	0.0
-1008680.1863035327	2.0
-1008580.1863035327	0.0
-1008480.1863035327	0.0
-1008380.1863035327	0.0
-1008280.1863035327	0.0
-1008180.1863035327	0.0
-1008080.1863035327	0.0
-1007980.1863035327	0.0
-1007880.1863035327	0.0
-1007780.1863035327	0.0
-1007680.1863035327	0.0
-1007580.1863035327	0.0
-1007480.1863035327	0.0
-1007380.1863035327	1.0
-1007280.1863035327	0.0
-1007180.1863035327	0.0
-1007080.1863035327	3.0
-1006980.1863035327	0.0
-1006880.1863035327	2.0
-1006780.1863035327	0.0
-1006680.1863035327	0.0
-1006580.1863035327	1.0
-1006480.1863035327	0.0
-1006380.1863035327	0.0
-1006280.1863035327	1.0
-1006180.1863035327	0.0
-1006080.1863035327	0.0
-1005980.1863035327	0.0
-1005880.1863035327	0.0
-1005780.1863035327	0.0
-1005680.1863035327	0.0
-1005580.1863035327	1.0
-1005480.1863035327	1.0
-1005380.1863035327	1.0
-1005280.1863035327	0.0
-1005180.1863035327	1.0
