x	y
500044.0	1.0
500045.0	0.0
500044.0	nan
500044.001001001	nan
500044.00200200203	nan
500044.003003003	nan
500044.004004004	nan
500044.005005005	nan
500044.00600600604	nan
500044.007007007	nan
500044.008008008	nan
500044.009009009	nan
500044.01001001004	nan
500044.011011011	nan
500044.012012012	nan
500044.013013013	nan
500044.01401401404	nan
500044.01501501503	nan
500044.016016016	nan
500044.017017017	nan
500044.01801801805	nan
500044.01901901903	nan
500044.02002002	nan
500044.021021021	nan
500044.02202202205	nan
500044.02302302304	nan
500044.024024024	nan
500044.025025025	nan
500044.02602602605	nan
500044.02702702704	nan
500044.028028028	nan
500044.029029029	nan
500044.03003003006	nan
500044.03103103105	nan
500044.03203203203	nan
500044.033033033	nan
500044.03403403406	nan
500044.03503503505	nan
500044.03603603604	nan
500044.037037037	nan
500044.03803803807	nan
500044.03903903905	nan
500044.04004004004	nan
500044.041041041	nan
500044.04204204207	nan
500044.04304304306	nan
500044.04404404404	nan
500044.04504504503	nan
500044.0460460461	nan
500044.04704704706	nan
500044.04804804805	nan
500044.04904904903	nan
500044.0500500501	nan
500044.05105105106	nan
500044.05205205205	nan
500044.05305305304	nan
500044.0540540541	nan
500044.05505505507	nan
500044.05605605606	nan
500044.05705705704	nan
500044.0580580581	nan
500044.0590590591	nan
500044.06006006006	nan
500044.06106106105	nan
500044.0620620621	nan
500044.0630630631	nan
500044.06406406406	nan
500044.06506506505	nan
500044.0660660661	nan
500044.0670670671	nan
500044.06806806807	nan
500044.06906906905	nan
500044.0700700701	nan
500044.0710710711	nan
500044.0720720721	nan
500044.07307307306	nan
500044.0740740741	nan
500044.0750750751	nan
500044.0760760761	nan
500044.07707707706	nan
500044.0780780781	nan
500044.0790790791	nan
500044.0800800801	nan
500044.08108108107	nan
500044.0820820821	nan
500044.0830830831	nan
500044.0840840841	nan
500044.08508508507	nan
500044.0860860861	nan
500044.0870870871	nan
500044.0880880881	nan
500044.0890890891	nan
500044.0900900901	nan
500044.0910910911	nan
500044.0920920921	nan
500044.0930930931	nan
500044.0940940941	nan
500044.0950950951	nan
500044.0960960961	nan
500044.0970970971	nan
500044.0980980981	nan
500044.0990990991	nan
500044.1001001001	nan
500044.1011011011	nan
500044.10210210213	nan
500044.1031031031	nan
500044.1041041041	nan
500044.1051051051	nan
500044.10610610613	nan
500044.1071071071	nan
500044.1081081081	nan
500044.1091091091	nan
500044.11011011014	nan
500044.1111111111	nan
500044.1121121121	nan
500044.1131131131	nan
500044.11411411414	nan
500044.1151151151	nan
500044.1161161161	nan
500044.1171171171	nan
500044.11811811815	nan
500044.11911911913	nan
500044.1201201201	nan
500044.1211211211	nan
500044.12212212215	nan
500044.12312312314	nan
500044.1241241241	nan
500044.1251251251	nan
500044.12612612615	nan
500044.12712712714	nan
500044.1281281281	nan
500044.1291291291	nan
500044.13013013016	nan
500044.13113113114	nan
500044.13213213213	nan
500044.1331331331	nan
500044.13413413416	nan
500044.13513513515	nan
500044.13613613613	nan
500044.1371371371	nan
500044.13813813817	nan
500044.13913913915	nan
500044.14014014014	nan
500044.1411411411	nan
500044.14214214217	nan
500044.14314314316	nan
500044.14414414414	nan
500044.1451451451	nan
500044.1461461462	nan
500044.14714714716	nan
500044.14814814815	nan
500044.14914914913	nan
500044.1501501502	nan
500044.15115115116	nan
500044.15215215215	nan
500044.15315315314	nan
500044.1541541542	nan
500044.15515515517	nan
500044.15615615615	nan
500044.15715715714	nan
500044.1581581582	nan
500044.1591591592	nan
500044.16016016016	nan
500044.16116116114	nan
500044.1621621622	nan
500044.1631631632	nan
500044.16416416416	nan
500044.16516516515	nan
500044.1661661662	nan
500044.1671671672	nan
500044.16816816817	nan
500044.16916916915	nan
500044.1701701702	nan
500044.1711711712	nan
500044.17217217217	nan
500044.17317317316	nan
500044.1741741742	nan
500044.1751751752	nan
500044.1761761762	nan
500044.17717717716	nan
500044.1781781782	nan
500044.1791791792	nan
500044.1801801802	nan
500044.18118118116	nan
500044.1821821822	nan
500044.1831831832	nan
500044.1841841842	nan
500044.18518518517	nan
500044.1861861862	nan
500044.1871871872	nan
500044.1881881882	nan
500044.1891891892	nan
500044.1901901902	nan
500044.1911911912	nan
500044.1921921922	nan
500044.1931931932	nan
500044.1941941942	nan
500044.1951951952	nan
500044.1961961962	nan
500044.1971971972	nan
500044.1981981982	nan
500044.1991991992	nan
500044.2002002002	nan
500044.2012012012	nan
500044.2022022022	nan
500044.2032032032	nan
500044.2042042042	nan
500044.2052052052	nan
500044.20620620623	nan
500044.2072072072	nan
500044.2082082082	nan
500044.2092092092	nan
500044.21021021024	nan
500044.2112112112	nan
500044.2122122122	nan
500044.2132132132	nan
500044.21421421424	nan
500044.2152152152	nan
500044.2162162162	nan
500044.2172172172	nan
500044.21821821824	nan
500044.21921921923	nan
500044.2202202202	nan
500044.2212212212	nan
500044.22222222225	nan
500044.22322322323	nan
500044.2242242242	nan
500044.2252252252	nan
500044.22622622625	nan
