x	y
1969236.0	1
1969336.0	0
1969436.0	0
1969536.0	0
1969636.0	0
1969736.0	0
1969836.0	0
1969936.0	0
1970036.0	0
1970136.0	0
1970236.0	0
1970336.0	0
1970436.0	0
1970536.0	0
1970636.0	0
1970736.0	0
1970836.0	0
1970936.0	0
1971036.0	0
1971136.0	0
1971236.0	0
1971336.0	0
1971436.0	0
1971536.0	0
1971636.0	0
1971736.0	0
1971836.0	1
1971936.0	0
1972036.0	0
1972136.0	0
1972236.0	0
1972336.0	0
1972436.0	0
1972536.0	0
1972636.0	0
1972736.0	0
1972836.0	0
1972936.0	0
1973036.0	0
1973136.0	0
1973236.0	0
1973336.0	0
1973436.0	0
1973536.0	0
1973636.0	0
1973736.0	0
1973836.0	0
1973936.0	1
1974036.0	0
1974136.0	0
1974236.0	0
1974336.0	1
1974436.0	0
1974536.0	0
1974636.0	0
1974736.0	0
1974836.0	0
1974936.0	0
1975036.0	0
1975136.0	0
1975236.0	0
1975336.0	0
1975436.0	0
1975536.0	0
1975636.0	0
1975736.0	0
1975836.0	0
1975936.0	0
1976036.0	0
1976136.0	0
1976236.0	0
1976336.0	0
1976436.0	2
1976536.0	1
1976636.0	1
1976736.0	0
1976836.0	1
1976936.0	1
1977036.0	1
1977136.0	0
1977236.0	0
1977336.0	0
1977436.0	2
1977536.0	0
1977636.0	0
1977736.0	0
1977836.0	0
1977936.0	0
1978036.0	0
1978136.0	0
1978236.0	0
1978336.0	0
1978436.0	0
1978536.0	0
1978636.0	0
1978736.0	0
1978836.0	0
1978936.0	1
1979036.0	0
1979136.0	0
1979236.0	0
1979336.0	0
1979436.0	0
1979536.0	0
1979636.0	0
1979736.0	0
1979836.0	0
1979936.0	0
1980036.0	1
1980136.0	1
1980236.0	0
1980336.0	0
1980436.0	3
1980536.0	0
1980636.0	1
1980736.0	0
1980836.0	0
1980936.0	0
1981036.0	0
1981136.0	1
1981236.0	0
1981336.0	1
1981436.0	0
1981536.0	0
1981636.0	0
1981736.0	1
1981836.0	1
1981936.0	0
1982036.0	0
1982136.0	0
1982236.0	0
1982336.0	1
1982436.0	0
1982536.0	0
1982636.0	0
1982736.0	0
1982836.0	1
1982936.0	0
1983036.0	2
1983136.0	1
1983236.0	0
1983336.0	1
1983436.0	0
1983536.0	1
1983636.0	0
1983736.0	1
1983836.0	1
1983936.0	0
1984036.0	1
1984136.0	0
1984236.0	2
1984336.0	3
1984436.0	1
1984536.0	0
1984636.0	0
1984736.0	0
1984836.0	0
1984936.0	0
1985036.0	1
1985136.0	1
1985236.0	0
1985336.0	0
1985436.0	2
1985536.0	1
1985636.0	0
1985736.0	0
1985836.0	1
1985936.0	0
1986036.0	0
1986136.0	1
1986236.0	1
1986336.0	0
1986436.0	1
1986536.0	1
1986636.0	2
1986736.0	2
1986836.0	2
1986936.0	1
1987036.0	2
1987136.0	1
1987236.0	2
1987336.0	1
1987436.0	1
1987536.0	3
1987636.0	0
1987736.0	1
1987836.0	2
1987936.0	4
1988036.0	3
1988136.0	1
1988236.0	4
1988336.0	1
1988436.0	1
1988536.0	2
1988636.0	2
1988736.0	3
1988836.0	2
1988936.0	1
1989036.0	2
1989136.0	4
1989236.0	2
1989336.0	2
1989436.0	1
1989536.0	1
1989636.0	2
1989736.0	2
1989836.0	3
1989936.0	4
1990036.0	2
1990136.0	3
1990236.0	4
1990336.0	3
1990436.0	4
1990536.0	3
1990636.0	3
1990736.0	3
1990836.0	1
1990936.0	1
1991036.0	1
1991136.0	3
1991236.0	2
1991336.0	3
1991436.0	3
1991536.0	4
1991636.0	3
1991736.0	5
1991836.0	4
1991936.0	6
1992036.0	8
1992136.0	3
1992236.0	3
1992336.0	5
1992436.0	2
1992536.0	8
1992636.0	7
1992736.0	3
1992836.0	3
1992936.0	1
1993036.0	2
1993136.0	7
1993236.0	1
1993336.0	8
1993436.0	9
1993536.0	0
1993636.0	5
1993736.0	5
1993836.0	4
1993936.0	9
1994036.0	9
1994136.0	3
1994236.0	11
1994336.0	9
1994436.0	3
1994536.0	7
1994636.0	4
1994736.0	10
1994836.0	8
1994936.0	8
1995036.0	6
1995136.0	11
1995236.0	3
1995336.0	7
1995436.0	5
1995536.0	9
1995636.0	13
1995736.0	10
1995836.0	11
1995936.0	11
1996036.0	5
1996136.0	10
1996236.0	15
1996336.0	14
1996436.0	10
1996536.0	5
1996636.0	13
1996736.0	12
1996836.0	12
1996936.0	15
1997036.0	16
1997136.0	14
1997236.0	10
1997336.0	10
1997436.0	12
1997536.0	18
1997636.0	16
1997736.0	13
1997836.0	19
1997936.0	15
1998036.0	14
1998136.0	13
1998236.0	16
1998336.0	19
1998436.0	22
1998536.0	14
1998636.0	19
1998736.0	16
1998836.0	21
1998936.0	19
1999036.0	28
1999136.0	22
1999236.0	20
1999336.0	23
1999436.0	25
1999536.0	31
1999636.0	18
1999736.0	25
1999836.0	27
1999936.0	17
2000036.0	0
