x	y
9	2
19	1
29	1
39	2
49	0
59	0
69	0
79	0
89	0
99	1
109	1
119	3
129	1
139	0
149	0
159	0
169	0
179	3
189	2
199	4
209	1
219	1
229	0
239	0
249	0
259	1
269	2
279	1
289	0
299	3
309	5
319	1
329	1
339	0
349	0
359	0
369	0
379	1
389	2
399	2
409	1
419	3
429	0
439	0
449	0
459	0
469	0
479	0
489	0
499	0
509	0
519	0
529	0
539	1
549	2
559	1
569	0
579	1
589	3
599	0
609	1
619	1
629	0
639	0
649	0
659	0
669	0
679	0
689	0
699	0
709	0
719	0
729	0
739	2
749	2
759	3
769	3
779	0
789	1
799	3
809	2
819	4
829	2
839	0
849	5
859	4
869	1
879	0
889	0
899	0
909	0
919	0
929	0
939	1
949	1
959	1
969	0
979	0
989	0
999	0
1009	0
1019	0
1029	0
1039	0
1049	1
1059	0
1069	2
1079	1
1089	0
1099	2
1109	1
1119	0
1129	0
1139	1
1149	2
1159	5
1169	4
1179	2
1189	1
1199	1
1209	2
1219	1
1229	0
1239	0
1249	3
1259	2
1269	2
1279	1
1289	0
1299	3
1309	1
1319	0
1329	0
1339	0
1349	0
1359	0
1369	1
1379	2
1389	0
1399	0
1409	0
1419	0
1429	0
1439	0
1449	0
1459	0
1469	0
1479	0
1489	2
1499	0
1509	2
1519	1
1529	4
1539	1
1549	1
1559	1
1569	2
1579	2
1589	2
1599	0
1609	0
1619	0
1629	0
1639	0
1649	0
1659	3
1669	4
1679	2
1689	1
1699	0
1709	1
1719	1
1729	2
1739	0
1749	0
1759	2
1769	1
1779	2
1789	4
1799	0
1809	0
1819	0
1829	2
1839	0
1849	0
1859	0
1869	4
1879	0
1889	0
1899	3
1909	3
1919	0
1929	3
1939	4
1949	1
1959	0
1969	0
1979	0
1989	0
1999	0
2009	0
2019	2
2029	1
2039	2
2049	2
2059	0
2069	0
2079	0
2089	0
2099	2
2109	1
2119	3
2129	2
2139	1
2149	2
2159	1
2169	0
2179	0
2189	0
2199	0
2209	3
2219	1
2229	1
2239	0
2249	0
2259	0
2269	0
2279	0
2289	1
2299	0
2309	0
2319	3
2329	1
2339	0
2349	1
2359	1
2369	4
2379	3
2389	2
2399	1
2409	0
2419	0
2429	0
2439	0
2449	1
2459	3
2469	0
2479	0
2489	0
2499	0
2509	2
2519	0
2529	1
2539	4
2549	3
2559	0
2569	0
2579	0
2589	1
2599	0
2609	0
2619	0
2629	0
2639	2
2649	0
2659	1
2669	0
2679	0
2689	5
2699	0
2709	0
2719	0
2729	0
2739	0
2749	0
2759	0
2769	0
2779	0
2789	0
2799	1
2809	4
2819	3
2829	1
2839	0
2849	1
2859	0
2869	0
2879	0
2889	0
2899	0
2909	0
2919	0
2929	0
2939	0
2949	0
2959	0
2969	4
2979	1
2989	3
2999	0
