x	y
3	2
13	1
23	2
33	1
43	0
53	1
63	1
73	2
83	1
93	2
103	0
113	0
123	0
133	5
143	2
153	1
163	1
173	1
183	2
193	2
203	1
213	1
223	3
233	4
243	3
253	2
263	2
273	2
283	3
293	0
303	1
313	0
323	1
333	2
343	1
353	5
363	7
373	4
383	0
393	1
403	4
413	4
423	4
433	4
443	4
453	2
463	2
473	4
483	5
493	0
503	3
513	1
523	1
533	3
543	5
553	1
563	0
573	0
583	0
593	0
603	4
613	1
623	0
633	0
643	0
653	0
663	1
673	0
683	4
693	5
703	7
713	2
723	0
733	0
743	1
753	2
763	2
773	2
783	2
793	2
803	1
813	0
823	0
833	0
843	2
853	1
863	2
873	2
883	1
893	1
903	2
913	5
923	2
933	0
943	3
953	0
963	1
973	3
983	5
993	1
1003	2
1013	2
1023	3
1033	1
1043	4
1053	2
1063	1
1073	3
1083	2
1093	1
1103	2
1113	1
1123	5
1133	6
1143	2
1153	4
1163	2
1173	1
1183	0
1193	0
1203	1
1213	0
1223	1
1233	1
1243	1
1253	1
1263	4
1273	2
1283	2
1293	5
1303	5
1313	0
1323	2
1333	0
1343	0
1353	0
1363	0
1373	0
1383	0
1393	0
1403	0
1413	0
1423	0
1433	0
1443	3
1453	2
1463	2
1473	2
1483	2
1493	2
1503	2
1513	4
1523	5
1533	3
1543	2
1553	0
1563	2
1573	3
1583	1
1593	4
1603	0
1613	0
1623	0
1633	1
1643	0
1653	1
1663	4
1673	2
1683	6
1693	7
1703	1
1713	0
1723	0
1733	0
1743	0
1753	0
1763	0
1773	0
1783	0
1793	0
1803	0
1813	1
1823	6
1833	3
1843	3
1853	3
1863	1
1873	0
1883	0
1893	2
1903	5
1913	2
1923	3
1933	0
1943	0
1953	1
1963	0
1973	1
1983	3
1993	0
2003	0
2013	6
2023	2
2033	2
2043	2
2053	5
2063	2
2073	0
2083	0
2093	0
2103	0
2113	1
2123	1
2133	0
2143	0
2153	3
2163	6
2173	3
2183	1
2193	0
2203	1
2213	1
2223	0
2233	0
2243	3
2253	0
2263	0
2273	2
2283	2
2293	0
2303	0
2313	2
2323	3
2333	2
2343	3
2353	5
2363	6
2373	2
2383	4
2393	0
2403	0
2413	1
2423	3
2433	4
2443	2
2453	2
2463	2
2473	0
2483	0
2493	1
2503	1
2513	3
2523	7
2533	5
2543	0
2553	0
2563	0
2573	0
2583	0
2593	0
2603	2
2613	2
2623	0
2633	0
2643	1
2653	3
2663	1
2673	0
2683	2
2693	1
2703	3
2713	3
2723	1
2733	0
2743	0
2753	3
2763	5
2773	0
2783	0
2793	2
2803	4
2813	8
2823	6
2833	3
2843	1
2853	1
2863	0
2873	0
2883	0
2893	0
2903	0
2913	0
2923	0
2933	0
2943	0
2953	1
2963	4
2973	5
2983	1
2993	1
3003	0
