x	y
41	9
51	10
61	9
71	2
81	0
91	0
101	0
111	0
121	0
131	0
141	9
151	9
161	9
171	2
181	0
191	0
201	0
211	0
221	0
231	0
241	0
251	0
261	0
271	0
281	0
291	0
301	0
311	2
321	6
331	9
341	3
351	0
361	0
371	0
381	0
391	1
401	7
411	10
421	10
431	9
441	10
451	5
461	6
471	1
481	0
491	0
501	3
511	8
521	8
531	0
541	0
551	0
561	0
571	0
581	3
591	8
601	10
611	10
621	10
631	10
641	8
651	0
661	0
671	0
681	0
691	0
701	0
711	0
721	0
731	4
741	9
751	10
761	10
771	10
781	10
791	10
801	8
811	6
821	2
831	0
841	0
851	0
861	0
871	0
881	0
891	0
901	0
911	0
921	0
931	0
941	0
951	0
961	0
971	2
981	7
991	10
1001	10
1011	10
1021	10
1031	10
1041	10
1051	10
1061	8
1071	3
1081	0
1091	0
1101	0
1111	0
1121	0
1131	0
1141	0
1151	0
1161	0
1171	0
1181	6
1191	10
1201	9
1211	5
1221	0
1231	0
1241	0
1251	1
1261	3
1271	9
1281	10
1291	10
1301	7
1311	0
1321	0
1331	0
1341	0
1351	0
1361	0
1371	1
1381	10
1391	10
1401	9
1411	10
1421	8
1431	0
1441	0
1451	0
1461	0
1471	0
1481	0
1491	0
1501	0
1511	0
1521	0
1531	0
1541	0
1551	0
1561	0
1571	0
1581	0
1591	0
1601	0
1611	0
1621	0
1631	2
1641	6
1651	9
1661	3
1671	0
1681	0
1691	0
1701	0
1711	0
1721	4
1731	10
1741	4
1751	2
1761	0
1771	0
1781	1
1791	6
1801	10
1811	10
1821	9
1831	4
1841	0
1851	0
1861	0
1871	0
1881	1
1891	7
1901	8
1911	9
1921	10
1931	10
1941	10
1951	10
1961	4
1971	0
1981	0
1991	0
2001	0
2011	0
2021	0
2031	0
2041	1
2051	9
2061	10
2071	10
2081	8
2091	2
2101	0
2111	0
2121	0
2131	0
2141	4
2151	9
2161	10
2171	6
2181	1
2191	0
2201	0
2211	0
2221	0
2231	0
2241	0
2251	0
2261	0
2271	10
2281	9
2291	1
2301	0
2311	0
2321	0
2331	0
2341	0
2351	1
2361	6
2371	9
2381	10
2391	10
2401	10
2411	10
2421	10
2431	3
2441	0
2451	0
2461	0
2471	8
2481	9
2491	8
2501	5
2511	0
2521	0
2531	0
2541	0
2551	0
2561	0
2571	0
2581	0
2591	0
2601	0
2611	3
2621	9
2631	10
2641	8
2651	0
2661	0
2671	0
2681	0
2691	0
2701	0
2711	0
2721	0
2731	0
2741	0
2751	0
2761	0
2771	2
2781	4
2791	7
2801	10
2811	10
2821	10
2831	10
2841	10
2851	9
2861	6
2871	2
2881	0
2891	0
2901	0
2911	0
2921	0
2931	4
2941	9
2951	10
2961	10
2971	6
2981	0
