x	y
21802.68	1.0
21902.68	0.0
22002.68	0.0
22102.68	0.0
22202.68	0.0
22302.68	0.0
22402.68	0.0
22502.68	0.0
22602.68	0.0
22702.68	0.0
22802.68	0.0
22902.68	0.0
23002.68	0.0
23102.68	0.0
23202.68	0.0
23302.68	0.0
23402.68	0.0
23502.68	0.0
23602.68	0.0
23702.68	0.0
23802.68	0.0
23902.68	1.0
24002.68	0.0
24102.68	0.0
24202.68	1.0
24302.68	0.0
24402.68	0.0
24502.68	0.0
24602.68	2.0
24702.68	0.0
24802.68	0.0
24902.68	1.0
25002.68	2.0
25102.68	1.0
25202.68	0.0
25302.68	0.0
25402.68	2.0
25502.68	0.0
25602.68	2.0
25702.68	1.0
25802.68	1.0
25902.68	1.0
26002.68	1.0
26102.68	1.0
26202.68	1.0
26302.68	5.0
26402.68	0.0
26502.68	3.0
26602.68	2.0
26702.68	2.0
26802.68	4.0
26902.68	4.0
27002.68	5.0
27102.68	6.0
27202.68	5.0
27302.68	3.0
27402.68	4.0
27502.68	3.0
27602.68	6.0
27702.68	3.0
27802.68	10.0
27902.68	5.0
28002.68	9.0
28102.68	3.0
28202.68	6.0
28302.68	4.0
28402.68	12.0
28502.68	5.0
28602.68	9.0
28702.68	7.0
28802.68	5.0
28902.68	20.0
29002.68	3.0
29102.68	7.0
29202.68	12.0
29302.68	10.0
29402.68	17.0
29502.68	8.0
29602.68	9.0
29702.68	5.0
29802.68	11.0
29902.68	7.0
30002.68	7.0
30102.68	10.0
30202.68	11.0
30302.68	16.0
30402.68	12.0
30502.68	14.0
30602.68	7.0
30702.68	19.0
30802.68	8.0
30902.68	11.0
31002.68	11.0
31102.68	12.0
31202.68	18.0
31302.68	12.0
31402.68	14.0
31502.68	10.0
31602.68	14.0
31702.68	13.0
31802.68	16.0
31902.68	17.0
32002.68	6.0
32102.68	27.0
32202.68	13.0
32302.68	20.0
32402.68	15.0
32502.68	13.0
32602.68	15.0
32702.68	16.0
32802.68	9.0
32902.68	15.0
33002.68	13.0
33102.68	22.0
33202.68	18.0
33302.68	16.0
33402.68	24.0
33502.68	14.0
33602.68	17.0
33702.68	19.0
33802.68	23.0
33902.68	15.0
34002.68	17.0
34102.68	23.0
34202.68	23.0
34302.68	22.0
34402.68	13.0
34502.68	20.0
34602.68	13.0
34702.68	24.0
34802.68	19.0
34902.68	13.0
35002.68	21.0
35102.68	15.0
35202.68	14.0
35302.68	6.0
35402.68	19.0
35502.68	12.0
35602.68	16.0
35702.68	13.0
35802.68	10.0
35902.68	20.0
36002.68	15.0
36102.68	18.0
36202.68	22.0
36302.68	8.0
36402.68	23.0
36502.68	11.0
36602.68	18.0
36702.68	14.0
36802.68	9.0
36902.68	19.0
37002.68	16.0
37102.68	14.0
37202.68	17.0
37302.68	19.0
37402.68	19.0
37502.68	17.0
37602.68	15.0
37702.68	11.0
37802.68	9.0
37902.68	9.0
38002.68	16.0
38102.68	10.0
38202.68	11.0
38302.68	12.0
38402.68	16.0
38502.68	8.0
38602.68	21.0
38702.68	16.0
38802.68	13.0
38902.68	11.0
39002.68	9.0
39102.68	12.0
39202.68	13.0
39302.68	16.0
39402.68	7.0
39502.68	5.0
39602.68	7.0
39702.68	8.0
39802.68	10.0
39902.68	9.0
40002.68	7.0
40102.68	9.0
40202.68	6.0
40302.68	8.0
40402.68	9.0
40502.68	8.0
40602.68	12.0
40702.68	6.0
40802.68	5.0
40902.68	13.0
41002.68	8.0
41102.68	7.0
41202.68	7.0
41302.68	7.0
41402.68	4.0
41502.68	11.0
41602.68	9.0
41702.68	6.0
41802.68	6.0
41902.68	6.0
42002.68	2.0
42102.68	2.0
42202.68	1.0
42302.68	4.0
42402.68	4.0
42502.68	6.0
42602.68	7.0
42702.68	11.0
42802.68	7.0
42902.68	3.0
43002.68	4.0
43102.68	4.0
43202.68	5.0
43302.68	5.0
43402.68	3.0
43502.68	4.0
43602.68	2.0
43702.68	5.0
43802.68	5.0
43902.68	8.0
44002.68	6.0
44102.68	7.0
44202.68	3.0
44302.68	3.0
44402.68	1.0
44502.68	6.0
44602.68	7.0
44702.68	3.0
44802.68	1.0
44902.68	4.0
45002.68	4.0
45102.68	2.0
45202.68	4.0
45302.68	4.0
45402.68	2.0
45502.68	3.0
45602.68	2.0
45702.68	1.0
45802.68	0.0
45902.68	3.0
46002.68	1.0
46102.68	1.0
46202.68	5.0
46302.68	9.0
46402.68	3.0
46502.68	2.0
46602.68	3.0
46702.68	1.0
46802.68	1.0
46902.68	2.0
47002.68	1.0
47102.68	3.0
47202.68	2.0
47302.68	4.0
47402.68	1.0
47502.68	2.0
47602.68	1.0
47702.68	0.0
47802.68	2.0
47902.68	0.0
48002.68	0.0
48102.68	0.0
48202.68	2.0
48302.68	1.0
48402.68	0.0
48502.68	2.0
48602.68	0.0
48702.68	1.0
48802.68	0.0
48902.68	2.0
49002.68	2.0
49102.68	0.0
49202.68	0.0
49302.68	0.0
49402.68	1.0
49502.68	1.0
49602.68	1.0
49702.68	0.0
49802.68	1.0
49902.68	0.0
50002.68	0.0
50102.68	0.0
50202.68	0.0
50302.68	0.0
50402.68	0.0
50502.68	1.0
50602.68	2.0
50702.68	0.0
50802.68	1.0
50902.68	0.0
51002.68	1.0
51102.68	0.0
51202.68	1.0
51302.68	0.0
51402.68	0.0
51502.68	1.0
51602.68	0.0
51702.68	1.0
51802.68	2.0
51902.68	1.0
52002.68	2.0
52102.68	0.0
52202.68	0.0
52302.68	0.0
52402.68	1.0
52502.68	0.0
52602.68	1.0
52702.68	0.0
52802.68	0.0
52902.68	0.0
53002.68	0.0
53102.68	2.0
53202.68	0.0
53302.68	0.0
53402.68	0.0
53502.68	0.0
53602.68	2.0
53702.68	0.0
53802.68	0.0
53902.68	0.0
54002.68	0.0
54102.68	0.0
54202.68	0.0
54302.68	0.0
54402.68	0.0
54502.68	0.0
54602.68	0.0
54702.68	0.0
54802.68	0.0
54902.68	0.0
55002.68	0.0
55102.68	0.0
55202.68	0.0
55302.68	0.0
55402.68	0.0
55502.68	0.0
55602.68	0.0
55702.68	0.0
55802.68	0.0
55902.68	0.0
56002.68	0.0
56102.68	0.0
56202.68	0.0
56302.68	0.0
56402.68	0.0
56502.68	0.0
56602.68	0.0
56702.68	0.0
56802.68	0.0
56902.68	0.0
57002.68	0.0
57102.68	0.0
57202.68	0.0
57302.68	0.0
57402.68	0.0
57502.68	0.0
57602.68	0.0
57702.68	1.0
57802.68	0.0
57902.68	0.0
58002.68	0.0
58102.68	0.0
58202.68	0.0
58302.68	0.0
58402.68	0.0
58502.68	0.0
58602.68	0.0
58702.68	0.0
58802.68	0.0
58902.68	0.0
59002.68	0.0
59102.68	0.0
59202.68	1.0
59302.68	0.0
59402.68	0.0
59502.68	0.0
59602.68	0.0
59702.68	0.0
59802.68	0.0
59902.68	0.0
60002.68	0.0
60102.68	0.0
60202.68	0.0
60302.68	0.0
60402.68	0.0
60502.68	0.0
60602.68	0.0
60702.68	0.0
60802.68	0.0
60902.68	0.0
61002.68	0.0
61102.68	0.0
61202.68	0.0
61302.68	0.0
61402.68	0.0
61502.68	0.0
61602.68	0.0
61702.68	0.0
61802.68	0.0
61902.68	0.0
62002.68	0.0
62102.68	0.0
62202.68	0.0
62302.68	0.0
62402.68	0.0
62502.68	0.0
62602.68	0.0
62702.68	0.0
62802.68	0.0
62902.68	0.0
63002.68	0.0
63102.68	0.0
63202.68	0.0
63302.68	0.0
63402.68	1.0
63502.68	0.0
63602.68	0.0
63702.68	0.0
63802.68	0.0
63902.68	0.0
64002.68	0.0
64102.68	0.0
64202.68	0.0
64302.68	0.0
64402.68	0.0
64502.68	0.0
64602.68	1.0
64702.68	0.0
64802.68	0.0
64902.68	0.0
65002.68	0.0
65102.68	0.0
65202.68	0.0
65302.68	0.0
65402.68	0.0
65502.68	0.0
65602.68	0.0
65702.68	0.0
65802.68	0.0
65902.68	0.0
66002.68	0.0
66102.68	0.0
66202.68	0.0
66302.68	0.0
66402.68	0.0
66502.68	0.0
66602.68	0.0
66702.68	0.0
66802.68	0.0
66902.68	0.0
67002.68	0.0
67102.68	0.0
67202.68	0.0
67302.68	0.0
67402.68	0.0
67502.68	0.0
67602.68	0.0
67702.68	0.0
67802.68	0.0
67902.68	0.0
68002.68	0.0
68102.68	0.0
68202.68	0.0
68302.68	0.0
68402.68	0.0
68502.68	0.0
68602.68	0.0
68702.68	0.0
68802.68	0.0
68902.68	1.0
69002.68	0.0
21802.68	0.45392107764075046
21849.842405482406	0.4649727050379017
21897.004810964812	0.4762546152839609
21944.16721644722	0.48777053587972985
