x	y
1	106.12665
2	35.09065
3	12.0137
4	4.22475
5	2.00845
6	0.63795
7	0.414
8	0.16045
9	0.071
10	0.1986
11	0.17765
12	0.054
13	0.08005
14	0.0054
15	0.2004
16	0.0147
17	0.0
18	0.0061
19	0.06335
20	0.063
21	0.1916
22	0.1954
23	0.1071
24	0.155
25	0.0949
26	0.03855
27	0.0
28	0.0453
29	0.12445
30	0.03655
31	0.08395
32	0.0105
33	0.05805
34	0.0742
35	0.14525
36	0.0808
37	0.1059
38	0.0306
39	0.0986
40	0.12695
41	0.03785
42	0.06975
43	0.0713
44	0.20905
45	0.071
46	0.03025
47	0.087
48	0.0614
49	0.0126
50	0.0
51	0.10375
52	0.04815
53	0.1218
54	0.0458
55	0.013
56	0.00385
57	0.0225
58	0.0
59	0.0
60	0.00305
61	0.0
62	0.0
63	0.04225
64	0.02355
65	0.02295
66	0.0001
67	0.0
68	0.0
69	0.0
70	0.0176
71	0.0177
72	0.0
73	0.0
74	0.0
75	0.0
76	0.0183
77	0.00795
78	0.0131
79	0.0372
80	0.0575
81	0.0
82	0.0029
83	0.05045
84	0.00575
85	0.0
86	0.0
87	0.0031
88	0.0
89	0.0
90	0.0
91	0.02735
92	0.0203
93	0.05345
94	0.0
95	0.03835
96	0.0378
97	0.01525
98	0.0072
99	0.0226
100	0.0325
101	0.0
