x	y
317.0	1.0
318.0	0.0
319.0	0.0
320.0	0.0
321.0	1.0
322.0	0.0
323.0	1.0
324.0	5.0
325.0	1.0
326.0	1.0
327.0	1.0
328.0	1.0
329.0	0.0
330.0	3.0
331.0	3.0
332.0	5.0
333.0	4.0
334.0	6.0
335.0	6.0
336.0	10.0
337.0	4.0
338.0	7.0
339.0	4.0
340.0	8.0
341.0	5.0
342.0	12.0
343.0	7.0
344.0	10.0
345.0	7.0
346.0	6.0
347.0	11.0
348.0	16.0
349.0	13.0
350.0	12.0
351.0	7.0
352.0	12.0
353.0	21.0
354.0	14.0
355.0	9.0
356.0	11.0
357.0	16.0
358.0	11.0
359.0	18.0
360.0	15.0
361.0	20.0
362.0	15.0
363.0	15.0
364.0	10.0
365.0	10.0
366.0	16.0
367.0	16.0
368.0	11.0
369.0	12.0
370.0	8.0
371.0	10.0
372.0	10.0
373.0	7.0
374.0	10.0
375.0	14.0
376.0	12.0
377.0	14.0
378.0	13.0
379.0	7.0
380.0	10.0
381.0	4.0
382.0	3.0
383.0	4.0
384.0	6.0
385.0	4.0
386.0	2.0
387.0	3.0
388.0	3.0
389.0	3.0
390.0	2.0
391.0	4.0
392.0	3.0
393.0	3.0
394.0	1.0
395.0	1.0
396.0	1.0
397.0	2.0
398.0	2.0
399.0	0.0
400.0	1.0
401.0	0.0
402.0	0.0
403.0	0.0
404.0	1.0
405.0	0.0
406.0	1.0
407.0	0.0
408.0	0.0
409.0	0.0
410.0	0.0
411.0	0.0
412.0	0.0
413.0	0.0
414.0	0.0
415.0	1.0
416.0	0.0
317.0	0.41272425751815583
317.0990990990991	0.41955853428933293
317.1981981981982	0.42648988544683225
317.2972972972973	0.43351938729249306
317.39639639639637	0.4406481226860915
317.4954954954955	0.44787718098862883
317.5945945945946	0.4552076580034516
317.6936936936937	0.46264065591521686
317.7927927927928	0.4701772832265863
317.8918918918919	0.4778186546927426
317.990990990991	0.48556589125360794
318.0900900900901	0.4934201199637819
318.18918918918916	0.5013824739202197
318.2882882882883	0.5094540921875507
318.3873873873874	0.517636119721052
318.4864864864865	0.5259297072873105
318.5855855855856	0.5343360113824316
318.68468468468467	0.5428561941479154
318.7837837837838	0.5514914232840715
318.8828828828829	0.5602428719609869
318.98198198198196	0.5691117187270841
319.0810810810811	0.5780991474151603
319.1801801801802	0.5872063470459274
319.27927927927925	0.5964345117290905
319.3783783783784	0.6057848405618516
319.47747747747746	0.6152585375248664
319.5765765765766	0.6248568113756915
319.6756756756757	0.634580875539579
319.77477477477476	0.6444319479977546
319.8738738738739	0.6544112511730367
319.97297297297297	0.6645200118128304
320.07207207207205	0.6747594608695392
320.1711711711712	0.6851308333782741
320.27027027027026	0.6956353683319002
320.3693693693694	0.7062743085534675
320.4684684684685	0.7170489005658647
320.56756756756755	0.7279603944588626
320.6666666666667	0.7390100437533946
320.76576576576576	0.7501991052631077
320.86486486486484	0.7615288389532455
320.963963963964	0.7730005077967352
321.06306306306305	0.7846153776275233
321.1621621621622	0.7963747169912266
321.26126126126127	0.8082797969929154
321.36036036036035	0.8203318911422315
321.4594594594595	0.8325322751956571
321.55855855855856	0.8448822269960109
321.65765765765764	0.8573830263092093
321.7567567567568	0.870035954658184
321.85585585585585	0.8828422951539971
321.9549549549549	0.8958033323242292
322.05405405405406	0.9089203519385002
322.15315315315314	0.9221946408311924
322.2522522522523	0.9356274867214447
322.35135135135135	0.9492201780302265
322.45045045045043	0.962974003694742
322.54954954954957	0.9768902529799437
322.64864864864865	0.9909702152872515
322.7477477477477	1.005215179960556
322.84684684684686	1.019626436089355
322.94594594594594	1.0342052723091044
323.0450450450451	1.048952976598878
323.14414414414415	1.0638708360761222
323.2432432432432	1.0789601367887736
323.34234234234236	1.0942221635045344
323.44144144144144	1.1096581994974013
323.5405405405405	1.1252695263315269
323.63963963963965	1.1410574236422757
323.73873873873873	1.1570231689145665
323.8378378378378	1.1731680372585833
323.93693693693695	1.189493301182719
324.036036036036	1.206000230363836
324.13513513513516	1.222690091414963
324.23423423423424	1.2395641476501909
324.3333333333333	1.2566236588471014
324.43243243243245	1.2738698810064704
324.5315315315315	1.29130406610938
324.6306306306306	1.308927461871855
324.72972972972974	1.3267413114968418
324.8288288288288	1.3447468534236704
324.92792792792795	1.3629453210750975
325.02702702702703	1.3813379426017136
325.1261261261261	1.3999259406240459
325.22522522522524	1.4187105319721196
325.3243243243243	1.4376929274226116
325.4234234234234	1.4568743314337131
325.52252252252254	1.4762559418775483
325.6216216216216	1.4958389497702653
325.7207207207207	1.5156245389999352
325.8198198198198	1.535613886052088
325.9189189189189	1.5558081597330193
326.01801801801804	1.576208520891011
326.1171171171171	1.5968161221352304
326.2162162162162	1.6176321075526656
326.31531531531533	1.6386576124228591
326.4144144144144	1.6598937629305939
326.5135135135135	1.6813416758766677
326.6126126126126	1.703002458386592
326.7117117117117	1.7248772076173573
326.81081081081084	1.7469670104624313
326.9099099099099	1.7692729432547223
327.009009009009	1.7917960714679257
327.1081081081081	1.8145374494159996
327.2072072072072	1.8374981199509053
327.3063063063063	1.8606791141588184
327.4054054054054	1.8840814510545971
327.5045045045045	1.9077061372746806
