x	y
9857.685897435897	1.0
9957.685897435897	0.0
10057.685897435897	0.0
10157.685897435897	0.0
10257.685897435897	0.0
10357.685897435897	1.0
10457.685897435897	1.0
10557.685897435897	0.0
10657.685897435897	2.0
10757.685897435897	2.0
10857.685897435897	0.0
10957.685897435897	0.0
11057.685897435897	2.0
11157.685897435897	1.0
11257.685897435897	1.0
11357.685897435897	2.0
11457.685897435897	3.0
11557.685897435897	3.0
11657.685897435897	3.0
11757.685897435897	4.0
11857.685897435897	1.0
11957.685897435897	6.0
12057.685897435897	6.0
12157.685897435897	7.0
12257.685897435897	4.0
12357.685897435897	4.0
12457.685897435897	3.0
12557.685897435897	6.0
12657.685897435897	8.0
12757.685897435897	7.0
12857.685897435897	7.0
12957.685897435897	2.0
13057.685897435897	5.0
13157.685897435897	5.0
13257.685897435897	6.0
13357.685897435897	10.0
13457.685897435897	8.0
13557.685897435897	10.0
13657.685897435897	11.0
13757.685897435897	13.0
13857.685897435897	12.0
13957.685897435897	12.0
14057.685897435897	12.0
14157.685897435897	10.0
14257.685897435897	8.0
14357.685897435897	9.0
14457.685897435897	16.0
14557.685897435897	12.0
14657.685897435897	12.0
14757.685897435897	8.0
14857.685897435897	9.0
14957.685897435897	16.0
15057.685897435897	16.0
15157.685897435897	16.0
15257.685897435897	20.0
15357.685897435897	15.0
15457.685897435897	18.0
15557.685897435897	19.0
15657.685897435897	10.0
15757.685897435897	20.0
15857.685897435897	19.0
15957.685897435897	11.0
16057.685897435897	15.0
16157.685897435897	16.0
16257.685897435897	13.0
16357.685897435897	23.0
16457.6858974359	19.0
16557.6858974359	17.0
16657.6858974359	18.0
16757.6858974359	18.0
16857.6858974359	19.0
16957.6858974359	13.0
17057.6858974359	14.0
17157.6858974359	15.0
17257.6858974359	9.0
17357.6858974359	9.0
17457.6858974359	13.0
17557.6858974359	15.0
17657.6858974359	8.0
17757.6858974359	10.0
17857.6858974359	13.0
17957.6858974359	12.0
18057.6858974359	10.0
18157.6858974359	13.0
18257.6858974359	15.0
18357.6858974359	11.0
18457.6858974359	13.0
18557.6858974359	14.0
18657.6858974359	12.0
18757.6858974359	10.0
18857.6858974359	14.0
18957.6858974359	7.0
19057.6858974359	7.0
19157.6858974359	10.0
19257.6858974359	15.0
19357.6858974359	14.0
19457.6858974359	11.0
19557.6858974359	7.0
19657.6858974359	9.0
19757.6858974359	8.0
19857.6858974359	11.0
19957.6858974359	7.0
20057.6858974359	13.0
20157.6858974359	4.0
20257.6858974359	8.0
20357.6858974359	12.0
20457.6858974359	9.0
20557.6858974359	4.0
20657.6858974359	6.0
20757.6858974359	7.0
20857.6858974359	5.0
20957.6858974359	5.0
21057.6858974359	2.0
21157.6858974359	4.0
21257.6858974359	7.0
21357.6858974359	5.0
21457.6858974359	7.0
21557.6858974359	5.0
21657.6858974359	6.0
21757.6858974359	3.0
21857.6858974359	6.0
21957.6858974359	5.0
22057.6858974359	4.0
22157.6858974359	10.0
22257.6858974359	1.0
22357.6858974359	5.0
22457.6858974359	7.0
22557.6858974359	5.0
22657.6858974359	5.0
22757.6858974359	1.0
22857.6858974359	2.0
22957.6858974359	3.0
23057.6858974359	4.0
23157.6858974359	0.0
23257.6858974359	4.0
23357.6858974359	4.0
23457.6858974359	4.0
23557.6858974359	0.0
23657.6858974359	1.0
23757.6858974359	5.0
23857.6858974359	3.0
23957.6858974359	2.0
24057.6858974359	2.0
24157.6858974359	1.0
24257.6858974359	2.0
24357.6858974359	1.0
24457.6858974359	0.0
24557.6858974359	4.0
24657.6858974359	4.0
24757.6858974359	0.0
24857.6858974359	1.0
24957.6858974359	1.0
25057.6858974359	0.0
25157.6858974359	0.0
25257.6858974359	1.0
25357.6858974359	1.0
25457.6858974359	0.0
25557.6858974359	2.0
25657.6858974359	0.0
25757.6858974359	1.0
25857.6858974359	1.0
25957.6858974359	0.0
26057.6858974359	2.0
26157.6858974359	0.0
26257.6858974359	2.0
26357.6858974359	1.0
26457.6858974359	1.0
26557.6858974359	0.0
26657.6858974359	1.0
26757.6858974359	1.0
26857.6858974359	0.0
26957.6858974359	2.0
27057.6858974359	0.0
27157.6858974359	1.0
27257.6858974359	1.0
27357.6858974359	0.0
27457.6858974359	0.0
27557.6858974359	0.0
27657.6858974359	0.0
27757.6858974359	0.0
27857.6858974359	0.0
