x	y
1	4
11	0
21	0
31	0
41	3
51	0
61	0
71	0
81	2
91	0
101	0
111	3
121	0
131	0
141	0
151	2
161	1
171	1
181	0
191	0
201	0
211	0
221	2
231	1
241	0
251	0
261	1
271	1
281	0
291	0
301	1
311	0
321	0
331	0
341	4
351	1
361	2
371	0
381	0
391	0
401	0
411	0
421	0
431	0
441	0
451	0
461	0
471	0
481	0
491	2
501	0
511	0
521	0
531	0
541	3
551	0
561	0
571	0
581	0
591	0
601	0
611	0
621	0
631	0
641	0
651	0
661	0
671	0
681	0
691	0
701	0
711	0
721	0
731	0
741	0
751	0
761	0
771	0
781	5
791	0
801	1
811	5
821	0
831	0
841	0
851	0
861	2
871	0
881	0
891	0
901	0
911	0
921	0
931	2
941	3
951	0
961	0
971	0
981	0
991	0
1001	0
1011	0
1021	0
1031	2
1041	0
1051	0
1061	0
1071	1
1081	0
1091	4
1101	2
1111	0
1121	0
1131	0
1141	0
1151	0
1161	1
1171	0
1181	0
1191	0
1201	0
1211	0
1221	0
1231	0
1241	2
1251	0
1261	0
1271	0
1281	0
1291	4
1301	0
1311	0
1321	4
1331	1
1341	1
1351	0
1361	0
1371	0
1381	0
1391	0
1401	0
1411	0
1421	0
1431	0
1441	0
1451	0
1461	0
1471	0
1481	0
1491	1
1501	4
1511	0
1521	2
1531	0
1541	0
1551	0
1561	4
1571	1
1581	0
1591	1
1601	1
1611	3
1621	3
1631	0
1641	0
1651	0
1661	0
1671	0
1681	0
1691	0
1701	0
1711	0
1721	0
1731	0
1741	0
1751	0
1761	0
1771	0
1781	0
1791	0
1801	0
1811	0
1821	0
1831	0
1841	0
1851	3
1861	0
1871	0
1881	2
1891	0
1901	0
1911	0
1921	0
1931	2
1941	0
1951	0
1961	0
1971	0
1981	0
1991	0
2001	0
2011	0
2021	0
2031	2
2041	0
2051	0
2061	0
2071	0
2081	1
2091	0
2101	0
2111	0
2121	2
2131	0
2141	0
2151	0
2161	1
2171	0
2181	0
2191	0
2201	0
2211	0
2221	0
2231	2
2241	0
2251	0
2261	0
2271	0
2281	1
2291	0
2301	2
2311	0
2321	0
2331	0
2341	0
2351	0
2361	0
2371	0
2381	1
2391	0
2401	0
2411	0
2421	1
2431	0
2441	0
2451	0
2461	0
2471	0
2481	0
2491	0
2501	0
2511	0
2521	0
2531	0
2541	0
2551	0
2561	0
2571	0
2581	0
2591	0
2601	0
2611	0
2621	0
2631	0
2641	2
2651	1
2661	0
2671	0
2681	0
2691	1
2701	3
2711	2
2721	1
2731	0
2741	0
2751	0
2761	2
2771	2
2781	0
2791	0
2801	0
2811	2
2821	1
2831	1
2841	0
2851	0
2861	0
2871	0
2881	0
2891	2
2901	1
2911	0
2921	0
2931	0
2941	0
2951	0
2961	3
2971	2
2981	0
