x	y
72	4
82	2
92	1
102	0
112	1
122	0
132	0
142	0
152	0
162	0
172	0
182	0
192	0
202	1
212	0
222	1
232	0
242	0
252	0
262	0
272	0
282	0
292	0
302	0
312	0
322	0
332	0
342	0
352	0
362	0
372	0
382	0
392	1
402	0
412	0
422	0
432	0
442	1
452	0
462	0
472	0
482	0
492	1
502	3
512	0
522	0
532	0
542	0
552	0
562	0
572	0
582	0
592	0
602	0
612	0
622	0
632	1
642	0
652	0
662	0
672	0
682	0
692	1
702	0
712	0
722	3
732	0
742	0
752	0
762	0
772	0
782	0
792	1
802	0
812	0
822	0
832	0
842	0
852	0
862	0
872	0
882	0
892	3
902	0
912	0
922	2
932	0
942	0
952	3
962	0
972	0
982	1
992	0
1002	0
1012	0
1022	0
1032	0
1042	0
1052	0
1062	3
1072	4
1082	0
1092	3
1102	0
1112	1
1122	0
1132	0
1142	0
1152	0
1162	0
1172	2
1182	2
1192	0
1202	0
1212	2
1222	0
1232	0
1242	0
1252	0
1262	0
1272	0
1282	0
1292	0
1302	0
1312	0
1322	3
1332	0
1342	2
1352	1
1362	0
1372	0
1382	0
1392	1
1402	1
1412	0
1422	0
1432	0
1442	0
1452	0
1462	0
1472	2
1482	0
1492	0
1502	0
1512	0
1522	1
1532	0
1542	0
1552	0
1562	0
1572	0
1582	0
1592	0
1602	0
1612	1
1622	0
1632	0
1642	0
1652	0
1662	1
1672	0
1682	2
1692	0
1702	0
1712	2
1722	0
1732	0
1742	0
1752	0
1762	0
1772	0
1782	0
1792	0
1802	0
1812	0
1822	0
1832	0
1842	0
1852	0
1862	0
1872	0
1882	0
1892	0
1902	0
1912	0
1922	0
1932	0
1942	1
1952	0
1962	0
1972	1
1982	0
1992	0
2002	0
2012	1
2022	0
2032	0
2042	0
2052	0
2062	0
2072	0
2082	2
2092	0
2102	0
2112	0
2122	0
2132	0
2142	0
2152	1
2162	0
2172	1
2182	0
2192	0
2202	0
2212	0
2222	0
2232	0
2242	0
2252	2
2262	0
2272	0
2282	0
2292	0
2302	0
2312	0
2322	2
2332	0
2342	3
2352	0
2362	0
2372	4
2382	0
2392	1
2402	1
2412	0
2422	0
2432	0
2442	0
2452	0
2462	0
2472	0
2482	0
2492	0
2502	0
2512	0
2522	0
2532	0
2542	0
2552	0
2562	0
2572	0
2582	1
2592	0
2602	0
2612	0
2622	0
2632	0
2642	0
2652	3
2662	0
2672	0
2682	0
2692	0
2702	1
2712	0
2722	0
2732	1
2742	0
2752	3
2762	0
2772	0
2782	1
2792	3
2802	0
