x	y
1983882.0	1
1983982.0	0
1984082.0	0
1984182.0	0
1984282.0	0
1984382.0	1
1984482.0	0
1984582.0	0
1984682.0	0
1984782.0	0
1984882.0	0
1984982.0	0
1985082.0	0
1985182.0	0
1985282.0	0
1985382.0	0
1985482.0	0
1985582.0	0
1985682.0	0
1985782.0	0
1985882.0	1
1985982.0	0
1986082.0	0
1986182.0	0
1986282.0	0
1986382.0	0
1986482.0	0
1986582.0	0
1986682.0	0
1986782.0	0
1986882.0	1
1986982.0	0
1987082.0	0
1987182.0	0
1987282.0	0
1987382.0	0
1987482.0	0
1987582.0	0
1987682.0	0
1987782.0	0
1987882.0	0
1987982.0	0
1988082.0	0
1988182.0	0
1988282.0	0
1988382.0	0
1988482.0	0
1988582.0	0
1988682.0	0
1988782.0	0
1988882.0	0
1988982.0	1
1989082.0	0
1989182.0	0
1989282.0	0
1989382.0	1
1989482.0	0
1989582.0	0
1989682.0	0
1989782.0	1
1989882.0	2
1989982.0	0
1990082.0	1
1990182.0	0
1990282.0	1
1990382.0	1
1990482.0	0
1990582.0	0
1990682.0	1
1990782.0	0
1990882.0	0
1990982.0	1
1991082.0	0
1991182.0	2
1991282.0	1
1991382.0	1
1991482.0	1
1991582.0	2
1991682.0	1
1991782.0	1
1991882.0	1
1991982.0	0
1992082.0	0
1992182.0	1
1992282.0	1
1992382.0	1
1992482.0	0
1992582.0	0
1992682.0	0
1992782.0	1
1992882.0	1
1992982.0	0
1993082.0	1
1993182.0	0
1993282.0	0
1993382.0	0
1993482.0	0
1993582.0	1
1993682.0	3
1993782.0	2
1993882.0	0
1993982.0	3
1994082.0	2
1994182.0	1
1994282.0	0
1994382.0	1
1994482.0	5
1994582.0	1
1994682.0	0
1994782.0	0
1994882.0	1
1994982.0	2
1995082.0	0
1995182.0	3
1995282.0	5
1995382.0	2
1995482.0	2
1995582.0	1
1995682.0	2
1995782.0	1
1995882.0	1
1995982.0	7
1996082.0	2
1996182.0	2
1996282.0	1
1996382.0	6
1996482.0	4
1996582.0	0
1996682.0	3
1996782.0	5
1996882.0	2
1996982.0	5
1997082.0	8
1997182.0	5
1997282.0	6
1997382.0	4
1997482.0	6
1997582.0	7
1997682.0	5
1997782.0	7
1997882.0	5
1997982.0	11
1998082.0	3
1998182.0	4
1998282.0	8
1998382.0	7
1998482.0	8
1998582.0	5
1998682.0	6
1998782.0	12
1998882.0	9
1998982.0	9
1999082.0	14
1999182.0	9
1999282.0	6
1999382.0	11
1999482.0	9
1999582.0	11
1999682.0	11
1999782.0	11
1999882.0	11
1999982.0	2
2000082.0	0
