x	y
261	2
271	0
281	0
291	0
301	0
311	0
321	0
331	0
341	0
351	0
361	0
371	0
381	0
391	0
401	0
411	0
421	0
431	0
441	0
451	0
461	0
471	0
481	0
491	0
501	0
511	0
521	3
531	8
541	5
551	1
561	0
571	0
581	0
591	0
601	0
611	0
621	0
631	0
641	0
651	0
661	0
671	0
681	0
691	0
701	0
711	0
721	0
731	0
741	0
751	0
761	0
771	0
781	0
791	0
801	0
811	0
821	0
831	0
841	0
851	0
861	0
871	0
881	0
891	0
901	0
911	0
921	0
931	0
941	0
951	0
961	0
971	0
981	0
991	0
1001	0
1011	0
1021	0
1031	0
1041	0
1051	4
1061	5
1071	7
1081	10
1091	7
1101	2
1111	0
1121	0
1131	0
1141	0
1151	0
1161	0
1171	0
1181	0
1191	4
1201	7
1211	10
1221	9
1231	7
1241	0
1251	0
1261	0
1271	0
1281	0
1291	0
1301	0
1311	5
1321	9
1331	10
1341	9
1351	10
1361	9
1371	9
1381	8
1391	10
1401	10
1411	6
1421	2
1431	1
1441	0
1451	0
1461	0
1471	0
1481	0
1491	0
1501	0
1511	0
1521	0
1531	0
1541	0
1551	0
1561	0
1571	0
1581	0
1591	0
1601	0
1611	4
1621	9
1631	10
1641	10
1651	9
1661	8
1671	2
1681	0
1691	0
1701	0
1711	0
1721	0
1731	0
1741	0
1751	0
1761	0
1771	0
1781	0
1791	0
1801	0
1811	0
1821	0
1831	0
1841	0
1851	0
1861	0
1871	0
1881	1
1891	6
1901	7
1911	9
1921	9
1931	9
1941	5
1951	0
1961	0
1971	0
1981	0
1991	0
2001	0
2011	0
2021	0
2031	0
2041	0
2051	2
2061	0
2071	0
2081	0
2091	0
2101	0
2111	0
2121	0
2131	0
2141	0
2151	0
2161	2
2171	0
2181	0
2191	0
2201	0
2211	0
2221	0
2231	8
2241	10
2251	5
2261	7
2271	5
2281	0
2291	0
2301	0
2311	0
2321	0
2331	0
2341	0
2351	0
2361	0
2371	0
2381	0
2391	0
2401	0
2411	0
2421	0
2431	0
2441	0
2451	0
2461	0
2471	0
2481	0
2491	0
2501	1
2511	5
2521	7
2531	8
2541	9
2551	8
2561	9
2571	10
2581	1
2591	0
2601	0
2611	0
2621	0
2631	0
2641	0
2651	0
2661	0
2671	0
2681	0
2691	0
2701	0
2711	0
2721	0
2731	2
2741	7
2751	10
2761	9
2771	8
2781	7
2791	3
2801	0
2811	0
2821	4
2831	0
