x	y
17	2
22	1
27	0
32	0
37	0
42	0
47	0
52	0
57	0
62	0
67	0
72	0
77	0
82	0
87	0
92	0
97	0
102	0
107	0
112	0
117	0
122	0
127	0
132	0
137	0
142	0
147	0
152	0
157	0
162	0
167	0
172	0
177	0
182	0
187	2
192	1
197	0
202	0
207	0
212	0
217	0
222	0
227	0
232	0
237	0
242	0
247	0
252	0
257	0
262	0
267	0
272	0
277	0
282	0
287	0
292	0
297	0
302	0
307	0
312	0
317	0
322	0
327	0
332	0
337	0
342	1
347	4
352	5
357	5
362	5
367	5
372	3
377	1
382	0
387	0
392	0
397	0
402	0
407	0
412	0
417	0
422	0
427	0
432	0
437	0
442	0
447	0
452	0
457	0
462	0
467	0
472	0
477	0
482	0
487	1
492	2
497	0
502	0
507	0
512	0
517	0
522	0
527	0
532	0
537	0
542	0
547	0
552	0
557	0
562	0
567	0
572	2
577	0
582	0
587	0
592	2
597	1
602	0
607	2
612	1
617	0
622	0
627	0
632	0
637	0
642	0
647	0
652	0
657	0
662	0
667	0
672	0
677	0
682	0
687	0
692	0
697	0
702	0
707	0
712	0
717	0
722	0
727	0
732	0
737	0
742	0
747	0
752	0
757	0
762	0
767	0
772	0
777	0
782	0
787	0
792	0
797	0
802	0
807	0
812	0
817	0
822	0
827	0
832	0
837	0
842	0
847	1
852	4
857	3
862	1
867	0
872	0
877	0
882	3
887	5
892	4
897	0
902	0
907	0
912	0
917	0
922	0
927	0
932	0
937	0
942	4
947	2
952	0
957	0
962	0
967	0
972	0
977	0
982	0
987	0
992	0
997	0
1002	0
1007	0
1012	0
1017	0
1022	0
1027	0
1032	0
1037	0
1042	0
1047	0
1052	0
1057	0
1062	0
1067	0
1072	0
1077	0
1082	0
1087	0
1092	0
1097	0
1102	0
1107	0
1112	0
1117	0
1122	0
1127	0
1132	0
1137	0
1142	0
1147	0
1152	0
1157	0
1162	0
1167	0
1172	0
1177	0
1182	0
1187	0
1192	0
1197	0
1202	0
1207	0
1212	0
1217	0
1222	0
1227	0
1232	0
1237	0
1242	1
1247	2
1252	4
1257	5
1262	3
1267	0
1272	0
1277	0
1282	0
1287	0
1292	0
1297	0
1302	0
1307	0
1312	0
1317	1
1322	1
1327	0
1332	0
1337	0
1342	0
1347	0
1352	0
1357	0
1362	0
1367	0
1372	1
1377	2
1382	0
1387	0
1392	0
1397	0
1402	0
1407	0
1412	0
1417	0
1422	0
1427	0
1432	0
1437	2
1442	4
1447	0
1452	1
1457	1
1462	1
1467	0
1472	0
1477	0
1482	0
1487	0
1492	0
1497	0
1502	0
1507	0
1512	0
1517	0
1522	0
1527	0
1532	0
1537	0
1542	2
1547	0
1552	0
1557	1
1562	2
1567	0
1572	0
1577	0
1582	0
1587	0
1592	3
1597	3
1602	4
1607	2
1612	4
1617	5
1622	5
1627	5
1632	4
1637	5
1642	4
1647	4
1652	1
1657	1
1662	0
1667	0
1672	0
1677	0
1682	0
1687	0
1692	0
1697	0
1702	2
1707	2
1712	1
1717	0
1722	0
1727	0
1732	0
1737	0
1742	0
1747	0
1752	0
1757	0
1762	0
1767	0
1772	0
1777	0
1782	0
1787	0
1792	0
1797	0
1802	0
1807	0
1812	0
1817	0
1822	0
1827	1
1832	4
1837	4
1842	3
1847	0
1852	0
1857	0
1862	0
1867	0
1872	0
1877	0
1882	0
1887	0
1892	0
1897	0
1902	0
1907	0
1912	0
1917	0
1922	0
1927	0
1932	0
1937	0
1942	0
1947	1
1952	4
1957	5
1962	5
1967	5
1972	2
1977	1
1982	0
1987	0
1992	0
1997	0
2002	1
2007	0
2012	0
2017	0
2022	0
2027	0
2032	1
2037	1
2042	2
2047	0
2052	0
2057	0
2062	0
2067	0
2072	1
2077	2
2082	0
2087	0
2092	0
2097	0
2102	0
2107	0
2112	0
2117	0
2122	0
2127	0
2132	0
2137	1
2142	1
2147	2
2152	2
2157	0
2162	0
2167	0
2172	0
2177	0
2182	0
2187	0
2192	0
2197	0
2202	0
2207	0
2212	0
2217	0
2222	1
2227	0
2232	0
2237	0
2242	0
2247	0
2252	0
2257	0
2262	0
2267	1
2272	3
2277	3
2282	5
2287	4
2292	5
2297	3
2302	5
2307	4
2312	1
2317	0
2322	0
2327	0
2332	0
2337	0
2342	0
2347	0
2352	0
2357	0
2362	0
2367	0
2372	0
2377	0
2382	0
2387	2
2392	1
2397	0
2402	0
2407	0
2412	0
2417	1
2422	1
2427	1
2432	0
2437	0
2442	0
2447	0
2452	0
2457	0
2462	0
2467	0
2472	0
2477	0
2482	1
2487	0
2492	0
2497	0
2502	0
2507	0
2512	0
2517	0
2522	0
2527	0
2532	0
2537	0
2542	0
2547	0
2552	0
2557	0
2562	0
2567	0
2572	0
2577	0
2582	0
2587	0
2592	0
2597	0
2602	0
2607	0
2612	0
2617	0
2622	0
2627	0
2632	0
2637	0
2642	0
2647	0
2652	0
2657	0
2662	0
2667	0
2672	0
2677	0
2682	1
2687	2
2692	3
2697	0
2702	0
2707	0
2712	0
2717	0
2722	0
2727	0
2732	0
2737	0
2742	0
2747	0
2752	0
2757	0
2762	0
2767	0
2772	0
2777	0
2782	0
2787	1
2792	1
2797	0
2802	0
2807	0
2812	0
2817	0
2822	0
2827	0
2832	0
2837	0
2842	0
2847	0
2852	0
2857	3
2862	3
2867	0
2872	0
2877	0
2882	0
2887	1
2892	0
2897	0
2902	0
2907	0
2912	0
2917	0
2922	1
2927	3
2932	2
2937	0
2942	0
2947	0
2952	0
2957	0
2962	0
2967	0
2972	2
2977	0
