x	y
1	107.4431
2	37.20535
3	12.8867
4	4.5727
5	2.0021
6	0.68395
7	0.40615
8	0.31705
9	0.2465
10	0.11345
11	0.05405
12	0.01075
13	0.0282
14	0.0675
15	0.04975
16	0.04245
17	0.01255
18	0.0105
19	0.0
20	0.0
21	0.05435
22	0.04015
23	0.0217
24	0.07175
25	0.0
26	0.0
27	0.02825
28	0.0
29	0.09235
30	0.00215
31	0.0
32	0.0
33	0.0
34	0.0
35	0.0368
36	0.01735
37	0.0
38	0.0336
39	0.05305
40	0.02775
41	0.0163
42	0.0
43	0.0
44	0.07995
45	0.0263
46	0.02565
47	0.0
48	0.0
49	0.0
50	0.02495
51	0.0601
52	0.0448
53	0.0457
54	0.0
55	0.0085
56	0.0448
57	0.0
58	0.0
59	0.00035
60	0.0
61	0.02245
62	0.0727
63	0.0025
64	0.03465
65	0.0
66	0.0157
67	0.0826
68	0.0443
69	0.012
70	0.1373
71	0.03645
72	0.1628
73	0.11035
74	0.1076
75	0.1103
76	0.07165
77	0.0375
78	0.1408
79	0.0371
80	0.0015
81	0.0004
82	0.01515
83	0.0364
84	0.02045
85	0.1139
86	0.0452
87	0.0
88	0.0
89	0.01055
90	0.0
91	0.0
92	0.0
93	0.00515
94	0.0
