x	y
1	57.631425
2	16.011925
3	7.046725
4	3.839825
5	2.3652
6	2.0661
7	1.42305
8	1.836275
9	1.536125
10	1.3352
11	0.84895
12	1.01605
13	1.024825
14	0.93345
15	0.758425
16	0.707325
17	0.854175
18	0.4711
19	0.4847
20	0.289775
21	0.406075
22	0.351325
23	0.2135
24	0.441975
25	0.370375
26	0.13365
27	0.086375
28	0.253975
29	0.436025
30	0.193175
31	0.045775
32	0.058175
33	0.21
34	0.125425
35	0.2178
36	0.108125
37	0.0475
38	0.09735
39	0.0858
40	0.1218
41	0.027025
42	0.0
43	0.1366
44	0.067
45	0.010625
46	0.02245
47	0.0
48	0.021125
49	0.0
50	0.015175
51	0.0
52	0.0
53	0.0
54	0.0
55	0.0
56	0.0
57	0.0
58	0.0
59	0.021875
60	0.0
