x	y
220.0	1.0
221.0	0.0
222.0	0.0
223.0	0.0
224.0	0.0
225.0	0.0
226.0	0.0
227.0	0.0
228.0	0.0
229.0	0.0
230.0	0.0
231.0	0.0
232.0	0.0
233.0	0.0
234.0	0.0
235.0	0.0
236.0	0.0
237.0	0.0
238.0	0.0
239.0	0.0
240.0	0.0
241.0	0.0
242.0	0.0
243.0	0.0
244.0	0.0
245.0	0.0
246.0	0.0
247.0	0.0
248.0	0.0
249.0	0.0
250.0	0.0
251.0	0.0
252.0	0.0
253.0	0.0
254.0	0.0
255.0	0.0
256.0	0.0
257.0	0.0
258.0	0.0
259.0	1.0
260.0	1.0
261.0	1.0
262.0	3.0
263.0	0.0
264.0	1.0
265.0	0.0
266.0	0.0
267.0	1.0
268.0	1.0
269.0	0.0
270.0	0.0
271.0	1.0
272.0	1.0
273.0	0.0
274.0	0.0
275.0	3.0
276.0	3.0
277.0	2.0
278.0	0.0
279.0	0.0
280.0	1.0
281.0	1.0
282.0	0.0
283.0	0.0
284.0	1.0
285.0	0.0
286.0	1.0
287.0	1.0
288.0	3.0
289.0	0.0
290.0	3.0
291.0	3.0
292.0	2.0
293.0	6.0
294.0	1.0
295.0	3.0
296.0	3.0
297.0	1.0
298.0	3.0
299.0	2.0
300.0	4.0
301.0	0.0
302.0	3.0
303.0	4.0
304.0	6.0
305.0	3.0
306.0	0.0
307.0	4.0
308.0	3.0
309.0	9.0
310.0	8.0
311.0	5.0
312.0	4.0
313.0	5.0
314.0	4.0
315.0	6.0
316.0	3.0
317.0	6.0
318.0	7.0
319.0	6.0
320.0	4.0
321.0	11.0
322.0	4.0
323.0	4.0
324.0	2.0
325.0	3.0
326.0	7.0
327.0	6.0
328.0	6.0
329.0	4.0
330.0	8.0
331.0	7.0
332.0	7.0
333.0	4.0
334.0	8.0
335.0	3.0
336.0	7.0
337.0	4.0
338.0	4.0
339.0	6.0
340.0	5.0
341.0	6.0
342.0	9.0
343.0	8.0
344.0	3.0
345.0	7.0
346.0	2.0
347.0	5.0
348.0	7.0
349.0	4.0
350.0	6.0
351.0	6.0
352.0	0.0
353.0	3.0
354.0	7.0
355.0	3.0
356.0	5.0
357.0	4.0
358.0	5.0
359.0	4.0
360.0	3.0
361.0	6.0
362.0	1.0
363.0	1.0
364.0	5.0
365.0	3.0
366.0	3.0
367.0	3.0
368.0	2.0
369.0	4.0
370.0	1.0
371.0	3.0
372.0	3.0
373.0	0.0
374.0	1.0
375.0	3.0
376.0	2.0
377.0	2.0
378.0	0.0
379.0	4.0
380.0	3.0
381.0	2.0
382.0	4.0
383.0	1.0
384.0	1.0
385.0	1.0
386.0	3.0
387.0	0.0
388.0	1.0
389.0	1.0
390.0	1.0
391.0	1.0
392.0	1.0
393.0	5.0
394.0	0.0
395.0	1.0
396.0	2.0
397.0	1.0
398.0	1.0
399.0	0.0
400.0	0.0
401.0	0.0
402.0	2.0
403.0	0.0
404.0	0.0
405.0	1.0
406.0	3.0
407.0	0.0
408.0	0.0
409.0	0.0
410.0	0.0
411.0	0.0
412.0	0.0
413.0	2.0
414.0	1.0
415.0	0.0
416.0	0.0
417.0	0.0
418.0	1.0
419.0	0.0
420.0	1.0
421.0	0.0
422.0	0.0
423.0	1.0
424.0	2.0
425.0	0.0
426.0	0.0
427.0	0.0
428.0	0.0
429.0	0.0
430.0	0.0
431.0	1.0
432.0	1.0
433.0	0.0
434.0	0.0
435.0	0.0
436.0	0.0
437.0	0.0
438.0	0.0
439.0	0.0
440.0	0.0
441.0	0.0
442.0	0.0
443.0	0.0
444.0	0.0
445.0	0.0
446.0	0.0
447.0	0.0
448.0	0.0
449.0	0.0
450.0	0.0
451.0	0.0
452.0	0.0
453.0	1.0
454.0	0.0
220.0	0.013626700869591286
220.23423423423424	0.013959711227762593
220.46846846846847	0.01430016063395131
220.7027027027027	0.014648196820642785
