x	y
1	33.57415
2	6.613975
3	3.058875
4	1.788625
5	1.31535
6	0.777825
7	0.6099
8	1.01415
9	0.342925
10	0.536775
11	0.600725
12	0.3125
13	0.474675
14	0.0485
15	0.227175
16	0.210425
17	0.373675
18	0.37225
19	0.28205
20	0.0672
21	0.055225
22	0.3341
23	0.260625
24	0.096
25	0.266625
26	0.112375
27	0.528475
28	0.4335
29	0.23875
30	0.218925
31	0.3303
32	0.144525
33	0.273725
34	0.364925
35	0.067825
36	0.08755
37	0.48425
38	0.10285
39	0.48595
40	0.3813
41	0.256625
42	0.204125
43	0.055225
44	0.088525
45	0.1205
46	0.0536
47	0.060575
48	0.101675
49	0.03925
50	0.35195
51	0.210575
52	0.285
53	0.173575
54	0.14705
55	0.019925
56	0.1018
57	0.2058
58	0.047
59	0.011575
60	0.0
61	0.0122
62	0.0189
63	0.023225
64	0.0
65	0.049175
66	0.0465
67	0.0393
68	0.0
