x	y
1	120.766975
2	35.6902
3	19.641625
4	8.970575
5	7.868775
6	6.438475
7	4.993775
8	3.65785
9	2.66825
10	2.7999
11	2.40835
12	2.199
13	1.460475
14	1.530825
15	0.94585
16	0.752475
17	1.218725
18	0.8045
19	0.68075
20	0.897625
21	0.5766
22	0.614325
23	0.2274
24	0.5215
25	0.85955
26	0.715075
27	0.75495
28	0.4418
29	0.173375
30	0.455875
31	0.21215
32	0.171275
33	0.028025
34	0.342375
35	0.13405
36	0.22685
37	0.1113
38	0.11335
39	0.18515
40	0.1577
41	0.091775
42	0.073725
43	0.060425
44	0.00655
45	0.07075
46	0.0
