x	y
106	2
116	2
126	0
136	0
146	0
156	0
166	0
176	0
186	0
196	0
206	0
216	0
226	0
236	0
246	0
256	0
266	0
276	0
286	0
296	0
306	0
316	2
326	0
336	0
346	0
356	0
366	0
376	0
386	0
396	0
406	0
416	0
426	0
436	0
446	1
456	1
466	0
476	0
486	0
496	1
506	2
516	1
526	0
536	0
546	0
556	0
566	0
576	1
586	0
596	0
606	0
616	0
626	0
636	1
646	1
656	0
666	2
676	0
686	0
696	0
706	0
716	2
726	0
736	0
746	0
756	0
766	0
776	0
786	1
796	0
806	0
816	0
826	0
836	0
846	0
856	0
866	0
876	0
886	0
896	0
906	0
916	0
926	0
936	0
946	0
956	0
966	0
976	0
986	0
996	0
1006	0
1016	0
1026	0
1036	1
1046	0
1056	0
1066	0
1076	0
1086	0
1096	0
1106	0
1116	0
1126	2
1136	0
1146	0
1156	0
1166	0
1176	0
1186	0
1196	1
1206	2
1216	0
1226	2
1236	1
1246	0
1256	0
1266	0
1276	0
1286	0
1296	0
1306	1
1316	3
1326	0
1336	0
1346	0
1356	2
1366	0
1376	0
1386	0
1396	0
1406	0
1416	0
1426	0
1436	0
1446	0
1456	0
1466	0
1476	0
1486	0
1496	3
1506	0
1516	0
1526	2
1536	3
1546	0
1556	2
1566	2
1576	0
1586	0
1596	0
1606	0
1616	1
1626	1
1636	2
1646	0
1656	0
1666	2
1676	1
1686	2
1696	1
1706	1
1716	2
1726	0
1736	0
1746	0
1756	1
1766	2
1776	6
1786	6
1796	3
1806	0
1816	0
1826	0
1836	0
1846	0
1856	0
1866	0
1876	0
1886	0
1896	0
1906	0
1916	0
1926	0
1936	0
1946	0
1956	0
1966	0
1976	0
1986	0
1996	0
2006	0
2016	2
2026	2
2036	0
2046	0
2056	1
2066	2
2076	0
2086	0
2096	0
2106	0
2116	0
2126	0
2136	0
2146	0
2156	1
2166	0
2176	0
2186	0
2196	0
2206	0
2216	0
2226	0
2236	0
2246	0
2256	0
2266	0
2276	0
2286	1
2296	0
2306	0
2316	3
2326	5
2336	1
2346	0
2356	0
2366	0
2376	0
2386	0
2396	0
2406	0
2416	0
2426	0
2436	0
2446	0
2456	0
2466	0
2476	0
2486	0
2496	0
2506	1
2516	1
2526	0
2536	0
2546	1
2556	0
2566	0
2576	0
2586	0
2596	0
2606	0
2616	0
2626	0
2636	0
2646	0
2656	0
2666	0
2676	0
2686	0
2696	0
2706	0
2716	0
2726	0
2736	0
2746	0
2756	0
2766	0
2776	0
2786	0
2796	0
2806	0
2816	0
2826	0
2836	0
2846	0
2856	0
2866	2
2876	0
2886	0
2896	1
2906	0
2916	0
2926	0
2936	0
2946	0
2956	0
2966	0
2976	2
2986	1
2996	1
3006	0
3016	0
3026	0
3036	0
3046	0
3056	0
3066	0
3076	0
3086	0
3096	0
3106	0
3116	0
3126	0
3136	2
3146	0
3156	0
3166	0
3176	0
3186	0
3196	0
3206	0
