x	y
304.0	1.0
404.0	0.0
504.0	1.0
604.0	0.0
704.0	1.0
804.0	0.0
904.0	0.0
1004.0	1.0
1104.0	2.0
1204.0	1.0
1304.0	3.0
1404.0	2.0
1504.0	0.0
1604.0	1.0
1704.0	0.0
1804.0	0.0
1904.0	0.0
2004.0	1.0
2104.0	1.0
2204.0	3.0
2304.0	0.0
2404.0	0.0
2504.0	0.0
2604.0	0.0
2704.0	0.0
2804.0	1.0
2904.0	1.0
3004.0	0.0
3104.0	3.0
3204.0	1.0
3304.0	0.0
3404.0	1.0
3504.0	2.0
3604.0	1.0
3704.0	1.0
3804.0	1.0
3904.0	1.0
4004.0	1.0
4104.0	0.0
4204.0	1.0
4304.0	1.0
4404.0	0.0
4504.0	1.0
4604.0	0.0
4704.0	1.0
4804.0	0.0
4904.0	0.0
5004.0	0.0
5104.0	0.0
5204.0	3.0
5304.0	0.0
5404.0	0.0
5504.0	0.0
5604.0	1.0
5704.0	2.0
5804.0	0.0
5904.0	0.0
6004.0	1.0
6104.0	0.0
6204.0	2.0
6304.0	1.0
6404.0	1.0
6504.0	0.0
6604.0	0.0
6704.0	0.0
6804.0	2.0
6904.0	0.0
7004.0	1.0
7104.0	0.0
7204.0	2.0
7304.0	3.0
7404.0	3.0
7504.0	0.0
7604.0	2.0
7704.0	2.0
7804.0	0.0
7904.0	1.0
8004.0	1.0
8104.0	2.0
8204.0	4.0
8304.0	0.0
8404.0	0.0
8504.0	3.0
8604.0	1.0
8704.0	0.0
8804.0	1.0
8904.0	0.0
9004.0	0.0
9104.0	1.0
9204.0	1.0
9304.0	4.0
9404.0	5.0
9504.0	2.0
9604.0	2.0
9704.0	2.0
9804.0	2.0
9904.0	4.0
10004.0	1.0
10104.0	1.0
10204.0	0.0
10304.0	1.0
10404.0	4.0
10504.0	3.0
10604.0	1.0
10704.0	1.0
10804.0	2.0
10904.0	3.0
11004.0	3.0
11104.0	2.0
11204.0	2.0
11304.0	3.0
11404.0	4.0
11504.0	4.0
11604.0	6.0
11704.0	2.0
11804.0	2.0
11904.0	3.0
12004.0	2.0
12104.0	3.0
12204.0	4.0
12304.0	4.0
12404.0	2.0
12504.0	2.0
12604.0	1.0
12704.0	0.0
12804.0	1.0
12904.0	1.0
13004.0	1.0
13104.0	1.0
13204.0	3.0
13304.0	4.0
13404.0	5.0
13504.0	3.0
13604.0	2.0
13704.0	0.0
13804.0	2.0
13904.0	3.0
14004.0	3.0
14104.0	1.0
14204.0	4.0
14304.0	5.0
14404.0	1.0
14504.0	0.0
14604.0	3.0
14704.0	4.0
14804.0	4.0
14904.0	9.0
15004.0	5.0
15104.0	3.0
15204.0	1.0
15304.0	1.0
15404.0	1.0
15504.0	1.0
15604.0	3.0
15704.0	8.0
15804.0	2.0
15904.0	5.0
16004.0	3.0
16104.0	6.0
16204.0	10.0
16304.0	2.0
16404.0	3.0
16504.0	2.0
16604.0	4.0
16704.0	3.0
16804.0	5.0
16904.0	2.0
17004.0	1.0
17104.0	2.0
17204.0	8.0
17304.0	3.0
17404.0	1.0
17504.0	2.0
17604.0	2.0
17704.0	1.0
17804.0	1.0
17904.0	1.0
18004.0	3.0
18104.0	4.0
18204.0	1.0
18304.0	4.0
18404.0	2.0
18504.0	5.0
18604.0	0.0
18704.0	1.0
18804.0	1.0
18904.0	2.0
19004.0	1.0
19104.0	5.0
19204.0	6.0
19304.0	3.0
19404.0	3.0
19504.0	2.0
19604.0	2.0
19704.0	2.0
19804.0	2.0
19904.0	6.0
20004.0	2.0
20104.0	4.0
20204.0	2.0
20304.0	3.0
20404.0	1.0
20504.0	3.0
20604.0	2.0
20704.0	3.0
20804.0	4.0
20904.0	2.0
21004.0	3.0
21104.0	3.0
21204.0	3.0
21304.0	4.0
21404.0	2.0
21504.0	1.0
21604.0	3.0
21704.0	2.0
21804.0	1.0
21904.0	1.0
22004.0	3.0
22104.0	3.0
22204.0	1.0
22304.0	2.0
22404.0	4.0
22504.0	0.0
22604.0	1.0
22704.0	1.0
22804.0	1.0
22904.0	1.0
23004.0	1.0
23104.0	0.0
23204.0	3.0
23304.0	1.0
23404.0	3.0
23504.0	0.0
23604.0	0.0
23704.0	2.0
23804.0	1.0
23904.0	1.0
24004.0	4.0
24104.0	0.0
24204.0	6.0
24304.0	2.0
24404.0	2.0
24504.0	2.0
24604.0	3.0
24704.0	2.0
24804.0	0.0
24904.0	4.0
25004.0	2.0
25104.0	3.0
25204.0	1.0
25304.0	3.0
25404.0	2.0
25504.0	0.0
25604.0	2.0
25704.0	0.0
25804.0	4.0
25904.0	1.0
26004.0	4.0
26104.0	0.0
26204.0	5.0
26304.0	2.0
26404.0	1.0
26504.0	0.0
26604.0	3.0
26704.0	3.0
26804.0	0.0
26904.0	3.0
27004.0	2.0
27104.0	0.0
27204.0	0.0
27304.0	1.0
27404.0	1.0
27504.0	0.0
27604.0	1.0
27704.0	2.0
27804.0	2.0
27904.0	1.0
28004.0	3.0
28104.0	1.0
28204.0	1.0
28304.0	2.0
28404.0	3.0
28504.0	1.0
28604.0	0.0
28704.0	1.0
28804.0	0.0
28904.0	1.0
29004.0	0.0
29104.0	2.0
29204.0	2.0
29304.0	3.0
29404.0	1.0
29504.0	2.0
29604.0	3.0
29704.0	2.0
29804.0	3.0
29904.0	2.0
30004.0	1.0
30104.0	0.0
30204.0	2.0
30304.0	2.0
30404.0	2.0
30504.0	1.0
30604.0	2.0
30704.0	1.0
30804.0	1.0
30904.0	4.0
31004.0	0.0
31104.0	1.0
31204.0	1.0
31304.0	1.0
31404.0	0.0
31504.0	1.0
31604.0	1.0
31704.0	3.0
31804.0	2.0
31904.0	2.0
32004.0	1.0
32104.0	1.0
32204.0	0.0
32304.0	0.0
32404.0	2.0
32504.0	3.0
32604.0	2.0
32704.0	0.0
32804.0	3.0
32904.0	0.0
33004.0	1.0
33104.0	2.0
33204.0	2.0
33304.0	0.0
33404.0	1.0
33504.0	0.0
33604.0	1.0
33704.0	1.0
33804.0	1.0
33904.0	3.0
34004.0	1.0
34104.0	1.0
34204.0	1.0
34304.0	1.0
34404.0	1.0
34504.0	1.0
34604.0	3.0
34704.0	2.0
34804.0	2.0
34904.0	3.0
35004.0	0.0
35104.0	0.0
35204.0	0.0
35304.0	3.0
35404.0	1.0
35504.0	1.0
35604.0	1.0
35704.0	3.0
35804.0	1.0
35904.0	0.0
36004.0	0.0
36104.0	0.0
36204.0	2.0
36304.0	1.0
36404.0	1.0
36504.0	1.0
36604.0	0.0
36704.0	2.0
36804.0	0.0
36904.0	1.0
37004.0	0.0
37104.0	0.0
37204.0	0.0
37304.0	2.0
37404.0	1.0
37504.0	1.0
37604.0	0.0
37704.0	1.0
37804.0	0.0
37904.0	0.0
38004.0	0.0
38104.0	4.0
38204.0	0.0
38304.0	0.0
38404.0	1.0
38504.0	1.0
38604.0	1.0
38704.0	1.0
38804.0	1.0
38904.0	3.0
39004.0	0.0
39104.0	0.0
39204.0	1.0
39304.0	0.0
39404.0	0.0
39504.0	1.0
39604.0	0.0
39704.0	0.0
39804.0	0.0
39904.0	1.0
40004.0	0.0
40104.0	0.0
40204.0	1.0
40304.0	1.0
40404.0	0.0
40504.0	0.0
40604.0	1.0
40704.0	2.0
40804.0	0.0
40904.0	1.0
41004.0	0.0
41104.0	0.0
41204.0	1.0
41304.0	2.0
41404.0	1.0
41504.0	0.0
41604.0	1.0
41704.0	0.0
41804.0	0.0
41904.0	0.0
42004.0	0.0
42104.0	0.0
42204.0	1.0
42304.0	1.0
42404.0	2.0
42504.0	1.0
42604.0	1.0
42704.0	2.0
42804.0	0.0
42904.0	1.0
43004.0	1.0
43104.0	0.0
43204.0	1.0
43304.0	0.0
43404.0	0.0
43504.0	0.0
43604.0	0.0
43704.0	0.0
43804.0	1.0
43904.0	0.0
44004.0	4.0
44104.0	1.0
44204.0	1.0
44304.0	0.0
44404.0	1.0
44504.0	0.0
44604.0	0.0
44704.0	1.0
44804.0	1.0
44904.0	2.0
45004.0	1.0
45104.0	0.0
45204.0	1.0
45304.0	0.0
45404.0	1.0
45504.0	0.0
45604.0	1.0
45704.0	0.0
45804.0	0.0
45904.0	2.0
46004.0	0.0
46104.0	0.0
46204.0	0.0
46304.0	0.0
46404.0	1.0
46504.0	3.0
46604.0	0.0
46704.0	1.0
46804.0	1.0
46904.0	0.0
47004.0	0.0
47104.0	0.0
47204.0	0.0
47304.0	0.0
47404.0	0.0
47504.0	0.0
47604.0	1.0
47704.0	0.0
47804.0	1.0
47904.0	2.0
48004.0	0.0
48104.0	1.0
48204.0	1.0
48304.0	1.0
48404.0	0.0
48504.0	0.0
48604.0	0.0
48704.0	0.0
48804.0	2.0
48904.0	1.0
49004.0	1.0
49104.0	1.0
49204.0	1.0
49304.0	1.0
49404.0	1.0
49504.0	0.0
49604.0	0.0
49704.0	0.0
49804.0	1.0
49904.0	1.0
50004.0	0.0
50104.0	0.0
50204.0	1.0
50304.0	1.0
50404.0	0.0
50504.0	1.0
50604.0	1.0
50704.0	0.0
50804.0	0.0
50904.0	0.0
51004.0	0.0
51104.0	1.0
51204.0	0.0
51304.0	0.0
51404.0	0.0
51504.0	0.0
51604.0	0.0
51704.0	0.0
51804.0	2.0
51904.0	2.0
52004.0	0.0
52104.0	1.0
52204.0	1.0
52304.0	0.0
52404.0	1.0
52504.0	0.0
52604.0	0.0
52704.0	0.0
52804.0	2.0
52904.0	0.0
53004.0	0.0
53104.0	0.0
53204.0	1.0
53304.0	1.0
53404.0	0.0
53504.0	1.0
53604.0	0.0
53704.0	0.0
53804.0	0.0
53904.0	0.0
54004.0	0.0
54104.0	2.0
54204.0	2.0
54304.0	0.0
54404.0	0.0
54504.0	0.0
54604.0	0.0
54704.0	0.0
54804.0	0.0
54904.0	0.0
55004.0	2.0
55104.0	0.0
55204.0	0.0
55304.0	0.0
55404.0	0.0
55504.0	0.0
55604.0	0.0
55704.0	0.0
55804.0	0.0
55904.0	0.0
56004.0	1.0
56104.0	1.0
56204.0	1.0
56304.0	0.0
56404.0	0.0
56504.0	1.0
56604.0	1.0
56704.0	1.0
56804.0	0.0
56904.0	0.0
57004.0	1.0
57104.0	0.0
57204.0	0.0
57304.0	0.0
57404.0	0.0
57504.0	0.0
57604.0	0.0
57704.0	0.0
57804.0	1.0
57904.0	0.0
58004.0	0.0
58104.0	0.0
58204.0	0.0
58304.0	2.0
58404.0	0.0
58504.0	0.0
58604.0	1.0
58704.0	0.0
58804.0	0.0
58904.0	0.0
59004.0	1.0
59104.0	0.0
59204.0	0.0
59304.0	0.0
59404.0	2.0
59504.0	0.0
59604.0	0.0
59704.0	0.0
59804.0	0.0
59904.0	1.0
60004.0	0.0
60104.0	1.0
60204.0	1.0
60304.0	0.0
60404.0	0.0
60504.0	1.0
60604.0	0.0
60704.0	0.0
60804.0	0.0
60904.0	1.0
61004.0	0.0
61104.0	0.0
61204.0	0.0
61304.0	0.0
61404.0	0.0
61504.0	1.0
61604.0	0.0
61704.0	0.0
61804.0	1.0
61904.0	0.0
62004.0	0.0
62104.0	1.0
62204.0	0.0
62304.0	1.0
62404.0	0.0
62504.0	0.0
62604.0	0.0
62704.0	1.0
62804.0	0.0
62904.0	0.0
63004.0	0.0
63104.0	1.0
63204.0	0.0
63304.0	0.0
63404.0	0.0
63504.0	0.0
63604.0	0.0
63704.0	0.0
63804.0	0.0
63904.0	0.0
64004.0	0.0
64104.0	1.0
64204.0	0.0
64304.0	2.0
64404.0	0.0
64504.0	1.0
64604.0	0.0
64704.0	0.0
64804.0	0.0
64904.0	1.0
65004.0	0.0
65104.0	0.0
65204.0	0.0
65304.0	0.0
65404.0	0.0
65504.0	0.0
65604.0	0.0
65704.0	0.0
65804.0	0.0
65904.0	1.0
66004.0	0.0
66104.0	1.0
66204.0	0.0
66304.0	0.0
66404.0	0.0
66504.0	0.0
66604.0	0.0
66704.0	1.0
66804.0	0.0
66904.0	0.0
67004.0	0.0
67104.0	0.0
67204.0	0.0
67304.0	0.0
67404.0	0.0
67504.0	0.0
67604.0	0.0
67704.0	0.0
67804.0	1.0
67904.0	0.0
68004.0	0.0
68104.0	0.0
68204.0	0.0
68304.0	0.0
68404.0	0.0
68504.0	1.0
68604.0	0.0
68704.0	0.0
68804.0	0.0
68904.0	0.0
69004.0	1.0
69104.0	1.0
69204.0	0.0
69304.0	0.0
69404.0	0.0
69504.0	0.0
69604.0	0.0
69704.0	0.0
69804.0	0.0
69904.0	0.0
70004.0	0.0
70104.0	0.0
70204.0	0.0
70304.0	0.0
70404.0	0.0
70504.0	0.0
70604.0	0.0
70704.0	1.0
70804.0	0.0
70904.0	0.0
71004.0	0.0
71104.0	0.0
71204.0	0.0
71304.0	1.0
71404.0	1.0
71504.0	1.0
71604.0	0.0
