x	y
1974968.0	1
1975068.0	0
1975168.0	0
1975268.0	0
1975368.0	0
1975468.0	0
1975568.0	0
1975668.0	0
1975768.0	0
1975868.0	0
1975968.0	0
1976068.0	0
1976168.0	0
1976268.0	0
1976368.0	0
1976468.0	0
1976568.0	0
1976668.0	0
1976768.0	0
1976868.0	1
1976968.0	0
1977068.0	0
1977168.0	0
1977268.0	0
1977368.0	2
1977468.0	1
1977568.0	0
1977668.0	0
1977768.0	1
1977868.0	0
1977968.0	1
1978068.0	0
1978168.0	0
1978268.0	0
1978368.0	0
1978468.0	0
1978568.0	0
1978668.0	0
1978768.0	0
1978868.0	1
1978968.0	0
1979068.0	0
1979168.0	0
1979268.0	0
1979368.0	0
1979468.0	1
1979568.0	0
1979668.0	1
1979768.0	0
1979868.0	1
1979968.0	0
1980068.0	0
1980168.0	1
1980268.0	2
1980368.0	0
1980468.0	0
1980568.0	0
1980668.0	0
1980768.0	0
1980868.0	1
1980968.0	2
1981068.0	0
1981168.0	0
1981268.0	0
1981368.0	0
1981468.0	0
1981568.0	0
1981668.0	1
1981768.0	0
1981868.0	0
1981968.0	1
1982068.0	0
1982168.0	1
1982268.0	0
1982368.0	0
1982468.0	1
1982568.0	1
1982668.0	1
1982768.0	1
1982868.0	1
1982968.0	0
1983068.0	2
1983168.0	0
1983268.0	1
1983368.0	1
1983468.0	1
1983568.0	1
1983668.0	0
1983768.0	0
1983868.0	2
1983968.0	1
1984068.0	0
1984168.0	0
1984268.0	2
1984368.0	1
1984468.0	0
1984568.0	0
1984668.0	0
1984768.0	0
1984868.0	1
1984968.0	1
1985068.0	2
1985168.0	1
1985268.0	1
1985368.0	2
1985468.0	0
1985568.0	0
1985668.0	0
1985768.0	0
1985868.0	0
1985968.0	2
1986068.0	1
1986168.0	2
1986268.0	2
1986368.0	0
1986468.0	3
1986568.0	0
1986668.0	1
1986768.0	1
1986868.0	3
1986968.0	1
1987068.0	2
1987168.0	3
1987268.0	2
1987368.0	3
1987468.0	1
1987568.0	1
1987668.0	2
1987768.0	0
1987868.0	1
1987968.0	2
1988068.0	1
1988168.0	0
1988268.0	1
1988368.0	2
1988468.0	2
1988568.0	0
1988668.0	2
1988768.0	0
1988868.0	3
1988968.0	3
1989068.0	0
1989168.0	4
1989268.0	2
1989368.0	2
1989468.0	2
1989568.0	6
1989668.0	1
1989768.0	2
1989868.0	0
1989968.0	0
1990068.0	1
1990168.0	0
1990268.0	1
1990368.0	2
1990468.0	3
1990568.0	1
1990668.0	2
1990768.0	2
1990868.0	3
1990968.0	7
1991068.0	10
1991168.0	2
1991268.0	5
1991368.0	4
1991468.0	3
1991568.0	4
1991668.0	4
1991768.0	5
1991868.0	3
1991968.0	0
1992068.0	2
1992168.0	4
1992268.0	3
1992368.0	3
1992468.0	3
1992568.0	3
1992668.0	2
1992768.0	2
1992868.0	6
1992968.0	8
1993068.0	4
1993168.0	6
1993268.0	4
1993368.0	4
1993468.0	3
1993568.0	7
1993668.0	6
1993768.0	9
1993868.0	6
1993968.0	4
1994068.0	6
1994168.0	4
1994268.0	9
1994368.0	2
1994468.0	8
1994568.0	6
1994668.0	6
1994768.0	12
1994868.0	7
1994968.0	9
1995068.0	9
1995168.0	6
1995268.0	10
1995368.0	11
1995468.0	7
1995568.0	9
1995668.0	11
1995768.0	8
1995868.0	8
1995968.0	10
1996068.0	8
1996168.0	6
1996268.0	12
1996368.0	12
1996468.0	17
1996568.0	11
1996668.0	8
1996768.0	13
1996868.0	12
1996968.0	11
1997068.0	8
1997168.0	12
1997268.0	12
1997368.0	16
1997468.0	26
1997568.0	14
1997668.0	12
1997768.0	15
1997868.0	15
1997968.0	16
1998068.0	19
1998168.0	22
1998268.0	19
1998368.0	16
1998468.0	17
1998568.0	20
1998668.0	20
1998768.0	22
1998868.0	22
1998968.0	16
1999068.0	24
1999168.0	19
1999268.0	13
1999368.0	29
1999468.0	22
1999568.0	20
1999668.0	32
1999768.0	20
1999868.0	17
1999968.0	6
2000068.0	0
