x	y
49	2
59	0
69	0
79	0
89	1
99	0
109	3
119	0
129	1
139	0
149	0
159	0
169	0
179	0
189	0
199	2
209	4
219	3
229	4
239	0
249	0
259	0
269	0
279	2
289	0
299	0
309	0
319	0
329	0
339	2
349	1
359	2
369	2
379	2
389	0
399	0
409	0
419	3
429	0
439	0
449	1
459	0
469	2
479	4
489	3
499	2
509	0
519	4
529	0
539	1
549	0
559	2
569	4
579	0
589	0
599	1
609	1
619	0
629	3
639	0
649	2
659	1
669	3
679	1
689	1
699	1
709	2
719	0
729	0
739	0
749	0
759	0
769	0
779	0
789	3
799	5
809	4
819	2
829	3
839	2
849	6
859	1
869	0
879	0
889	0
899	1
909	1
919	1
929	1
939	2
949	4
959	0
969	0
979	2
989	4
999	1
1009	0
1019	0
1029	0
1039	0
1049	0
1059	0
1069	1
1079	4
1089	2
1099	2
1109	1
1119	2
1129	3
1139	1
1149	0
1159	2
1169	2
1179	1
1189	0
1199	2
1209	2
1219	4
1229	1
1239	5
1249	1
1259	3
1269	3
1279	7
1289	2
1299	0
1309	1
1319	2
1329	3
1339	2
1349	1
1359	0
1369	1
1379	4
1389	0
1399	0
1409	1
1419	0
1429	1
1439	4
1449	1
1459	0
1469	0
1479	0
1489	3
1499	5
1509	1
1519	0
1529	1
1539	0
1549	0
1559	0
1569	2
1579	4
1589	2
1599	3
1609	1
1619	3
1629	4
1639	1
1649	0
1659	0
1669	0
1679	0
1689	0
1699	0
1709	0
1719	0
1729	0
1739	3
1749	1
1759	3
1769	0
1779	1
1789	2
1799	1
1809	1
1819	1
1829	0
1839	0
1849	1
1859	2
1869	2
1879	2
1889	0
1899	0
1909	1
1919	0
1929	0
1939	0
1949	0
1959	0
1969	0
1979	0
1989	3
1999	0
2009	2
2019	3
2029	3
2039	1
2049	1
2059	0
2069	0
2079	1
2089	2
2099	1
2109	0
2119	0
2129	0
2139	0
2149	3
2159	1
2169	3
2179	1
2189	4
2199	2
2209	1
2219	0
2229	0
2239	0
2249	0
2259	0
2269	0
2279	0
2289	0
2299	0
2309	0
2319	0
2329	0
2339	3
2349	3
2359	1
2369	0
2379	2
2389	3
2399	1
2409	0
2419	0
2429	0
2439	0
2449	0
2459	3
2469	4
2479	5
2489	3
2499	4
2509	1
2519	2
2529	2
2539	1
2549	3
2559	1
2569	0
2579	0
2589	3
2599	2
2609	2
2619	4
2629	0
2639	1
2649	0
2659	0
2669	0
2679	0
2689	0
2699	0
2709	0
2719	2
2729	3
2739	1
2749	1
2759	1
2769	2
2779	1
2789	3
2799	4
2809	1
2819	0
2829	0
2839	2
2849	0
2859	0
2869	1
2879	0
2889	0
2899	0
2909	0
2919	0
2929	0
2939	0
2949	0
2959	0
2969	2
2979	0
