x	y
1	1
11	2
21	0
31	0
41	0
51	5
61	6
71	3
81	1
91	0
101	4
111	0
121	1
131	2
141	0
151	0
161	2
171	0
181	3
191	3
201	0
211	0
221	0
231	0
241	0
251	0
261	4
271	3
281	3
291	6
301	2
311	3
321	2
331	1
341	0
351	0
361	0
371	0
381	1
391	3
401	2
411	1
421	3
431	2
441	3
451	2
461	2
471	1
481	2
491	3
501	2
511	0
521	0
531	2
541	1
551	0
561	3
571	4
581	1
591	0
601	3
611	1
621	2
631	0
641	1
651	3
661	4
671	0
681	1
691	0
701	0
711	0
721	0
731	0
741	0
751	1
761	1
771	1
781	6
791	6
801	3
811	2
821	2
831	4
841	1
851	0
861	3
871	3
881	4
891	3
901	2
911	0
921	2
931	1
941	3
951	0
961	0
971	0
981	0
991	0
1001	0
1011	0
1021	3
1031	3
1041	0
1051	3
1061	3
1071	4
1081	0
1091	1
1101	2
1111	5
1121	2
1131	4
1141	3
1151	0
1161	0
1171	2
1181	3
1191	0
1201	3
1211	1
1221	2
1231	1
1241	0
1251	0
1261	5
1271	3
1281	1
1291	1
1301	1
1311	4
1321	2
1331	0
1341	2
1351	4
1361	7
1371	5
1381	1
1391	0
1401	0
1411	1
1421	6
1431	2
1441	2
1451	1
1461	1
1471	4
1481	3
1491	2
1501	1
1511	3
1521	6
1531	2
1541	0
1551	0
1561	5
1571	1
1581	0
1591	1
1601	1
1611	5
1621	4
1631	5
1641	4
1651	1
1661	0
1671	0
1681	0
1691	0
1701	0
1711	0
1721	0
1731	0
1741	1
1751	3
1761	5
1771	2
1781	0
1791	0
1801	1
1811	2
1821	2
1831	4
1841	4
1851	0
1861	2
1871	0
1881	0
1891	0
1901	0
1911	0
1921	0
1931	1
1941	2
1951	2
1961	3
1971	4
1981	2
1991	1
2001	3
2011	3
2021	5
2031	4
2041	2
2051	2
2061	1
2071	3
2081	2
2091	2
2101	2
2111	1
2121	4
2131	2
2141	0
2151	0
2161	0
2171	0
2181	0
2191	0
2201	0
2211	0
2221	0
2231	1
2241	0
2251	0
2261	1
2271	1
2281	2
2291	3
2301	1
2311	1
2321	3
2331	1
2341	1
2351	0
2361	0
2371	0
2381	0
2391	0
2401	0
2411	0
2421	1
2431	0
2441	0
2451	0
2461	0
2471	2
2481	3
2491	2
2501	0
2511	0
2521	0
2531	0
2541	1
2551	2
2561	2
2571	1
2581	0
2591	0
2601	1
2611	0
2621	1
2631	2
2641	2
2651	3
2661	2
2671	0
2681	1
2691	0
2701	0
2711	0
2721	1
2731	0
2741	1
2751	1
2761	5
2771	5
2781	5
2791	0
2801	0
2811	0
2821	3
2831	6
2841	0
2851	0
2861	1
2871	1
2881	4
2891	3
2901	1
2911	2
2921	3
2931	2
2941	1
2951	0
2961	3
2971	5
2981	2
2991	2
3001	0
