x	y
1	3
11	3
21	2
31	1
41	1
51	0
61	0
71	0
81	0
91	0
101	0
111	0
121	1
131	2
141	0
151	0
161	0
171	0
181	0
191	0
201	0
211	0
221	0
231	0
241	0
251	0
261	0
271	0
281	0
291	0
301	0
311	0
321	0
331	0
341	0
351	1
361	3
371	1
381	1
391	0
401	1
411	0
421	0
431	0
441	0
451	0
461	0
471	1
481	4
491	0
501	0
511	0
521	0
531	3
541	4
551	2
561	0
571	0
581	1
591	3
601	3
611	1
621	0
631	2
641	1
651	0
661	0
671	0
681	0
691	1
701	5
711	1
721	4
731	4
741	2
751	1
761	0
771	3
781	2
791	2
801	0
811	0
821	0
831	1
841	2
851	1
861	2
871	3
881	3
891	4
901	2
911	0
921	1
931	2
941	1
951	0
961	0
971	0
981	0
991	0
1001	0
1011	0
1021	1
1031	2
1041	2
1051	0
1061	0
1071	0
1081	1
1091	1
1101	1
1111	5
1121	3
1131	2
1141	0
1151	0
1161	0
1171	2
1181	3
1191	2
1201	0
1211	0
1221	0
1231	0
1241	0
1251	0
1261	1
1271	2
1281	0
1291	1
1301	1
1311	1
1321	2
1331	1
1341	0
1351	0
1361	1
1371	0
1381	0
1391	0
1401	0
1411	0
1421	0
1431	4
1441	1
1451	1
1461	0
1471	0
1481	0
1491	3
1501	2
1511	0
1521	0
1531	1
1541	1
1551	2
1561	2
1571	0
1581	3
1591	0
1601	0
1611	0
1621	0
1631	0
1641	0
1651	0
1661	0
1671	0
1681	0
1691	0
1701	1
1711	2
1721	1
1731	1
1741	1
1751	2
1761	3
1771	3
1781	5
1791	6
1801	0
1811	0
1821	0
1831	0
1841	2
1851	3
1861	0
1871	0
1881	0
1891	0
1901	1
1911	1
1921	2
1931	1
1941	2
1951	0
1961	1
1971	3
1981	1
1991	1
2001	2
2011	5
2021	1
2031	0
2041	2
2051	1
2061	0
2071	0
2081	0
2091	1
2101	2
2111	1
2121	4
2131	5
2141	5
2151	3
2161	2
2171	1
2181	2
2191	1
2201	2
2211	0
2221	0
2231	0
2241	1
2251	1
2261	1
2271	0
2281	4
2291	0
2301	1
2311	1
2321	5
2331	1
2341	2
2351	5
2361	2
2371	4
2381	2
2391	2
2401	0
2411	0
2421	0
2431	1
2441	2
2451	1
2461	1
2471	4
2481	2
2491	1
2501	0
2511	0
2521	0
2531	6
2541	1
2551	0
2561	1
2571	4
2581	0
2591	3
2601	0
2611	1
2621	0
2631	0
2641	1
2651	2
2661	0
2671	4
2681	0
2691	0
2701	0
2711	0
2721	0
2731	0
2741	0
2751	0
2761	0
2771	0
2781	0
2791	0
2801	1
2811	1
2821	4
2831	1
2841	2
2851	1
2861	0
