x	y
26	5
36	0
46	0
56	0
66	0
76	2
86	2
96	0
106	0
116	0
126	2
136	1
146	0
156	0
166	1
176	2
186	0
196	0
206	0
216	2
226	2
236	2
246	1
256	3
266	1
276	2
286	2
296	4
306	4
316	5
326	3
336	4
346	0
356	0
366	0
376	0
386	0
396	0
406	0
416	3
426	4
436	0
446	0
456	0
466	4
476	4
486	2
496	3
506	1
516	1
526	3
536	3
546	5
556	5
566	6
576	2
586	0
596	0
606	1
616	1
626	1
636	0
646	0
656	3
666	1
676	0
686	0
696	0
706	0
716	3
726	2
736	0
746	0
756	0
766	0
776	0
786	0
796	0
806	0
816	1
826	0
836	0
846	0
856	0
866	0
876	1
886	0
896	0
906	0
916	0
926	1
936	2
946	0
956	0
966	1
976	2
986	5
996	5
1006	2
1016	4
1026	1
1036	0
1046	0
1056	0
1066	0
1076	0
1086	0
1096	0
1106	0
1116	0
1126	0
1136	0
1146	0
1156	0
1166	1
1176	3
1186	3
1196	4
1206	2
1216	2
1226	0
1236	0
1246	0
1256	0
1266	1
1276	2
1286	2
1296	5
1306	0
1316	0
1326	3
1336	0
1346	2
1356	0
1366	4
1376	6
1386	4
1396	2
1406	3
1416	2
1426	0
1436	0
1446	0
1456	0
1466	0
1476	1
1486	5
1496	1
1506	1
1516	0
1526	0
1536	0
1546	0
1556	0
1566	0
1576	1
1586	3
1596	0
1606	0
1616	0
1626	0
1636	0
1646	0
1656	0
1666	4
1676	2
1686	1
1696	0
1706	0
1716	0
1726	0
1736	0
1746	0
1756	0
1766	0
1776	1
1786	4
1796	2
1806	1
1816	3
1826	3
1836	5
1846	4
1856	0
1866	0
1876	0
1886	0
1896	0
1906	0
1916	0
1926	0
1936	0
1946	0
1956	0
1966	0
1976	0
1986	2
1996	2
2006	2
2016	1
2026	2
2036	0
2046	0
2056	0
2066	0
2076	0
2086	0
2096	0
2106	0
2116	0
2126	0
2136	0
2146	0
2156	0
2166	0
2176	1
2186	2
2196	3
2206	0
2216	0
2226	0
2236	0
2246	0
2256	3
2266	1
2276	4
2286	6
2296	4
2306	3
2316	0
2326	0
2336	0
2346	0
2356	0
2366	1
2376	0
2386	0
2396	2
2406	3
2416	3
2426	0
2436	0
2446	0
2456	0
2466	0
2476	0
2486	0
2496	0
2506	0
2516	0
2526	0
2536	0
2546	3
2556	2
2566	0
2576	0
2586	3
2596	1
2606	0
2616	0
2626	1
2636	1
2646	1
2656	1
2666	1
2676	4
2686	3
2696	7
2706	1
2716	0
2726	0
2736	1
2746	2
2756	2
2766	0
2776	0
2786	0
2796	0
2806	0
2816	1
2826	1
2836	0
2846	1
2856	1
2866	3
2876	0
2886	3
2896	2
2906	1
2916	0
2926	0
2936	0
2946	0
2956	0
2966	0
2976	0
2986	2
2996	3
3006	0
