x	y
4418.166666666667	1.0
4518.166666666667	0.0
4618.166666666667	0.0
4718.166666666667	0.0
4818.166666666667	0.0
4918.166666666667	0.0
5018.166666666667	0.0
5118.166666666667	0.0
5218.166666666667	0.0
5318.166666666667	0.0
5418.166666666667	0.0
5518.166666666667	0.0
5618.166666666667	0.0
5718.166666666667	0.0
5818.166666666667	0.0
5918.166666666667	0.0
6018.166666666667	0.0
6118.166666666667	0.0
6218.166666666667	0.0
6318.166666666667	0.0
6418.166666666667	0.0
6518.166666666667	0.0
6618.166666666667	0.0
6718.166666666667	0.0
6818.166666666667	0.0
6918.166666666667	0.0
7018.166666666667	0.0
7118.166666666667	0.0
7218.166666666667	0.0
7318.166666666667	0.0
7418.166666666667	0.0
7518.166666666667	0.0
7618.166666666667	0.0
7718.166666666667	0.0
7818.166666666667	0.0
7918.166666666667	0.0
8018.166666666667	0.0
8118.166666666667	0.0
8218.166666666668	0.0
8318.166666666668	0.0
8418.166666666668	1.0
8518.166666666668	0.0
8618.166666666668	0.0
8718.166666666668	0.0
8818.166666666668	0.0
8918.166666666668	0.0
9018.166666666668	0.0
9118.166666666668	0.0
9218.166666666668	0.0
9318.166666666668	0.0
9418.166666666668	2.0
9518.166666666668	2.0
9618.166666666668	1.0
9718.166666666668	0.0
9818.166666666668	2.0
9918.166666666668	3.0
10018.166666666668	4.0
10118.166666666668	2.0
10218.166666666668	5.0
10318.166666666668	2.0
10418.166666666668	6.0
10518.166666666668	7.0
10618.166666666668	10.0
10718.166666666668	8.0
10818.166666666668	12.0
10918.166666666668	13.0
11018.166666666668	16.0
11118.166666666668	12.0
11218.166666666668	18.0
11318.166666666668	19.0
11418.166666666668	17.0
11518.166666666668	20.0
11618.166666666668	25.0
11718.166666666668	19.0
11818.166666666668	37.0
11918.166666666668	35.0
12018.166666666668	26.0
12118.166666666668	34.0
12218.166666666668	27.0
12318.166666666668	36.0
12418.166666666668	26.0
12518.166666666668	26.0
12618.166666666668	34.0
12718.166666666668	37.0
12818.166666666668	27.0
12918.166666666668	34.0
13018.166666666668	45.0
13118.166666666668	34.0
13218.166666666668	30.0
13318.166666666668	35.0
13418.166666666668	30.0
13518.166666666668	30.0
13618.166666666668	30.0
13718.166666666668	34.0
13818.166666666668	31.0
13918.166666666668	30.0
14018.166666666668	26.0
14118.166666666668	27.0
14218.166666666668	27.0
14318.166666666668	25.0
14418.166666666668	27.0
14518.166666666668	21.0
14618.166666666668	22.0
14718.166666666668	22.0
14818.166666666668	19.0
14918.166666666668	25.0
15018.166666666668	19.0
15118.166666666668	25.0
15218.166666666668	17.0
15318.166666666668	20.0
15418.166666666668	11.0
15518.166666666668	18.0
15618.166666666668	10.0
15718.166666666668	17.0
15818.166666666668	19.0
15918.166666666668	17.0
16018.166666666668	8.0
16118.166666666668	14.0
16218.166666666668	18.0
16318.166666666668	16.0
16418.166666666668	14.0
16518.166666666668	14.0
16618.166666666668	14.0
16718.166666666668	12.0
16818.166666666668	16.0
16918.166666666668	17.0
17018.166666666668	9.0
17118.166666666668	16.0
17218.166666666668	8.0
17318.166666666668	13.0
17418.166666666668	8.0
17518.166666666668	10.0
17618.166666666668	12.0
17718.166666666668	15.0
17818.166666666668	9.0
17918.166666666668	8.0
18018.166666666668	13.0
18118.166666666668	7.0
18218.166666666668	8.0
18318.166666666668	10.0
18418.166666666668	5.0
18518.166666666668	8.0
18618.166666666668	12.0
18718.166666666668	10.0
18818.166666666668	5.0
18918.166666666668	4.0
19018.166666666668	7.0
19118.166666666668	2.0
19218.166666666668	5.0
19318.166666666668	3.0
19418.166666666668	14.0
19518.166666666668	8.0
19618.166666666668	8.0
19718.166666666668	5.0
19818.166666666668	4.0
19918.166666666668	7.0
20018.166666666668	9.0
20118.166666666668	6.0
20218.166666666668	7.0
20318.166666666668	3.0
20418.166666666668	5.0
20518.166666666668	3.0
20618.166666666668	2.0
20718.166666666668	8.0
20818.166666666668	8.0
20918.166666666668	8.0
21018.166666666668	2.0
21118.166666666668	5.0
21218.166666666668	7.0
21318.166666666668	6.0
21418.166666666668	6.0
21518.166666666668	3.0
21618.166666666668	2.0
21718.166666666668	3.0
21818.166666666668	7.0
21918.166666666668	1.0
22018.166666666668	5.0
22118.166666666668	7.0
22218.166666666668	6.0
22318.166666666668	5.0
22418.166666666668	3.0
22518.166666666668	2.0
22618.166666666668	4.0
22718.166666666668	3.0
22818.166666666668	1.0
22918.166666666668	2.0
23018.166666666668	2.0
23118.166666666668	3.0
23218.166666666668	4.0
23318.166666666668	5.0
23418.166666666668	1.0
23518.166666666668	4.0
23618.166666666668	3.0
23718.166666666668	3.0
23818.166666666668	2.0
23918.166666666668	1.0
24018.166666666668	4.0
24118.166666666668	2.0
24218.166666666668	2.0
24318.166666666668	1.0
24418.166666666668	1.0
24518.166666666668	2.0
24618.166666666668	2.0
24718.166666666668	2.0
24818.166666666668	1.0
24918.166666666668	1.0
25018.166666666668	6.0
25118.166666666668	2.0
25218.166666666668	4.0
25318.166666666668	0.0
25418.166666666668	1.0
25518.166666666668	2.0
25618.166666666668	2.0
25718.166666666668	1.0
25818.166666666668	3.0
25918.166666666668	2.0
26018.166666666668	0.0
26118.166666666668	2.0
26218.166666666668	1.0
26318.166666666668	3.0
26418.166666666668	0.0
26518.166666666668	3.0
26618.166666666668	0.0
26718.166666666668	2.0
26818.166666666668	1.0
26918.166666666668	1.0
27018.166666666668	3.0
27118.166666666668	0.0
27218.166666666668	2.0
27318.166666666668	1.0
27418.166666666668	1.0
27518.166666666668	1.0
27618.166666666668	2.0
27718.166666666668	4.0
27818.166666666668	0.0
27918.166666666668	1.0
28018.166666666668	2.0
28118.166666666668	2.0
28218.166666666668	0.0
28318.166666666668	1.0
28418.166666666668	3.0
28518.166666666668	3.0
28618.166666666668	2.0
28718.166666666668	0.0
28818.166666666668	0.0
28918.166666666668	0.0
29018.166666666668	2.0
29118.166666666668	0.0
29218.166666666668	2.0
29318.166666666668	1.0
29418.166666666668	0.0
29518.166666666668	2.0
29618.166666666668	0.0
29718.166666666668	1.0
29818.166666666668	2.0
29918.166666666668	1.0
30018.166666666668	1.0
30118.166666666668	0.0
30218.166666666668	0.0
30318.166666666668	0.0
30418.166666666668	0.0
30518.166666666668	1.0
30618.166666666668	1.0
30718.166666666668	0.0
30818.166666666668	0.0
30918.166666666668	2.0
31018.166666666668	0.0
31118.166666666668	2.0
31218.166666666668	0.0
31318.166666666668	0.0
31418.166666666668	1.0
31518.166666666668	1.0
31618.166666666668	1.0
31718.166666666668	1.0
31818.166666666668	0.0
31918.166666666668	0.0
32018.166666666668	0.0
32118.166666666668	0.0
32218.166666666668	1.0
32318.166666666668	1.0
32418.166666666668	1.0
32518.166666666668	2.0
32618.166666666668	1.0
32718.166666666668	0.0
32818.166666666664	0.0
32918.166666666664	1.0
33018.166666666664	2.0
33118.166666666664	0.0
33218.166666666664	0.0
33318.166666666664	0.0
33418.166666666664	0.0
33518.166666666664	0.0
33618.166666666664	0.0
33718.166666666664	1.0
33818.166666666664	2.0
33918.166666666664	1.0
34018.166666666664	0.0
34118.166666666664	1.0
34218.166666666664	0.0
34318.166666666664	1.0
34418.166666666664	0.0
34518.166666666664	0.0
34618.166666666664	0.0
34718.166666666664	0.0
34818.166666666664	0.0
34918.166666666664	0.0
35018.166666666664	1.0
35118.166666666664	1.0
35218.166666666664	1.0
35318.166666666664	1.0
35418.166666666664	0.0
35518.166666666664	1.0
35618.166666666664	0.0
35718.166666666664	0.0
35818.166666666664	0.0
35918.166666666664	1.0
36018.166666666664	1.0
36118.166666666664	0.0
36218.166666666664	1.0
36318.166666666664	3.0
36418.166666666664	0.0
36518.166666666664	0.0
36618.166666666664	0.0
36718.166666666664	0.0
36818.166666666664	2.0
36918.166666666664	2.0
37018.166666666664	0.0
37118.166666666664	0.0
37218.166666666664	1.0
37318.166666666664	1.0
37418.166666666664	1.0
37518.166666666664	1.0
37618.166666666664	0.0
37718.166666666664	0.0
37818.166666666664	0.0
37918.166666666664	0.0
38018.166666666664	0.0
38118.166666666664	1.0
38218.166666666664	1.0
38318.166666666664	0.0
38418.166666666664	0.0
38518.166666666664	0.0
38618.166666666664	1.0
38718.166666666664	0.0
38818.166666666664	0.0
38918.166666666664	0.0
39018.166666666664	0.0
39118.166666666664	0.0
39218.166666666664	0.0
39318.166666666664	0.0
39418.166666666664	0.0
39518.166666666664	1.0
39618.166666666664	1.0
39718.166666666664	0.0
39818.166666666664	0.0
39918.166666666664	0.0
40018.166666666664	0.0
40118.166666666664	0.0
40218.166666666664	0.0
40318.166666666664	0.0
40418.166666666664	1.0
40518.166666666664	0.0
40618.166666666664	0.0
40718.166666666664	0.0
40818.166666666664	0.0
40918.166666666664	0.0
41018.166666666664	0.0
41118.166666666664	1.0
41218.166666666664	1.0
41318.166666666664	0.0
41418.166666666664	0.0
41518.166666666664	1.0
41618.166666666664	0.0
41718.166666666664	0.0
41818.166666666664	0.0
41918.166666666664	0.0
42018.166666666664	1.0
42118.166666666664	0.0
42218.166666666664	0.0
42318.166666666664	1.0
42418.166666666664	0.0
42518.166666666664	0.0
42618.166666666664	1.0
42718.166666666664	1.0
42818.166666666664	0.0
42918.166666666664	0.0
43018.166666666664	0.0
43118.166666666664	0.0
43218.166666666664	1.0
43318.166666666664	0.0
43418.166666666664	0.0
43518.166666666664	1.0
43618.166666666664	0.0
43718.166666666664	1.0
43818.166666666664	1.0
43918.166666666664	0.0
44018.166666666664	0.0
44118.166666666664	0.0
44218.166666666664	0.0
44318.166666666664	0.0
44418.166666666664	0.0
44518.166666666664	0.0
44618.166666666664	0.0
44718.166666666664	1.0
