x	y
1	93.77405
2	27.46
3	8.07065
4	2.92205
5	1.0001
6	0.6163
7	0.32235
8	0.22855
9	0.13535
10	0.042
11	0.0951
12	0.07815
13	0.0638
14	0.0886
15	0.1312
16	0.13695
17	0.13365
18	0.1536
19	0.10755
20	0.08105
21	0.05845
22	0.0597
23	0.10095
24	0.0611
25	0.18525
26	0.1202
27	0.1117
28	0.11385
29	0.18375
30	0.13705
31	0.0532
32	0.0754
33	0.0587
34	0.16865
35	0.14745
36	0.17935
37	0.09565
38	0.098
39	0.0942
40	0.1984
41	0.1036
42	0.1119
43	0.09855
44	0.0851
45	0.04945
46	0.11095
47	0.07835
48	0.1289
49	0.08575
50	0.09695
51	0.1455
52	0.05475
53	0.00965
54	0.07415
55	0.0652
56	0.03335
57	0.0143
58	0.0192
59	0.00925
60	0.0
61	0.0054
62	0.0047
63	0.01115
64	0.00045
65	0.00685
66	0.0
