x	y
1977715.0	1
1977815.0	1
1977915.0	0
1978015.0	0
1978115.0	0
1978215.0	0
1978315.0	0
1978415.0	0
1978515.0	0
1978615.0	0
1978715.0	0
1978815.0	0
1978915.0	0
1979015.0	1
1979115.0	0
1979215.0	0
1979315.0	0
1979415.0	0
1979515.0	0
1979615.0	0
1979715.0	0
1979815.0	0
1979915.0	0
1980015.0	0
1980115.0	0
1980215.0	0
1980315.0	0
1980415.0	0
1980515.0	0
1980615.0	1
1980715.0	1
1980815.0	0
1980915.0	0
1981015.0	0
1981115.0	0
1981215.0	0
1981315.0	1
1981415.0	0
1981515.0	0
1981615.0	0
1981715.0	0
1981815.0	1
1981915.0	0
1982015.0	0
1982115.0	0
1982215.0	0
1982315.0	0
1982415.0	0
1982515.0	0
1982615.0	0
1982715.0	0
1982815.0	0
1982915.0	0
1983015.0	0
1983115.0	0
1983215.0	1
1983315.0	1
1983415.0	1
1983515.0	0
1983615.0	0
1983715.0	0
1983815.0	0
1983915.0	1
1984015.0	1
1984115.0	1
1984215.0	0
1984315.0	1
1984415.0	1
1984515.0	1
1984615.0	2
1984715.0	0
1984815.0	0
1984915.0	2
1985015.0	2
1985115.0	0
1985215.0	1
1985315.0	1
1985415.0	1
1985515.0	2
1985615.0	0
1985715.0	0
1985815.0	0
1985915.0	0
1986015.0	1
1986115.0	3
1986215.0	1
1986315.0	0
1986415.0	1
1986515.0	1
1986615.0	2
1986715.0	1
1986815.0	0
1986915.0	2
1987015.0	0
1987115.0	2
1987215.0	0
1987315.0	0
1987415.0	0
1987515.0	1
1987615.0	2
1987715.0	1
1987815.0	2
1987915.0	4
1988015.0	2
1988115.0	2
1988215.0	0
1988315.0	3
1988415.0	2
1988515.0	2
1988615.0	2
1988715.0	0
1988815.0	3
1988915.0	4
1989015.0	5
1989115.0	1
1989215.0	2
1989315.0	6
1989415.0	3
1989515.0	4
1989615.0	0
1989715.0	3
1989815.0	4
1989915.0	1
1990015.0	2
1990115.0	3
1990215.0	3
1990315.0	2
1990415.0	1
1990515.0	1
1990615.0	3
1990715.0	5
1990815.0	0
1990915.0	5
1991015.0	2
1991115.0	3
1991215.0	6
1991315.0	2
1991415.0	6
1991515.0	5
1991615.0	3
1991715.0	2
1991815.0	4
1991915.0	5
1992015.0	4
1992115.0	5
1992215.0	3
1992315.0	0
1992415.0	5
1992515.0	3
1992615.0	4
1992715.0	5
1992815.0	3
1992915.0	1
1993015.0	2
1993115.0	9
1993215.0	3
1993315.0	6
1993415.0	3
1993515.0	6
1993615.0	2
1993715.0	8
1993815.0	9
1993915.0	4
1994015.0	6
1994115.0	7
1994215.0	5
1994315.0	6
1994415.0	6
1994515.0	8
1994615.0	9
1994715.0	5
1994815.0	6
1994915.0	10
1995015.0	8
1995115.0	4
1995215.0	7
1995315.0	10
1995415.0	10
1995515.0	7
1995615.0	10
1995715.0	7
1995815.0	15
1995915.0	12
1996015.0	8
1996115.0	13
1996215.0	6
1996315.0	10
1996415.0	10
1996515.0	13
1996615.0	10
1996715.0	9
1996815.0	15
1996915.0	9
1997015.0	11
1997115.0	8
1997215.0	14
1997315.0	14
1997415.0	10
1997515.0	10
1997615.0	11
1997715.0	11
1997815.0	15
1997915.0	15
1998015.0	17
1998115.0	21
1998215.0	12
1998315.0	16
1998415.0	20
1998515.0	17
1998615.0	15
1998715.0	19
1998815.0	22
1998915.0	25
1999015.0	24
1999115.0	28
1999215.0	16
1999315.0	22
1999415.0	15
1999515.0	26
1999615.0	23
1999715.0	31
1999815.0	24
1999915.0	22
2000015.0	0
