x	y
1994598.0	1
1994698.0	0
1994798.0	0
1994898.0	1
1994998.0	0
1995098.0	1
1995198.0	1
1995298.0	0
1995398.0	3
1995498.0	1
1995598.0	0
1995698.0	1
1995798.0	0
1995898.0	0
1995998.0	1
1996098.0	0
1996198.0	0
1996298.0	1
1996398.0	0
1996498.0	2
1996598.0	1
1996698.0	0
1996798.0	0
1996898.0	4
1996998.0	0
1997098.0	3
1997198.0	2
1997298.0	3
1997398.0	1
1997498.0	1
1997598.0	2
1997698.0	1
1997798.0	3
1997898.0	3
1997998.0	5
1998098.0	4
1998198.0	5
1998298.0	1
1998398.0	5
1998498.0	4
1998598.0	7
1998698.0	11
1998798.0	5
1998898.0	7
1998998.0	12
1999098.0	9
1999198.0	5
1999298.0	12
1999398.0	13
1999498.0	11
1999598.0	16
1999698.0	11
1999798.0	25
1999898.0	29
1999998.0	0
