x	y
1993220.0	1
1993320.0	0
1993420.0	0
1993520.0	0
1993620.0	0
1993720.0	0
1993820.0	0
1993920.0	0
1994020.0	0
1994120.0	0
1994220.0	0
1994320.0	1
1994420.0	0
1994520.0	0
1994620.0	0
1994720.0	0
1994820.0	1
1994920.0	0
1995020.0	0
1995120.0	1
1995220.0	0
1995320.0	0
1995420.0	0
1995520.0	1
1995620.0	0
1995720.0	0
1995820.0	1
1995920.0	1
1996020.0	0
1996120.0	0
1996220.0	1
1996320.0	0
1996420.0	0
1996520.0	1
1996620.0	1
1996720.0	1
1996820.0	2
1996920.0	1
1997020.0	0
1997120.0	2
1997220.0	2
1997320.0	2
1997420.0	0
1997520.0	1
1997620.0	3
1997720.0	0
1997820.0	3
1997920.0	3
1998020.0	3
1998120.0	6
1998220.0	0
1998320.0	4
1998420.0	5
1998520.0	7
1998620.0	9
1998720.0	5
1998820.0	6
1998920.0	11
1999020.0	10
1999120.0	9
1999220.0	8
1999320.0	8
1999420.0	16
1999520.0	12
1999620.0	21
1999720.0	15
1999820.0	26
1999920.0	15
2000020.0	0
