x	y
10837.2	1.0
10937.2	0.0
11037.2	0.0
11137.2	0.0
11237.2	0.0
11337.2	0.0
11437.2	0.0
11537.2	0.0
11637.2	0.0
11737.2	0.0
11837.2	0.0
11937.2	0.0
12037.2	0.0
12137.2	0.0
12237.2	0.0
12337.2	0.0
12437.2	0.0
12537.2	0.0
12637.2	0.0
12737.2	0.0
12837.2	0.0
12937.2	0.0
13037.2	0.0
13137.2	0.0
13237.2	0.0
13337.2	0.0
13437.2	1.0
13537.2	1.0
13637.2	0.0
13737.2	0.0
13837.2	0.0
13937.2	0.0
14037.2	0.0
14137.2	0.0
14237.2	0.0
14337.2	0.0
14437.2	0.0
14537.2	0.0
14637.2	0.0
14737.2	0.0
14837.2	0.0
14937.2	0.0
15037.2	0.0
15137.2	0.0
15237.2	0.0
15337.2	0.0
15437.2	0.0
15537.2	0.0
15637.2	0.0
15737.2	0.0
15837.2	1.0
15937.2	0.0
16037.2	0.0
16137.2	0.0
16237.2	0.0
16337.2	0.0
16437.2	0.0
16537.2	0.0
16637.2	1.0
16737.2	0.0
16837.2	0.0
16937.2	0.0
17037.2	0.0
17137.2	0.0
17237.2	0.0
17337.2	0.0
17437.2	0.0
17537.2	0.0
17637.2	0.0
17737.2	0.0
17837.2	0.0
17937.2	0.0
18037.2	0.0
18137.2	0.0
18237.2	0.0
18337.2	0.0
18437.2	0.0
18537.2	0.0
18637.2	0.0
18737.2	0.0
18837.2	1.0
18937.2	1.0
19037.2	0.0
19137.2	0.0
19237.2	0.0
19337.2	0.0
19437.2	0.0
19537.2	1.0
19637.2	0.0
19737.2	0.0
19837.2	1.0
19937.2	0.0
20037.2	0.0
20137.2	0.0
20237.2	0.0
20337.2	0.0
20437.2	0.0
20537.2	0.0
20637.2	0.0
20737.2	1.0
20837.2	1.0
20937.2	1.0
21037.2	1.0
21137.2	1.0
21237.2	1.0
21337.2	0.0
21437.2	0.0
21537.2	3.0
21637.2	0.0
21737.2	0.0
21837.2	2.0
21937.2	1.0
22037.2	0.0
22137.2	0.0
22237.2	3.0
22337.2	2.0
22437.2	3.0
22537.2	0.0
22637.2	3.0
22737.2	3.0
22837.2	2.0
22937.2	0.0
23037.2	1.0
23137.2	0.0
23237.2	1.0
23337.2	0.0
23437.2	0.0
23537.2	1.0
23637.2	2.0
23737.2	1.0
23837.2	0.0
23937.2	0.0
24037.2	0.0
24137.2	2.0
24237.2	1.0
24337.2	1.0
24437.2	1.0
24537.2	2.0
24637.2	0.0
24737.2	2.0
24837.2	2.0
24937.2	1.0
25037.2	2.0
25137.2	0.0
25237.2	1.0
25337.2	1.0
25437.2	2.0
25537.2	2.0
25637.2	1.0
25737.2	2.0
25837.2	3.0
25937.2	2.0
26037.2	3.0
26137.2	0.0
26237.2	1.0
26337.2	1.0
26437.2	1.0
26537.2	2.0
26637.2	3.0
26737.2	2.0
26837.2	1.0
26937.2	4.0
27037.2	2.0
27137.2	1.0
27237.2	3.0
27337.2	1.0
27437.2	2.0
27537.2	1.0
27637.2	1.0
27737.2	1.0
27837.2	2.0
27937.2	1.0
28037.2	3.0
28137.2	4.0
28237.2	2.0
28337.2	2.0
28437.2	0.0
28537.2	5.0
28637.2	3.0
28737.2	0.0
28837.2	0.0
28937.2	3.0
29037.2	3.0
29137.2	1.0
29237.2	2.0
29337.2	2.0
29437.2	1.0
29537.2	2.0
29637.2	1.0
29737.2	5.0
29837.2	4.0
29937.2	3.0
30037.2	1.0
30137.2	0.0
30237.2	2.0
30337.2	1.0
30437.2	1.0
30537.2	4.0
30637.2	4.0
30737.2	2.0
30837.2	4.0
30937.2	0.0
31037.2	1.0
31137.2	2.0
31237.2	1.0
31337.2	1.0
31437.2	3.0
31537.2	3.0
31637.2	2.0
31737.2	1.0
31837.2	1.0
31937.2	2.0
32037.2	2.0
32137.2	2.0
32237.2	0.0
32337.2	0.0
32437.2	2.0
32537.2	1.0
32637.2	2.0
32737.2	3.0
32837.2	2.0
32937.2	4.0
33037.2	3.0
33137.2	2.0
33237.2	2.0
33337.2	1.0
33437.2	2.0
33537.2	4.0
33637.2	3.0
33737.2	2.0
33837.2	3.0
33937.2	4.0
34037.2	5.0
34137.2	3.0
34237.2	2.0
34337.2	0.0
34437.2	5.0
34537.2	3.0
34637.2	2.0
34737.2	1.0
34837.2	2.0
34937.2	1.0
35037.2	1.0
35137.2	0.0
35237.2	1.0
35337.2	0.0
35437.2	2.0
35537.2	2.0
35637.2	1.0
35737.2	0.0
35837.2	1.0
35937.2	2.0
36037.2	1.0
36137.2	1.0
36237.2	4.0
36337.2	1.0
36437.2	2.0
36537.2	1.0
36637.2	3.0
36737.2	2.0
36837.2	2.0
36937.2	1.0
37037.2	3.0
37137.2	1.0
37237.2	2.0
37337.2	1.0
37437.2	1.0
37537.2	1.0
37637.2	1.0
37737.2	0.0
37837.2	3.0
37937.2	1.0
38037.2	2.0
38137.2	1.0
38237.2	1.0
38337.2	0.0
38437.2	2.0
38537.2	1.0
38637.2	2.0
38737.2	4.0
38837.2	1.0
38937.2	1.0
39037.2	1.0
39137.2	1.0
39237.2	3.0
39337.2	3.0
39437.2	1.0
39537.2	2.0
39637.2	1.0
39737.2	1.0
39837.2	0.0
39937.2	1.0
40037.2	0.0
40137.2	3.0
40237.2	2.0
40337.2	1.0
40437.2	5.0
40537.2	0.0
40637.2	2.0
40737.2	3.0
40837.2	0.0
40937.2	2.0
41037.2	2.0
41137.2	2.0
41237.2	2.0
41337.2	2.0
41437.2	0.0
41537.2	0.0
41637.2	2.0
41737.2	2.0
41837.2	2.0
41937.2	1.0
42037.2	5.0
42137.2	0.0
42237.2	4.0
42337.2	2.0
42437.2	2.0
42537.2	1.0
42637.2	0.0
42737.2	1.0
42837.2	1.0
42937.2	0.0
43037.2	1.0
43137.2	3.0
43237.2	1.0
43337.2	1.0
43437.2	2.0
43537.2	4.0
43637.2	2.0
43737.2	0.0
43837.2	2.0
43937.2	2.0
44037.2	1.0
44137.2	1.0
44237.2	2.0
44337.2	0.0
44437.2	2.0
44537.2	0.0
44637.2	2.0
44737.2	0.0
44837.2	0.0
44937.2	1.0
45037.2	0.0
45137.2	5.0
45237.2	0.0
45337.2	2.0
45437.2	0.0
45537.2	2.0
45637.2	1.0
45737.2	2.0
45837.2	1.0
45937.2	3.0
46037.2	0.0
46137.2	4.0
46237.2	2.0
46337.2	4.0
46437.2	1.0
46537.2	4.0
46637.2	0.0
46737.2	3.0
46837.2	0.0
46937.2	1.0
47037.2	1.0
47137.2	0.0
47237.2	0.0
47337.2	2.0
47437.2	1.0
47537.2	0.0
47637.2	1.0
47737.2	1.0
47837.2	0.0
47937.2	1.0
48037.2	2.0
48137.2	0.0
48237.2	1.0
48337.2	1.0
48437.2	0.0
48537.2	4.0
48637.2	0.0
48737.2	2.0
48837.2	2.0
48937.2	0.0
49037.2	0.0
49137.2	1.0
49237.2	1.0
49337.2	2.0
49437.2	1.0
49537.2	1.0
49637.2	1.0
49737.2	2.0
49837.2	2.0
49937.2	0.0
50037.2	0.0
50137.2	0.0
50237.2	1.0
50337.2	0.0
50437.2	0.0
50537.2	0.0
50637.2	1.0
50737.2	0.0
50837.2	1.0
50937.2	0.0
51037.2	0.0
51137.2	2.0
51237.2	0.0
51337.2	2.0
51437.2	0.0
51537.2	0.0
51637.2	1.0
51737.2	0.0
51837.2	0.0
51937.2	0.0
52037.2	4.0
52137.2	0.0
52237.2	0.0
52337.2	0.0
52437.2	0.0
52537.2	1.0
52637.2	0.0
52737.2	3.0
52837.2	2.0
52937.2	1.0
53037.2	0.0
53137.2	0.0
53237.2	1.0
53337.2	0.0
53437.2	0.0
53537.2	1.0
53637.2	2.0
53737.2	0.0
53837.2	0.0
53937.2	2.0
54037.2	1.0
54137.2	1.0
54237.2	2.0
54337.2	0.0
54437.2	1.0
54537.2	0.0
54637.2	0.0
54737.2	1.0
54837.2	0.0
54937.2	0.0
55037.2	1.0
55137.2	0.0
55237.2	0.0
55337.2	0.0
55437.2	1.0
55537.2	1.0
55637.2	2.0
55737.2	0.0
55837.2	1.0
55937.2	0.0
56037.2	0.0
56137.2	0.0
56237.2	0.0
56337.2	2.0
56437.2	0.0
56537.2	0.0
56637.2	0.0
56737.2	0.0
56837.2	2.0
56937.2	0.0
57037.2	0.0
57137.2	0.0
57237.2	2.0
57337.2	0.0
57437.2	2.0
57537.2	0.0
57637.2	0.0
57737.2	0.0
57837.2	0.0
57937.2	1.0
58037.2	0.0
58137.2	0.0
58237.2	0.0
58337.2	0.0
58437.2	0.0
58537.2	1.0
58637.2	0.0
58737.2	1.0
58837.2	0.0
58937.2	2.0
59037.2	1.0
59137.2	0.0
59237.2	0.0
59337.2	1.0
59437.2	0.0
59537.2	0.0
59637.2	0.0
59737.2	0.0
59837.2	0.0
59937.2	0.0
60037.2	0.0
60137.2	0.0
60237.2	0.0
60337.2	0.0
60437.2	0.0
60537.2	0.0
60637.2	0.0
60737.2	0.0
60837.2	0.0
60937.2	0.0
61037.2	1.0
61137.2	1.0
61237.2	1.0
61337.2	1.0
61437.2	0.0
61537.2	0.0
61637.2	0.0
61737.2	0.0
61837.2	0.0
61937.2	0.0
62037.2	0.0
62137.2	0.0
62237.2	0.0
62337.2	0.0
62437.2	0.0
62537.2	0.0
62637.2	0.0
62737.2	0.0
62837.2	0.0
62937.2	0.0
63037.2	0.0
63137.2	1.0
63237.2	0.0
63337.2	0.0
63437.2	1.0
63537.2	0.0
63637.2	0.0
63737.2	0.0
63837.2	0.0
63937.2	0.0
64037.2	0.0
64137.2	0.0
64237.2	0.0
64337.2	0.0
64437.2	0.0
64537.2	0.0
64637.2	0.0
64737.2	1.0
64837.2	1.0
64937.2	0.0
65037.2	1.0
65137.2	1.0
65237.2	2.0
65337.2	0.0
65437.2	1.0
65537.2	1.0
65637.2	0.0
65737.2	0.0
65837.2	0.0
65937.2	0.0
66037.2	0.0
66137.2	0.0
66237.2	0.0
66337.2	0.0
66437.2	0.0
66537.2	0.0
66637.2	0.0
66737.2	0.0
66837.2	0.0
66937.2	0.0
67037.2	1.0
67137.2	0.0
67237.2	0.0
67337.2	0.0
67437.2	1.0
67537.2	1.0
67637.2	0.0
67737.2	0.0
67837.2	0.0
67937.2	0.0
68037.2	0.0
68137.2	1.0
68237.2	0.0
68337.2	0.0
68437.2	0.0
68537.2	0.0
68637.2	1.0
68737.2	1.0
68837.2	0.0
68937.2	1.0
69037.2	0.0
69137.2	0.0
69237.2	0.0
69337.2	0.0
69437.2	0.0
69537.2	2.0
69637.2	0.0
69737.2	0.0
69837.2	0.0
69937.2	0.0
70037.2	1.0
70137.2	1.0
70237.2	0.0
70337.2	1.0
70437.2	1.0
70537.2	0.0
70637.2	0.0
70737.2	0.0
70837.2	0.0
70937.2	0.0
71037.2	0.0
71137.2	0.0
71237.2	0.0
71337.2	0.0
71437.2	0.0
71537.2	0.0
71637.2	0.0
71737.2	0.0
71837.2	0.0
71937.2	0.0
72037.2	0.0
72137.2	1.0
72237.2	0.0
72337.2	0.0
72437.2	0.0
72537.2	0.0
72637.2	0.0
72737.2	0.0
72837.2	1.0
72937.2	0.0
73037.2	0.0
73137.2	0.0
73237.2	0.0
73337.2	1.0
73437.2	0.0
73537.2	0.0
73637.2	0.0
73737.2	0.0
73837.2	0.0
73937.2	0.0
74037.2	0.0
74137.2	0.0
74237.2	0.0
74337.2	0.0
74437.2	1.0
74537.2	0.0
74637.2	0.0
74737.2	0.0
74837.2	0.0
74937.2	0.0
75037.2	1.0
75137.2	0.0
75237.2	0.0
75337.2	0.0
75437.2	0.0
75537.2	0.0
75637.2	0.0
75737.2	1.0
75837.2	0.0
75937.2	0.0
76037.2	1.0
76137.2	0.0
76237.2	1.0
76337.2	0.0
76437.2	1.0
76537.2	1.0
76637.2	0.0
76737.2	0.0
76837.2	0.0
76937.2	0.0
77037.2	0.0
77137.2	0.0
77237.2	0.0
77337.2	0.0
77437.2	0.0
77537.2	0.0
77637.2	0.0
77737.2	0.0
77837.2	0.0
77937.2	0.0
78037.2	0.0
78137.2	1.0
78237.2	0.0
78337.2	0.0
78437.2	0.0
78537.2	1.0
78637.2	0.0
78737.2	0.0
78837.2	0.0
78937.2	0.0
79037.2	0.0
79137.2	0.0
79237.2	0.0
79337.2	0.0
79437.2	1.0
79537.2	0.0
79637.2	1.0
79737.2	0.0
79837.2	0.0
79937.2	0.0
80037.2	0.0
80137.2	0.0
80237.2	0.0
80337.2	0.0
80437.2	0.0
80537.2	0.0
80637.2	1.0
80737.2	0.0
80837.2	0.0
80937.2	0.0
81037.2	0.0
81137.2	0.0
81237.2	0.0
81337.2	0.0
81437.2	0.0
81537.2	1.0
81637.2	0.0
81737.2	0.0
81837.2	1.0
81937.2	0.0
82037.2	0.0
82137.2	1.0
82237.2	0.0
82337.2	0.0
82437.2	0.0
82537.2	0.0
82637.2	0.0
82737.2	0.0
82837.2	0.0
82937.2	0.0
83037.2	0.0
83137.2	0.0
83237.2	0.0
83337.2	0.0
83437.2	0.0
83537.2	0.0
83637.2	1.0
83737.2	0.0
83837.2	0.0
