x	y
20685.354430379746	1.0
20785.354430379746	0.0
20885.354430379746	0.0
20985.354430379746	0.0
21085.354430379746	1.0
21185.354430379746	0.0
21285.354430379746	1.0
21385.354430379746	0.0
21485.354430379746	0.0
21585.354430379746	0.0
21685.354430379746	2.0
21785.354430379746	1.0
21885.354430379746	1.0
21985.354430379746	0.0
22085.354430379746	0.0
22185.354430379746	0.0
22285.354430379746	1.0
22385.354430379746	0.0
22485.354430379746	1.0
22585.354430379746	3.0
22685.354430379746	0.0
22785.354430379746	2.0
22885.354430379746	0.0
22985.354430379746	5.0
23085.354430379746	1.0
23185.354430379746	3.0
23285.354430379746	3.0
23385.354430379746	1.0
23485.354430379746	2.0
23585.354430379746	2.0
23685.354430379746	2.0
23785.354430379746	4.0
23885.354430379746	5.0
23985.354430379746	1.0
24085.354430379746	2.0
24185.354430379746	3.0
24285.354430379746	7.0
24385.354430379746	2.0
24485.354430379746	3.0
24585.354430379746	8.0
24685.354430379746	5.0
24785.354430379746	6.0
24885.354430379746	6.0
24985.354430379746	2.0
25085.354430379746	4.0
25185.354430379746	6.0
25285.354430379746	7.0
25385.354430379746	6.0
25485.354430379746	7.0
25585.354430379746	4.0
25685.354430379746	5.0
25785.354430379746	6.0
25885.354430379746	10.0
25985.354430379746	12.0
26085.354430379746	12.0
26185.354430379746	13.0
26285.354430379746	5.0
26385.354430379746	8.0
26485.354430379746	9.0
26585.354430379746	17.0
26685.354430379746	8.0
26785.354430379746	13.0
26885.354430379746	16.0
26985.354430379746	20.0
27085.354430379746	18.0
27185.354430379746	12.0
27285.354430379746	17.0
27385.354430379746	9.0
27485.354430379746	18.0
27585.354430379746	11.0
27685.354430379746	14.0
27785.354430379746	15.0
27885.354430379746	22.0
27985.354430379746	14.0
28085.354430379746	16.0
28185.354430379746	16.0
28285.354430379746	20.0
28385.354430379746	28.0
28485.354430379746	23.0
28585.354430379746	17.0
28685.354430379746	21.0
28785.354430379746	18.0
28885.354430379746	17.0
28985.354430379746	23.0
29085.354430379746	15.0
29185.354430379746	10.0
29285.354430379746	15.0
29385.354430379746	20.0
29485.354430379746	21.0
29585.354430379746	20.0
29685.354430379746	17.0
29785.354430379746	26.0
29885.354430379746	17.0
29985.354430379746	20.0
30085.354430379746	19.0
30185.354430379746	23.0
30285.354430379746	24.0
30385.354430379746	29.0
30485.354430379746	22.0
30585.354430379746	26.0
30685.354430379746	22.0
30785.354430379746	11.0
30885.354430379746	22.0
30985.354430379746	22.0
31085.354430379746	9.0
31185.354430379746	15.0
31285.354430379746	17.0
31385.354430379746	18.0
31485.354430379746	14.0
31585.354430379746	23.0
31685.354430379746	23.0
31785.354430379746	19.0
31885.354430379746	23.0
31985.354430379746	20.0
32085.354430379746	17.0
32185.354430379746	14.0
32285.354430379746	15.0
32385.354430379746	12.0
32485.354430379746	20.0
32585.354430379746	21.0
32685.354430379746	23.0
32785.354430379746	21.0
32885.354430379746	20.0
