x	y
1971141.0	1
1971241.0	0
1971341.0	0
1971441.0	0
1971541.0	0
1971641.0	0
1971741.0	0
1971841.0	0
1971941.0	0
1972041.0	0
1972141.0	0
1972241.0	0
1972341.0	0
1972441.0	0
1972541.0	0
1972641.0	0
1972741.0	0
1972841.0	0
1972941.0	0
1973041.0	0
1973141.0	0
1973241.0	0
1973341.0	0
1973441.0	0
1973541.0	0
1973641.0	0
1973741.0	0
1973841.0	0
1973941.0	0
1974041.0	0
1974141.0	0
1974241.0	0
1974341.0	0
1974441.0	1
1974541.0	0
1974641.0	0
1974741.0	0
1974841.0	0
1974941.0	1
1975041.0	1
1975141.0	0
1975241.0	0
1975341.0	1
1975441.0	0
1975541.0	0
1975641.0	0
1975741.0	0
1975841.0	0
1975941.0	0
1976041.0	0
1976141.0	0
1976241.0	0
1976341.0	0
1976441.0	0
1976541.0	0
1976641.0	0
1976741.0	0
1976841.0	0
1976941.0	0
1977041.0	0
1977141.0	1
1977241.0	0
1977341.0	0
1977441.0	1
1977541.0	0
1977641.0	0
1977741.0	0
1977841.0	1
1977941.0	1
1978041.0	1
1978141.0	0
1978241.0	0
1978341.0	1
1978441.0	1
1978541.0	0
1978641.0	0
1978741.0	1
1978841.0	0
1978941.0	0
1979041.0	0
1979141.0	0
1979241.0	0
1979341.0	0
1979441.0	0
1979541.0	1
1979641.0	1
1979741.0	0
1979841.0	0
1979941.0	0
1980041.0	1
1980141.0	1
1980241.0	1
1980341.0	0
1980441.0	0
1980541.0	0
1980641.0	1
1980741.0	1
1980841.0	1
1980941.0	1
1981041.0	0
1981141.0	0
1981241.0	1
1981341.0	0
1981441.0	0
1981541.0	0
1981641.0	0
1981741.0	0
1981841.0	0
1981941.0	0
1982041.0	1
1982141.0	0
1982241.0	0
1982341.0	0
1982441.0	0
1982541.0	0
1982641.0	1
1982741.0	1
1982841.0	1
1982941.0	0
1983041.0	1
1983141.0	1
1983241.0	0
1983341.0	0
1983441.0	1
1983541.0	0
1983641.0	0
1983741.0	0
1983841.0	0
1983941.0	0
1984041.0	0
1984141.0	0
1984241.0	0
1984341.0	1
1984441.0	0
1984541.0	1
1984641.0	3
1984741.0	0
1984841.0	0
1984941.0	0
1985041.0	2
1985141.0	0
1985241.0	1
1985341.0	3
1985441.0	0
1985541.0	1
1985641.0	0
1985741.0	1
1985841.0	1
1985941.0	0
1986041.0	0
1986141.0	2
1986241.0	1
1986341.0	0
1986441.0	3
1986541.0	0
1986641.0	0
1986741.0	1
1986841.0	1
1986941.0	0
1987041.0	2
1987141.0	0
1987241.0	0
1987341.0	1
1987441.0	1
1987541.0	1
1987641.0	2
1987741.0	3
1987841.0	0
1987941.0	1
1988041.0	1
1988141.0	4
1988241.0	0
1988341.0	3
1988441.0	2
1988541.0	3
1988641.0	2
1988741.0	1
1988841.0	1
1988941.0	3
1989041.0	3
1989141.0	1
1989241.0	2
1989341.0	4
1989441.0	2
1989541.0	3
1989641.0	1
1989741.0	1
1989841.0	2
1989941.0	4
1990041.0	5
1990141.0	2
1990241.0	3
1990341.0	4
1990441.0	4
1990541.0	1
1990641.0	3
1990741.0	3
1990841.0	3
1990941.0	2
1991041.0	2
1991141.0	4
1991241.0	4
1991341.0	5
1991441.0	7
1991541.0	2
1991641.0	2
1991741.0	5
1991841.0	5
1991941.0	3
1992041.0	6
1992141.0	4
1992241.0	10
1992341.0	5
1992441.0	3
1992541.0	5
1992641.0	4
1992741.0	7
1992841.0	6
1992941.0	4
1993041.0	6
1993141.0	4
1993241.0	7
1993341.0	4
1993441.0	6
1993541.0	6
1993641.0	7
1993741.0	5
1993841.0	5
1993941.0	3
1994041.0	7
1994141.0	5
1994241.0	7
1994341.0	6
1994441.0	9
1994541.0	7
1994641.0	6
1994741.0	8
1994841.0	8
1994941.0	5
1995041.0	10
1995141.0	10
1995241.0	14
1995341.0	10
1995441.0	6
1995541.0	4
1995641.0	3
1995741.0	11
1995841.0	9
1995941.0	8
1996041.0	7
1996141.0	11
1996241.0	10
1996341.0	9
1996441.0	9
1996541.0	8
1996641.0	10
1996741.0	10
1996841.0	23
1996941.0	11
1997041.0	10
1997141.0	8
1997241.0	14
1997341.0	17
1997441.0	15
1997541.0	12
1997641.0	8
1997741.0	18
1997841.0	9
1997941.0	9
1998041.0	19
1998141.0	12
1998241.0	18
1998341.0	15
1998441.0	25
1998541.0	20
1998641.0	13
1998741.0	23
1998841.0	25
1998941.0	19
1999041.0	21
1999141.0	21
1999241.0	20
1999341.0	17
1999441.0	23
1999541.0	24
1999641.0	21
1999741.0	24
1999841.0	19
1999941.0	18
2000041.0	0
