x	y
7.0	35
107.0	25
207.0	31
307.0	19
407.0	19
507.0	16
607.0	15
707.0	19
807.0	12
907.0	15
1007.0	15
1107.0	13
1207.0	5
1307.0	6
1407.0	12
1507.0	8
1607.0	6
1707.0	5
1807.0	9
1907.0	4
2007.0	6
2107.0	5
2207.0	3
2307.0	3
2407.0	3
2507.0	1
2607.0	6
2707.0	4
2807.0	1
2907.0	2
3007.0	3
3107.0	1
3207.0	2
3307.0	2
3407.0	0
3507.0	3
3607.0	4
3707.0	2
3807.0	4
3907.0	1
4007.0	2
4107.0	2
4207.0	0
4307.0	1
4407.0	1
4507.0	2
4607.0	0
4707.0	5
4807.0	1
4907.0	1
5007.0	2
5107.0	1
5207.0	1
5307.0	3
5407.0	1
5507.0	0
5607.0	2
5707.0	1
5807.0	1
5907.0	2
6007.0	2
6107.0	0
6207.0	1
6307.0	3
6407.0	2
6507.0	2
6607.0	1
6707.0	2
6807.0	0
6907.0	3
7007.0	0
7107.0	1
7207.0	2
7307.0	0
7407.0	2
7507.0	0
7607.0	1
7707.0	2
7807.0	0
7907.0	4
8007.0	0
8107.0	0
8207.0	2
8307.0	1
8407.0	0
8507.0	2
8607.0	0
8707.0	2
8807.0	4
8907.0	3
9007.0	3
9107.0	1
9207.0	2
9307.0	1
9407.0	3
9507.0	0
9607.0	1
9707.0	0
9807.0	4
9907.0	3
10007.0	0
