x	y
1	94.29295
2	27.47705
3	8.1664
4	2.6034
5	0.9778
6	0.4919
7	0.1958
8	0.17065
9	0.1533
10	0.07895
11	0.098
12	0.1039
13	0.0758
14	0.052
15	0.0501
16	0.0729
17	0.07395
18	0.0257
19	0.03085
20	0.0586
21	0.10155
22	0.11775
23	0.07635
24	0.09285
25	0.05785
26	0.0491
27	0.0752
28	0.0365
29	0.03885
30	0.06185
31	0.1074
32	0.0727
33	0.0135
34	0.01535
35	0.04115
36	0.1153
37	0.0635
38	0.0453
39	0.051
40	0.0161
41	0.0085
42	0.05635
43	0.0035
44	0.0036
45	0.01335
46	0.04425
47	0.0012
48	0.01755
49	0.01275
50	0.00165
51	0.01005
52	0.00165
53	0.02075
54	0.03325
55	0.01845
56	0.0247
57	0.04065
58	0.03915
59	0.02075
60	0.039
61	0.10275
62	0.02585
63	0.05975
64	0.0444
65	0.0983
66	0.04795
67	0.08985
68	0.03175
69	0.11485
70	0.0249
71	0.12125
72	0.0325
73	0.0682
74	0.02615
75	0.0211
76	0.033
77	0.03825
78	0.0689
79	0.0448
80	0.01755
81	0.01245
82	0.0569
83	0.0074
84	0.0244
85	0.03495
86	0.0158
87	0.0128
88	0.0
