x	y
1	116.23875
2	52.30385
3	25.47975
4	12.30755
5	5.2442
6	3.40425
7	1.71385
8	1.45785
9	0.8222
10	0.34255
11	0.4633
12	0.573
13	0.30815
14	0.28875
15	0.066
16	0.3197
17	0.16985
18	0.39845
19	0.29395
20	0.35095
21	0.2879
22	0.35815
23	0.3199
24	0.2102
25	0.1399
26	0.2704
27	0.19395
28	0.0907
29	0.25735
30	0.2513
31	0.2616
32	0.2294
33	0.1995
34	0.0757
35	0.1348
36	0.0638
37	0.05085
38	0.18485
39	0.15645
40	0.14065
41	0.03115
42	0.14495
43	0.24795
44	0.144
45	0.22775
46	0.1636
47	0.2283
48	0.08605
49	0.12015
50	0.16475
51	0.13365
52	0.261
53	0.1332
54	0.1643
55	0.20305
56	0.214
57	0.17985
58	0.0883
59	0.1861
60	0.05295
61	0.02155
62	0.04395
63	0.12595
64	0.05695
65	0.03815
66	0.02695
67	0.04135
68	0.0
69	0.0
70	0.047
71	0.0728
72	0.03285
73	0.0362
74	0.09025
75	0.063
76	0.0717
77	0.04145
78	0.0031
79	0.0226
80	0.0062
81	0.02755
82	0.02065
83	0.0541
84	0.0225
85	0.0247
86	0.09605
87	0.03445
88	0.07555
89	0.0427
90	0.02465
91	0.0
92	0.0
93	0.0
94	0.0062
95	0.0
96	0.05255
97	0.01855
98	0.0
