x	y
41	3
51	0
61	0
71	0
81	0
91	0
101	1
111	0
121	0
131	0
141	0
151	1
161	0
171	0
181	0
191	0
201	1
211	0
221	0
231	0
241	0
251	0
261	0
271	1
281	0
291	1
301	0
311	0
321	0
331	0
341	0
351	0
361	0
371	0
381	0
391	0
401	0
411	3
421	1
431	0
441	0
451	0
461	0
471	0
481	0
491	0
501	0
511	0
521	0
531	0
541	0
551	2
561	2
571	0
581	0
591	0
601	0
611	0
621	0
631	0
641	1
651	0
661	0
671	0
681	0
691	1
701	1
711	0
721	1
731	0
741	0
751	0
761	2
771	0
781	0
791	0
801	0
811	0
821	0
831	1
841	0
851	0
861	0
871	0
881	1
891	2
901	0
911	0
921	0
931	0
941	0
951	0
961	0
971	0
981	0
991	0
1001	0
1011	0
1021	0
1031	0
1041	2
1051	0
1061	0
1071	1
1081	0
1091	0
1101	2
1111	0
1121	0
1131	0
1141	0
1151	0
1161	0
1171	0
1181	0
1191	0
1201	0
1211	0
1221	0
1231	1
1241	0
1251	0
1261	2
1271	1
1281	0
1291	0
1301	0
1311	0
1321	0
1331	0
1341	0
1351	0
1361	0
1371	0
1381	0
1391	0
1401	0
1411	0
1421	0
1431	0
1441	0
1451	2
1461	0
1471	0
1481	0
1491	1
1501	0
1511	0
1521	0
1531	0
1541	0
1551	0
1561	0
1571	0
1581	0
1591	0
1601	0
1611	0
1621	0
1631	0
1641	0
1651	0
1661	0
1671	1
1681	0
1691	0
1701	0
1711	0
1721	0
1731	2
1741	0
1751	3
1761	0
1771	1
1781	3
1791	0
1801	1
1811	1
1821	0
1831	0
1841	0
1851	0
1861	0
1871	0
1881	0
1891	0
1901	0
1911	0
1921	0
1931	0
1941	0
1951	0
1961	0
1971	0
1981	0
1991	0
2001	0
2011	0
2021	0
2031	0
2041	0
2051	0
2061	0
2071	0
2081	1
2091	3
2101	0
2111	1
2121	0
2131	0
2141	0
2151	2
2161	1
2171	1
2181	0
2191	0
2201	0
2211	0
2221	0
2231	0
2241	0
2251	0
2261	0
2271	1
2281	0
2291	0
2301	0
2311	0
2321	0
2331	1
2341	0
2351	0
2361	1
2371	0
2381	0
2391	0
2401	0
2411	0
2421	0
2431	0
2441	1
2451	0
2461	3
2471	0
2481	0
2491	0
2501	0
2511	0
2521	1
2531	2
2541	0
2551	0
2561	0
2571	1
2581	0
2591	0
2601	0
2611	0
2621	2
2631	0
2641	0
2651	2
2661	1
2671	3
2681	1
2691	0
2701	0
2711	0
2721	0
2731	0
2741	2
2751	0
2761	0
2771	0
2781	0
2791	0
2801	0
2811	0
2821	0
2831	1
2841	2
2851	0
2861	0
2871	0
2881	0
2891	0
2901	0
2911	0
2921	0
2931	0
2941	0
2951	1
2961	0
