x	y
42	1
52	0
62	0
72	0
82	0
92	0
102	0
112	0
122	0
132	0
142	1
152	3
162	2
172	0
182	0
192	0
202	0
212	0
222	0
232	0
242	0
252	0
262	0
272	0
282	0
292	1
302	1
312	0
322	1
332	0
342	0
352	2
362	1
372	0
382	0
392	0
402	0
412	0
422	0
432	0
442	3
452	3
462	1
472	0
482	0
492	0
502	1
512	0
522	1
532	5
542	0
552	0
562	0
572	0
582	0
592	0
602	2
612	0
622	0
632	1
642	1
652	3
662	0
672	0
682	0
692	0
702	0
712	1
722	0
732	0
742	1
752	0
762	0
772	0
782	0
792	0
802	1
812	0
822	0
832	0
842	0
852	0
862	0
872	0
882	0
892	0
902	2
912	0
922	0
932	0
942	0
952	0
962	0
972	0
982	1
992	2
1002	1
1012	0
1022	0
1032	1
1042	0
1052	0
1062	1
1072	0
1082	0
1092	0
1102	0
1112	1
1122	1
1132	0
1142	0
1152	0
1162	0
1172	0
1182	2
1192	3
1202	0
1212	0
1222	0
1232	1
1242	0
1252	1
1262	2
1272	0
1282	1
1292	0
1302	0
1312	0
1322	2
1332	0
1342	1
1352	0
1362	0
1372	3
1382	1
1392	0
1402	0
1412	2
1422	0
1432	0
1442	0
1452	0
1462	0
1472	0
1482	1
1492	0
1502	0
1512	0
1522	0
1532	0
1542	0
1552	3
1562	0
1572	0
1582	0
1592	0
1602	0
1612	1
1622	1
1632	1
1642	0
1652	0
1662	0
1672	0
1682	0
1692	0
1702	0
1712	0
1722	0
1732	0
1742	0
1752	1
1762	0
1772	0
1782	0
1792	3
1802	0
1812	0
1822	0
1832	0
1842	2
1852	2
1862	1
1872	0
1882	0
1892	0
1902	0
1912	0
1922	0
1932	1
1942	1
1952	0
1962	0
1972	0
1982	2
1992	0
2002	0
2012	0
2022	0
2032	0
2042	0
2052	0
2062	1
2072	1
2082	2
2092	2
2102	0
2112	3
2122	1
2132	0
2142	0
2152	0
2162	0
2172	1
2182	0
2192	0
2202	1
2212	1
2222	0
2232	0
2242	0
2252	0
2262	1
2272	0
2282	0
2292	0
2302	0
2312	0
2322	0
2332	1
2342	1
2352	0
2362	0
2372	1
2382	1
2392	0
2402	0
2412	2
2422	0
2432	0
2442	1
2452	1
2462	0
2472	2
2482	1
2492	0
2502	0
2512	0
2522	1
2532	0
2542	0
2552	0
2562	0
2572	0
2582	0
2592	0
2602	0
2612	1
2622	0
2632	0
2642	1
2652	0
2662	1
2672	1
2682	0
2692	0
2702	0
2712	0
2722	0
2732	1
2742	0
2752	0
2762	0
2772	0
2782	0
2792	1
2802	2
2812	0
2822	0
2832	1
2842	1
2852	0
2862	3
2872	1
2882	0
2892	1
2902	2
2912	0
2922	1
2932	0
2942	0
2952	1
2962	0
