x	y
1981737.0	1
1981837.0	0
1981937.0	0
1982037.0	0
1982137.0	0
1982237.0	0
1982337.0	0
1982437.0	0
1982537.0	0
1982637.0	0
1982737.0	1
1982837.0	0
1982937.0	0
1983037.0	0
1983137.0	0
1983237.0	0
1983337.0	0
1983437.0	0
1983537.0	0
1983637.0	1
1983737.0	0
1983837.0	0
1983937.0	0
1984037.0	0
1984137.0	0
1984237.0	1
1984337.0	0
1984437.0	0
1984537.0	1
1984637.0	0
1984737.0	0
1984837.0	0
1984937.0	0
1985037.0	0
1985137.0	0
1985237.0	0
1985337.0	0
1985437.0	0
1985537.0	0
1985637.0	0
1985737.0	0
1985837.0	0
1985937.0	0
1986037.0	0
1986137.0	1
1986237.0	0
1986337.0	0
1986437.0	0
1986537.0	1
1986637.0	0
1986737.0	1
1986837.0	0
1986937.0	0
1987037.0	1
1987137.0	0
1987237.0	0
1987337.0	2
1987437.0	0
1987537.0	0
1987637.0	0
1987737.0	0
1987837.0	1
1987937.0	0
1988037.0	0
1988137.0	0
1988237.0	0
1988337.0	0
1988437.0	0
1988537.0	0
1988637.0	1
1988737.0	0
1988837.0	0
1988937.0	1
1989037.0	0
1989137.0	0
1989237.0	2
1989337.0	0
1989437.0	0
1989537.0	0
1989637.0	1
1989737.0	0
1989837.0	0
1989937.0	0
1990037.0	0
1990137.0	0
1990237.0	0
1990337.0	1
1990437.0	1
1990537.0	1
1990637.0	0
1990737.0	0
1990837.0	0
1990937.0	3
1991037.0	0
1991137.0	0
1991237.0	1
1991337.0	3
1991437.0	1
1991537.0	2
1991637.0	2
1991737.0	1
1991837.0	2
1991937.0	0
1992037.0	1
1992137.0	3
1992237.0	1
1992337.0	3
1992437.0	0
1992537.0	3
1992637.0	1
1992737.0	3
1992837.0	2
1992937.0	1
1993037.0	1
1993137.0	4
1993237.0	3
1993337.0	0
1993437.0	3
1993537.0	1
1993637.0	4
1993737.0	1
1993837.0	0
1993937.0	5
1994037.0	4
1994137.0	3
1994237.0	1
1994337.0	6
1994437.0	0
1994537.0	0
1994637.0	1
1994737.0	4
1994837.0	4
1994937.0	8
1995037.0	3
1995137.0	5
1995237.0	5
1995337.0	3
1995437.0	3
1995537.0	4
1995637.0	7
1995737.0	1
1995837.0	7
1995937.0	1
1996037.0	2
1996137.0	8
1996237.0	8
1996337.0	4
1996437.0	7
1996537.0	5
1996637.0	8
1996737.0	5
1996837.0	6
1996937.0	5
1997037.0	8
1997137.0	5
1997237.0	8
1997337.0	4
1997437.0	4
1997537.0	6
1997637.0	4
1997737.0	5
1997837.0	8
1997937.0	5
1998037.0	4
1998137.0	10
1998237.0	7
1998337.0	7
1998437.0	5
1998537.0	10
1998637.0	9
1998737.0	8
1998837.0	13
1998937.0	10
1999037.0	5
1999137.0	13
1999237.0	12
1999337.0	10
1999437.0	13
1999537.0	13
1999637.0	8
1999737.0	7
1999837.0	10
1999937.0	4
2000037.0	0
