x	y
1	92.79295
2	25.79085
3	7.77945
4	2.64535
5	1.0197
6	0.553
7	0.2795
8	0.18575
9	0.1839
10	0.14305
11	0.13195
12	0.15675
13	0.17425
14	0.09565
15	0.0986
16	0.06945
17	0.0543
18	0.0482
19	0.04055
20	0.0435
21	0.02745
22	0.0242
23	0.0949
24	0.05385
25	0.0686
26	0.09045
27	0.07845
28	0.0417
29	0.0307
30	0.0121
31	0.0366
32	0.07875
33	0.1022
34	0.0698
35	0.0652
36	0.07435
37	0.09795
38	0.0639
39	0.11235
40	0.0858
41	0.0978
42	0.0582
43	0.02485
44	0.12225
45	0.053
46	0.021
47	0.02985
48	0.06335
49	0.07995
50	0.0361
51	0.0361
52	0.09195
53	0.04275
54	0.0526
55	0.073
56	0.01175
57	0.063
58	0.0165
59	0.01925
60	0.03765
61	0.03275
62	0.0012
63	0.00735
64	0.0493
65	0.0814
66	0.053
67	0.08845
68	0.0585
69	0.00195
70	0.0217
71	0.02395
72	0.01715
73	0.0162
74	0.0243
75	0.06565
76	0.02235
77	0.0158
78	0.0353
79	0.00135
80	0.03825
81	0.01755
82	0.00585
83	0.00115
84	0.02675
85	0.02815
86	0.0232
87	0.0275
88	0.0
